Date,Open,High,Low,Close,Volume
11/18/2015,0,307,301,307,52
11/19/2015,307,331,313,331,104
11/22/2015,331,364,337,364,768
11/23/2015,364,400,371,400,12360
11/24/2015,400,437,415,430,46262
11/25/2015,430,434,403,406,25625
11/26/2015,406,400,390,395,14443
11/29/2015,395,388,376,381,15706
11/30/2015,381,397,380,384,9790
12/01/2015,384,400,381,400,11114
12/02/2015,400,405,390,398,11339
12/03/2015,398,401,387,392,11281
12/06/2015,392,401,388,398,14631
12/07/2015,398,408,395,397,16125
12/08/2015,397,402,391,399,11962
12/09/2015,399,412,394,412,14731
12/10/2015,412,410,398,400,13958
12/13/2015,400,401,393,400,23721
12/14/2015,400,400,398,398,24112
12/15/2015,398,400,390,391,8414
12/16/2015,391,400,390,393,16529
12/17/2015,393,399,386,391,12164
12/20/2015,391,395,382,389,7578
12/21/2015,389,389,376,378,6813
12/22/2015,378,380,364,370,7114
12/23/2015,370,376,366,372,12488
12/24/2015,372,385,365,379,11983
12/27/2015,379,385,366,385,9016
12/28/2015,385,380,370,371,10572
12/29/2015,371,381,368,372,13555
12/31/2015,372,381,368,370,11336
01/03/2016,370,377,362,369,11849
01/04/2016,369,373,358,368,9183
01/05/2016,368,375,350,375,27876
01/06/2016,375,375,353,360,21477
01/07/2016,360,377,356,368,16005
01/10/2016,368,380,361,378,29492
01/11/2016,378,383,370,376,30518
01/12/2016,376,400,370,400,35468
01/12/2016,376,400,370,400,35468
01/13/2016,400,405,378,394,26417
01/14/2016,394,400,379,390,29503
01/24/2016,390,429,397,429,3250
01/25/2016,429,471,437,454,4993
01/26/2016,454,455,446,448,3463
01/27/2016,448,445,432,432,2889
01/28/2016,432,445,430,430,4905
01/31/2016,430,440,432,432,864
02/01/2016,432,448,430,435,4260
02/02/2016,435,439,430,430,3252
02/03/2016,430,450,435,441,1624
02/04/2016,441,457,440,449,4935
02/07/2016,449,493,450,493,22443
02/08/2016,493,540,502,515,7786
02/11/2016,515,540,515,540,16567
02/14/2016,540,531,496,500,8387
02/15/2016,500,510,470,485,4728
02/16/2016,485,485,477,482,6993
02/17/2016,482,484,480,483,4226
02/18/2016,483,488,480,480,3850
02/21/2016,480,498,480,498,15416
02/22/2016,498,500,485,491,5314
02/23/2016,491,486,474,486,2333
02/24/2016,486,500,472,472,472
02/25/2016,472,495,480,495,1844
02/28/2016,495,500,473,474,4388
02/29/2016,474,483,471,471,3918
03/01/2016,471,473,469,470,3318
03/02/2016,470,517,472,517,25387
03/03/2016,517,568,527,568,18063
03/06/2016,568,624,579,624,42776
03/10/2016,624,686,636,686,4341
03/13/2016,686,754,645,747,63486
03/14/2016,747,821,761,821,17751
03/15/2016,821,853,739,740,52406
03/16/2016,740,732,671,680,27686
03/17/2016,680,729,686,720,18857
03/20/2016,720,765,724,739,30357
03/21/2016,739,759,711,733,13239
03/23/2016,733,741,707,710,13548
03/24/2016,710,708,670,694,19641
03/27/2016,694,707,655,656,6101
03/28/2016,656,644,621,630,9481
03/29/2016,630,642,602,615,14798
03/30/2016,615,671,600,658,5258
03/31/2016,658,659,634,637,5559
04/03/2016,637,661,620,661,5868
04/04/2016,661,670,630,643,5021
04/05/2016,643,655,633,652,5271
04/06/2016,652,685,645,669,15794
04/10/2016,669,714,659,660,14444
04/11/2016,660,676,664,675,4920
04/12/2016,675,688,652,658,9235
04/14/2016,658,663,651,663,3240
04/17/2016,663,664,652,660,3223
04/18/2016,660,659,651,658,4213
04/19/2016,658,655,640,649,9288
04/20/2016,649,654,640,643,4124
04/21/2016,643,640,622,635,15246
04/24/2016,635,645,622,629,4791
04/25/2016,629,627,616,627,8434
04/26/2016,627,626,617,626,3696
04/27/2016,626,631,618,625,2313
04/28/2016,625,625,619,620,9806
05/02/2016,620,620,601,620,5046
05/03/2016,620,620,606,618,5417
05/04/2016,618,615,598,615,10863
05/05/2016,615,606,596,603,6828
05/08/2016,603,630,597,630,5994
05/09/2016,630,629,616,620,12426
05/10/2016,620,643,617,627,5356
05/11/2016,627,635,608,633,7257
05/12/2016,633,678,628,677,19602
05/15/2016,677,690,656,670,12967
05/16/2016,670,683,656,671,8353
05/17/2016,671,690,660,674,11978
05/18/2016,674,675,664,666,6040
05/19/2016,666,668,660,667,3356
05/22/2016,667,670,655,670,8114
05/23/2016,670,672,656,656,8495
05/24/2016,656,670,651,660,6774
05/25/2016,660,665,650,661,3517
05/26/2016,661,674,651,665,11000
05/29/2016,665,691,666,670,5305
05/30/2016,670,701,680,692,17849
05/31/2016,692,761,682,760,28803
06/01/2016,760,775,711,728,16725
06/02/2016,728,734,688,710,10077
06/05/2016,710,724,700,714,16759
06/06/2016,714,728,701,728,12197
06/07/2016,728,730,715,717,6421
06/08/2016,717,737,714,737,11014
06/09/2016,737,774,735,772,28187
06/12/2016,772,785,743,780,22418
06/13/2016,780,784,753,779,13621
06/14/2016,779,786,750,771,5916
06/15/2016,771,776,760,770,7644
06/16/2016,770,785,760,770,8485
06/19/2016,770,800,755,800,14769
06/20/2016,800,839,790,816,14485
06/21/2016,816,848,800,846,14330
06/22/2016,846,860,825,839,13248
06/23/2016,839,872,836,872,11352
06/26/2016,872,888,845,860,12504
06/27/2016,860,870,835,852,8144
06/28/2016,852,864,830,848,11151
06/29/2016,848,860,820,855,11753
06/30/2016,855,850,835,835,6826
07/03/2016,835,869,825,859,12367
07/04/2016,859,877,841,854,13013
07/05/2016,854,877,840,860,9562
07/06/2016,860,874,845,865,6903
07/10/2016,865,870,851,864,4495
07/11/2016,864,860,833,840,8883
07/12/2016,840,850,780,820,5346
07/13/2016,820,840,800,830,9399
07/14/2016,830,860,811,843,4858
07/17/2016,843,876,800,825,16672
07/18/2016,825,855,809,830,5299
07/19/2016,830,846,819,830,4592
07/20/2016,830,846,820,830,3120
07/21/2016,830,835,825,835,4889
07/25/2016,835,835,820,830,6596
07/26/2016,830,855,826,828,7113
07/27/2016,828,880,830,880,31763
07/28/2016,880,880,824,855,22750
07/31/2016,855,870,823,837,7301
08/01/2016,837,870,825,855,16558
08/02/2016,855,850,830,835,8463
08/03/2016,835,840,820,834,6191
08/04/2016,834,834,804,804,8432
08/07/2016,804,851,800,812,7767
