Date,Open,High,Low,Close,Volume
03/09/2014,0,385,385,385,15130
04/23/2014,385,378,378,378,9385
04/27/2014,378,371,350,350,178800
05/22/2014,350,344,338,338,62508
05/27/2014,338,332,326,326,51578
06/01/2014,326,320,315,315,26577
06/02/2014,315,310,310,310,20630
11/12/2014,310,0,0,310,108312
11/13/2014,551,317,317,317,7221
01/06/2015,317,323,323,323,27508
01/22/2015,323,323,323,323,25000
01/25/2015,323,329,329,329,11105
03/04/2015,329,347,335,347,15000
03/09/2015,347,374,353,374,23544
03/10/2015,374,402,381,402,400
03/11/2015,402,434,410,434,400
03/12/2015,434,450,442,450,200
03/16/2015,450,486,459,486,400
03/17/2015,486,524,495,524,400
03/18/2015,524,561,534,561,75300
03/19/2015,561,570,561,570,22900
07/08/2015,500,490,490,490,18000
10/11/2015,575,575,551,575,42805
03/30/2016,710,710,710,710,41096
04/21/2016,710,724,724,724,2108
09/26/2016,860,860,860,860,52125
11/27/2016,860,850,850,850,8836
01/24/2017,850,833,833,833,28239
05/15/2017,833,817,817,817,75000
06/01/2017,817,801,800,800,77933
06/05/2017,800,800,800,800,60000
09/13/2017,800,800,800,800,24000
10/16/2017,800,800,800,800,22268
10/30/2017,800,800,800,800,3855
01/04/2018,800,785,720,720,166017
01/09/2018,720,720,719,720,14000
01/21/2018,720,706,700,700,13182
