Date,Open,High,Low,Close,Volume
06/05/2012,0,112,112,112,20
06/12/2012,112,114,114,114,50
08/16/2012,114,112,106,106,130
08/12/2013,106,104,104,104,20
09/01/2013,104,103,103,103,120
09/09/2013,103,109,105,109,2500
09/10/2013,109,107,107,107,10
09/11/2013,107,105,102,102,1050
09/12/2013,102,108,104,108,2450
09/15/2013,108,106,105,105,5500
09/16/2013,105,104,102,102,7500
09/17/2013,102,106,104,106,5500
09/19/2013,106,107,107,107,2000
12/22/2013,107,105,105,105,1010
01/26/2014,105,104,104,104,170
02/04/2014,104,108,106,108,310
02/11/2014,108,110,110,110,50
04/02/2014,110,112,112,112,70
04/22/2014,112,110,110,110,340
05/07/2014,110,112,112,112,550
05/08/2014,112,116,114,116,530
05/12/2014,116,118,118,118,50
05/13/2014,118,120,120,120,210
05/19/2014,120,122,122,122,10
05/22/2014,122,124,124,124,110
06/03/2014,124,126,126,126,40
06/19/2014,126,121,121,121,500
08/07/2014,121,121,121,121,200
09/01/2014,121,123,123,123,170
09/07/2014,123,127,127,127,500
09/18/2014,127,129,129,129,50
09/21/2014,129,131,131,131,500
09/22/2014,131,133,133,133,10
09/28/2014,133,143,135,143,730
10/13/2014,143,157,145,157,280
10/14/2014,157,160,160,160,10
10/16/2014,160,163,163,163,100
10/20/2014,163,169,166,169,420
10/21/2014,169,172,172,172,10
11/13/2014,172,169,157,157,74630
11/16/2014,157,160,148,148,1430
11/17/2014,148,150,150,150,120
11/18/2014,150,147,147,147,500
11/20/2014,147,148,148,148,100
11/23/2014,148,150,150,150,120
11/25/2014,150,159,150,159,1150
12/02/2014,159,162,162,162,20
12/03/2014,162,159,156,156,260
12/07/2014,156,159,159,159,10
12/11/2014,159,162,162,162,50
12/18/2014,162,165,165,165,60
12/22/2014,165,165,165,165,440
01/11/2015,165,162,162,162,100
01/27/2015,162,165,165,165,100
02/09/2015,165,168,168,168,50
02/11/2015,168,174,171,174,100
02/23/2015,174,180,177,180,130
02/26/2015,180,186,183,186,50
03/01/2015,186,195,189,195,210
03/03/2015,195,198,198,198,1100
03/09/2015,198,217,201,217,50
03/10/2015,217,225,221,225,70
03/11/2015,225,247,229,247,330
03/12/2015,247,261,251,261,120
03/15/2015,261,271,266,271,30
03/16/2015,271,298,276,298,1890
03/22/2015,298,311,296,311,990
03/23/2015,311,328,310,318,2790
03/24/2015,318,330,315,330,2010
03/26/2015,330,324,324,324,10
03/31/2015,324,336,324,336,2300
04/02/2015,336,330,324,324,160
04/06/2015,324,318,318,318,100
04/07/2015,318,312,300,300,1030
04/09/2015,300,306,300,300,1140
04/12/2015,300,300,300,300,100
04/15/2015,300,295,295,295,500
04/19/2015,295,291,290,291,200
04/21/2015,291,296,296,296,120
04/22/2015,296,291,291,291,100
06/03/2015,291,286,281,281,250
06/07/2015,281,286,285,286,570
06/09/2015,286,301,291,298,1750
06/14/2015,298,303,303,303,100
06/16/2015,303,298,298,298,500
06/22/2015,298,293,293,293,260
06/24/2015,293,290,286,286,490
07/06/2015,286,283,282,282,200
07/09/2015,282,287,287,287,100
07/13/2015,287,282,282,282,350
07/16/2015,282,287,287,287,50
07/22/2015,287,292,292,292,50
07/28/2015,292,314,297,314,310
07/29/2015,314,308,308,308,100
08/04/2015,308,305,305,305,40
08/05/2015,305,305,305,305,350
08/06/2015,305,306,306,306,260
09/07/2015,306,300,285,286,610
09/08/2015,286,283,281,281,410
09/09/2015,281,277,277,277,500
09/10/2015,277,275,273,273,1200
09/13/2015,273,275,275,275,480
09/14/2015,275,280,280,280,250
09/15/2015,280,287,282,287,580
09/16/2015,287,292,292,292,250
09/17/2015,292,297,293,293,140
09/22/2015,293,288,288,288,70
10/01/2015,288,283,283,283,340
10/07/2015,283,285,285,285,200
10/08/2015,285,280,276,276,220
10/14/2015,276,275,270,270,600
10/15/2015,270,267,267,267,300
12/03/2015,267,262,262,262,500
12/06/2015,262,257,257,257,210
12/07/2015,257,252,252,252,70
12/13/2015,252,250,250,250,640
12/23/2015,250,256,255,256,550
12/29/2015,256,261,261,261,500
01/26/2016,227,231,231,231,10
02/14/2016,231,235,235,235,50
02/15/2016,235,239,239,239,10
03/01/2016,239,247,243,247,20
03/14/2016,247,256,251,256,20
03/15/2016,256,261,261,261,10
04/05/2016,261,287,266,287,60
04/06/2016,287,315,292,315,160
04/10/2016,315,339,321,335,180
04/11/2016,335,329,317,317,250
04/14/2016,317,311,305,305,340
04/17/2016,305,305,299,305,910
04/18/2016,305,305,305,305,100
04/19/2016,305,311,310,311,500
04/20/2016,311,306,305,305,300
04/21/2016,305,300,300,300,300
05/03/2016,300,294,294,294,530
05/05/2016,294,304,299,304,20
05/09/2016,304,300,300,300,11
05/11/2016,300,330,306,330,303
05/12/2016,330,363,336,363,290
05/15/2016,363,399,370,399,1360
05/16/2016,399,406,406,406,100
05/17/2016,406,398,391,398,310
