Date,Open,High,Low,Close,Volume
03/20/2011,566,562,555,560,1339
03/24/2011,560,560,556,559,1315
03/25/2011,559,558,550,558,2188
03/27/2011,558,550,539,540,3281
03/28/2011,540,541,515,523,10833
03/29/2011,523,523,490,514,10244
03/30/2011,514,516,508,514,4765
03/31/2011,514,549,520,539,6388
04/04/2011,539,545,533,533,1427
04/05/2011,533,532,519,519,3415
04/06/2011,519,521,510,521,3213
04/07/2011,521,529,511,529,1706
04/10/2011,529,528,510,516,1137
04/11/2011,516,534,517,529,2121
04/13/2011,529,525,521,521,206
04/17/2011,521,521,516,516,883
04/18/2011,516,520,512,515,1442
04/19/2011,515,516,507,515,2316
04/20/2011,515,515,505,510,2307
04/21/2011,510,512,502,504,1560
04/25/2011,504,510,490,504,2380
04/26/2011,504,510,510,510,224
04/27/2011,510,510,480,490,7535
04/28/2011,490,507,471,480,7492
05/02/2011,480,479,453,465,6548
05/03/2011,465,465,445,450,4242
05/04/2011,450,463,450,462,1495
05/05/2011,462,498,460,480,2947
05/08/2011,480,482,480,480,611
05/09/2011,480,480,471,471,240
05/10/2011,471,501,480,501,2646
05/11/2011,501,505,490,492,3449
05/12/2011,492,499,488,490,1325
05/15/2011,490,500,490,490,4385
05/16/2011,490,505,495,505,1830
05/18/2011,505,501,490,490,3667
05/19/2011,490,492,481,490,2366
05/22/2011,490,490,485,490,1935
05/23/2011,490,494,486,490,653
05/24/2011,490,495,489,494,2098
05/25/2011,494,496,488,496,2357
05/26/2011,496,500,491,495,1555
05/30/2011,495,500,492,495,1912
05/31/2011,495,500,484,488,1688
06/01/2011,488,492,483,483,393
06/02/2011,483,483,466,470,2208
06/05/2011,470,466,443,443,4591
06/06/2011,443,444,440,443,3529
06/07/2011,443,439,426,426,3345
06/08/2011,426,426,400,425,4043
06/09/2011,425,425,402,425,5521
06/12/2011,425,425,404,406,1767
06/13/2011,406,408,390,401,10420
06/14/2011,401,400,383,384,3915
06/15/2011,384,384,363,367,8125
06/16/2011,367,403,373,395,10809
06/19/2011,395,418,402,418,230
06/20/2011,395,418,402,418,230
06/21/2011,459,504,468,504,18775
06/23/2011,504,554,514,554,31105
06/26/2011,554,609,499,499,25157
06/27/2011,499,490,450,460,7152
06/29/2011,460,498,418,495,5841
06/30/2011,495,499,469,478,4271
07/03/2011,478,478,462,470,14030
07/04/2011,470,479,450,465,23164
07/05/2011,465,500,460,490,9469
07/06/2011,490,520,493,511,10756
07/07/2011,511,508,494,505,11079
07/10/2011,505,526,501,526,6504
07/11/2011,526,534,512,531,9273
07/12/2011,531,561,533,537,4956
07/13/2011,537,584,530,562,15181
07/14/2011,562,584,559,570,7362
07/17/2011,570,627,581,627,18114
07/18/2011,627,689,590,599,22698
07/19/2011,599,623,600,607,24123
07/20/2011,607,625,607,620,11594
07/21/2011,620,632,610,621,13499
07/24/2011,621,620,590,595,7667
07/25/2011,595,590,567,589,1829
07/26/2011,589,582,567,575,7828
07/27/2011,575,605,569,602,9477
07/28/2011,602,610,586,590,6357
07/31/2011,590,590,575,575,5443
08/01/2011,575,595,570,570,3451
08/02/2011,570,590,560,570,11687
08/03/2011,570,578,560,567,11128
08/04/2011,567,574,563,572,4436
08/07/2011,572,574,561,565,1537
08/08/2011,565,574,550,551,5512
08/09/2011,551,558,537,550,7650
08/10/2011,550,583,558,568,6232
08/11/2011,568,585,569,577,4486
08/15/2011,577,610,570,580,18314
08/16/2011,580,580,570,572,5325
08/17/2011,572,580,570,572,7659
08/18/2011,572,586,575,575,4197
08/22/2011,575,582,571,579,3076
08/23/2011,579,585,575,581,8830
08/24/2011,581,583,573,573,8229
08/25/2011,573,576,570,576,3356
08/28/2011,576,570,554,563,6930
08/29/2011,563,578,552,568,7163
08/30/2011,568,588,568,568,4499
09/01/2011,568,580,562,575,6252
09/04/2011,575,584,570,570,15096
09/05/2011,570,575,562,571,12841
09/06/2011,571,574,561,565,7499
09/07/2011,565,565,545,556,17283
09/08/2011,556,554,537,546,29996
09/12/2011,546,541,529,531,26525
09/14/2011,531,441,430,430,930
09/15/2011,430,428,408,427,3607
09/18/2011,427,419,412,416,1114
09/19/2011,416,428,408,422,5664
09/20/2011,422,426,420,425,933
09/21/2011,425,431,415,431,1284
09/22/2011,431,446,434,446,1701
09/25/2011,446,448,442,444,1538
09/26/2011,444,446,440,442,8484
09/27/2011,442,450,440,442,1390
09/29/2011,442,444,441,444,196
10/02/2011,444,452,445,446,1394
10/09/2011,446,454,454,454,19
10/10/2011,454,454,446,450,2369
10/12/2011,450,454,447,453,2042
10/13/2011,453,455,445,450,1420
10/16/2011,450,443,438,441,1264
10/17/2011,441,445,440,443,431
10/18/2011,443,440,430,431,2159
10/19/2011,431,430,419,425,12346
10/20/2011,425,429,420,420,8229
10/23/2011,420,430,420,424,4261
10/24/2011,424,426,425,426,888
