Date,Open,High,Low,Close,Volume
09/28/2016,464,510,473,510,4437
09/29/2016,510,561,520,561,50
10/02/2016,561,617,572,617,469
10/03/2016,617,678,629,678,420
10/04/2016,678,745,691,745,3322
10/05/2016,745,819,755,787,381177
10/06/2016,787,794,775,780,178136
10/16/2016,780,780,755,764,58598
10/17/2016,764,770,736,752,75678
10/18/2016,752,753,715,740,51936
10/19/2016,740,751,735,738,34634
10/20/2016,738,744,739,741,40919
10/23/2016,741,750,723,730,48414
10/24/2016,730,728,713,719,35840
10/25/2016,719,730,706,720,39244
10/26/2016,720,720,707,718,36563
10/27/2016,718,729,714,719,45651
11/03/2016,719,720,710,713,22970
11/07/2016,713,714,705,706,49484
11/08/2016,706,707,691,700,53317
11/09/2016,700,700,666,688,42648
11/10/2016,688,693,670,688,63495
11/13/2016,688,688,666,676,42870
11/14/2016,676,705,666,698,60427
11/15/2016,698,710,692,698,66240
11/16/2016,698,700,690,691,19983
11/17/2016,691,690,660,675,53578
11/20/2016,675,688,638,655,77691
11/21/2016,655,669,631,658,67806
11/22/2016,658,659,615,644,58544
11/23/2016,644,650,620,630,77629
11/24/2016,630,654,620,629,63443
11/27/2016,629,635,611,617,73178
11/28/2016,617,650,595,646,109608
11/29/2016,646,658,609,651,96962
11/30/2016,651,675,652,669,90494
12/01/2016,669,682,654,669,66851
12/04/2016,669,681,649,660,40874
12/05/2016,660,660,646,653,45679
12/06/2016,653,670,647,660,38914
12/07/2016,660,673,633,658,31067
12/08/2016,658,658,650,656,20692
12/11/2016,656,658,640,641,34307
12/12/2016,641,648,620,637,26635
12/14/2016,637,645,635,639,25739
12/15/2016,639,651,635,650,27803
12/18/2016,650,650,638,646,41502
12/19/2016,646,650,636,643,34377
12/20/2016,643,640,625,625,25930
12/21/2016,625,627,620,621,29990
12/22/2016,621,626,615,620,19840
12/26/2016,620,615,600,603,55924
12/27/2016,603,609,578,595,43724
12/28/2016,595,607,592,600,29792
12/29/2016,600,625,596,615,42205
01/01/2017,615,631,620,625,29831
01/02/2017,625,640,623,625,37538
01/03/2017,625,627,610,612,25697
01/04/2017,612,618,600,614,16585
01/05/2017,614,632,603,612,21291
01/08/2017,612,614,606,613,149829
01/09/2017,613,616,610,616,14193
01/10/2017,616,626,617,621,16048
01/11/2017,621,626,619,619,11953
01/12/2017,619,620,614,614,11035
01/15/2017,614,616,610,612,10360
01/16/2017,612,613,608,609,7024
01/17/2017,609,611,600,610,19781
01/18/2017,610,613,608,611,11726
01/19/2017,611,611,601,609,9518
01/22/2017,609,611,605,606,12086
01/23/2017,606,607,600,603,17889
01/24/2017,603,603,590,596,21459
01/25/2017,596,596,578,585,18628
01/26/2017,585,585,565,570,32501
01/30/2017,570,573,537,540,37872
01/31/2017,540,560,510,545,16759
02/01/2017,545,573,548,573,24179
02/02/2017,573,595,560,570,28786
02/05/2017,570,565,553,558,8133
02/06/2017,558,561,544,550,12842
02/07/2017,550,550,534,548,7990
02/08/2017,548,550,535,541,15736
