Date,Open,High,Low,Close,Volume
10/15/2015,284,304,289,304,40
10/19/2015,304,322,310,322,30
10/25/2015,322,353,328,353,60
10/27/2015,353,388,360,388,920
10/28/2015,388,426,395,419,5200
10/29/2015,419,422,400,412,4740
11/01/2015,412,410,391,400,2670
11/02/2015,400,397,385,385,1800
11/03/2015,385,378,357,368,620
11/04/2015,368,387,365,380,860
11/05/2015,380,389,370,382,890
11/08/2015,382,382,375,380,820
11/09/2015,380,397,372,380,1260
11/10/2015,380,397,374,397,1710
11/15/2015,397,390,376,376,40
11/16/2015,376,376,363,374,740
11/18/2015,374,384,375,381,2180
11/19/2015,381,390,366,366,2440
11/22/2015,366,370,354,370,980
11/23/2015,370,368,363,367,250
11/24/2015,367,365,350,360,1000
11/25/2015,360,359,341,344,1920
11/26/2015,344,338,330,330,1200
11/29/2015,330,342,330,330,1530
11/30/2015,330,330,325,325,580
12/01/2015,325,333,325,333,740
12/02/2015,333,338,338,338,20
12/03/2015,338,335,325,325,960
12/06/2015,325,337,325,325,650
12/07/2015,325,326,320,322,420
12/08/2015,322,320,310,315,460
12/09/2015,315,321,314,314,750
12/10/2015,314,317,305,317,480
12/13/2015,317,315,303,305,1440
12/14/2015,305,307,301,306,1190
12/15/2015,306,307,300,307,720
12/16/2015,307,313,299,299,1110
12/17/2015,299,295,289,289,940
12/20/2015,289,290,274,285,1280
12/21/2015,285,286,276,281,1790
12/22/2015,281,286,274,274,750
12/23/2015,274,275,266,269,670
12/24/2015,269,275,268,272,940
12/27/2015,272,275,250,265,1450
12/28/2015,265,274,258,273,910
12/29/2015,273,280,265,273,750
12/31/2015,273,276,265,271,2330
01/03/2016,271,271,261,267,1230
01/04/2016,267,280,266,276,1050
01/05/2016,276,281,270,277,1690
01/06/2016,277,285,270,280,1580
01/07/2016,280,283,270,283,1060
01/10/2016,283,288,267,282,1690
01/11/2016,282,282,260,273,4310
01/12/2016,273,280,258,275,4060
01/12/2016,273,280,258,275,4060
01/13/2016,275,290,269,290,4650
01/14/2016,290,306,270,280,5130
01/24/2016,280,308,285,308,900
01/25/2016,308,338,314,330,3950
01/26/2016,330,336,324,324,1980
01/27/2016,324,318,312,312,500
01/28/2016,312,320,312,320,665
02/01/2016,320,320,314,314,70
02/04/2016,314,316,316,316,10
02/07/2016,316,315,315,315,80
02/08/2016,315,336,320,336,1655
02/11/2016,336,352,335,352,440
02/14/2016,352,345,345,345,10
02/15/2016,345,345,339,345,160
02/16/2016,345,340,339,340,80
02/18/2016,340,359,345,347,510
02/21/2016,347,347,347,347,70
02/22/2016,347,350,346,350,160
02/23/2016,350,345,345,345,20
02/24/2016,345,345,345,345,10
02/25/2016,345,345,345,345,30
02/28/2016,345,345,345,345,100
02/29/2016,345,351,346,351,20
03/01/2016,351,352,351,352,1120
03/03/2016,352,350,350,350,300
03/06/2016,350,361,352,361,90
03/10/2016,361,354,353,353,300
03/13/2016,353,374,360,374,580
03/15/2016,374,411,381,411,500
03/16/2016,411,452,411,452,120
03/17/2016,452,484,452,484,650
03/21/2016,484,532,493,532,1480
03/23/2016,532,532,522,522,320
03/28/2016,522,512,512,512,10
04/03/2016,512,502,502,502,50
04/04/2016,502,492,492,492,50
04/18/2016,492,483,447,447,50
04/19/2016,447,439,403,418,3790
04/20/2016,418,410,400,401,510
04/21/2016,401,402,395,395,670
04/24/2016,395,395,388,395,30
04/25/2016,395,414,400,414,330
04/26/2016,414,422,415,420,790
04/27/2016,420,421,420,421,160
04/28/2016,421,429,417,417,130
05/03/2016,417,409,404,404,20
05/04/2016,404,400,385,390,240
05/05/2016,390,395,385,395,840
05/08/2016,395,391,385,391,380
05/09/2016,391,388,380,388,500
05/10/2016,388,400,381,392,1390
05/11/2016,392,395,378,392,950
05/12/2016,392,399,385,395,50
05/15/2016,395,400,385,400,360
05/16/2016,400,399,392,393,840
05/17/2016,393,399,385,395,1440
05/18/2016,395,410,397,398,350
05/19/2016,398,400,386,395,750
05/22/2016,395,403,392,403,860
05/23/2016,403,406,400,400,410
05/24/2016,400,405,399,401,250
05/25/2016,401,405,372,372,280
05/26/2016,372,390,366,390,130
05/29/2016,390,400,395,399,220
05/30/2016,399,400,391,400,360
05/31/2016,400,440,400,440,6320
