Date,Open,High,Low,Close,Volume
04/02/2012,0,111,111,111,20
04/30/2012,111,111,111,111,30
12/10/2012,111,109,103,103,140
01/23/2013,103,103,103,103,240
02/10/2013,103,103,103,103,4000
02/12/2013,103,103,103,103,500
02/21/2013,103,103,103,103,1000
09/30/2013,103,103,103,103,30
03/26/2014,103,107,105,107,370
03/27/2014,107,113,107,113,580
03/31/2014,113,117,115,115,190
04/01/2014,115,121,117,121,520
04/02/2014,121,119,117,117,50
04/06/2014,117,115,111,111,30
04/07/2014,111,109,107,107,20
04/09/2014,107,109,109,109,160
04/16/2014,109,110,110,110,110
04/17/2014,110,108,104,106,3380
04/20/2014,106,109,106,109,1640
04/21/2014,109,111,107,111,1510
04/22/2014,111,110,109,110,1500
04/27/2014,110,118,112,116,1190
04/28/2014,116,116,114,116,1010
04/29/2014,116,117,115,117,210
04/30/2014,117,119,119,119,50
05/06/2014,119,121,121,121,120
05/11/2014,121,121,121,121,240
05/13/2014,121,121,121,121,160
05/15/2014,121,123,121,123,130
05/15/2014,121,123,121,123,130
05/18/2014,123,123,123,123,300
05/25/2014,123,121,121,121,10
05/26/2014,121,121,121,121,30
05/27/2014,121,121,121,121,130
05/28/2014,121,119,117,119,30
06/01/2014,119,117,117,117,30
06/03/2014,117,115,115,115,10
06/04/2014,115,117,117,117,300
06/05/2014,117,119,119,119,350
06/08/2014,119,121,117,117,1077
06/09/2014,117,123,119,123,930
07/01/2014,123,125,125,125,195560
07/06/2014,125,129,127,129,500
07/07/2014,129,131,131,131,11
07/08/2014,131,135,133,135,320
07/13/2014,135,141,137,141,221
07/15/2014,141,145,143,145,170
07/16/2014,145,149,147,149,150
07/17/2014,149,163,151,163,290
07/24/2014,163,166,166,166,10
07/27/2014,166,169,169,169,10
07/28/2014,169,169,169,169,10
07/31/2014,169,181,172,181,40
08/03/2014,181,187,181,181,17270
08/04/2014,181,187,181,184,17310
08/05/2014,184,193,187,193,590
08/06/2014,193,212,196,212,2071
08/07/2014,212,220,215,220,430
08/14/2014,220,218,218,218,100
08/18/2014,218,230,214,214,3811
08/19/2014,214,212,208,212,1170
08/20/2014,212,216,216,216,100
08/28/2014,216,212,212,212,250
08/31/2014,212,208,208,208,30
09/18/2014,208,204,204,204,30
09/24/2014,204,200,190,190,40
10/09/2014,190,187,172,172,590
10/20/2014,172,169,160,160,330
10/21/2014,160,157,146,150,6790
10/27/2014,150,147,145,147,150
10/28/2014,147,154,149,154,70
10/30/2014,154,152,151,151,1060
11/02/2014,151,149,147,147,3700
11/04/2014,147,145,143,143,60
11/05/2014,143,145,143,145,61
11/11/2014,145,147,141,147,300
11/12/2014,147,151,149,151,20
11/13/2014,151,158,150,155,1180
11/16/2014,155,158,152,152,660
11/18/2014,152,149,149,149,510
11/20/2014,149,154,151,154,20
11/23/2014,154,151,146,146,600
11/25/2014,146,144,142,142,240
11/30/2014,142,144,144,144,60
12/02/2014,144,148,146,148,360
12/08/2014,148,149,147,149,2080
12/09/2014,149,149,149,149,210
12/22/2014,149,151,151,151,10
12/24/2014,151,148,147,147,120
12/28/2014,147,146,146,146,1000
12/28/2014,147,146,146,146,1000
12/29/2014,146,148,146,146,271
12/31/2014,146,148,147,148,300
01/01/2015,148,162,150,162,2430
01/05/2015,162,164,157,157,490
01/06/2015,157,155,155,155,250
01/07/2015,155,164,157,164,1100
01/08/2015,164,168,165,165,1790
01/11/2015,165,162,162,162,110
01/13/2015,162,171,165,171,2220
01/18/2015,171,177,174,177,400
01/19/2015,177,192,180,192,340
01/20/2015,192,211,195,211,510
01/22/2015,211,232,215,232,1390
01/25/2015,232,255,236,255,4130
01/26/2015,255,280,260,280,4930
01/27/2015,280,283,272,272,2380
01/28/2015,272,277,265,277,3180
02/01/2015,277,297,282,297,1580
02/02/2015,297,326,302,315,2280
02/03/2015,315,309,309,309,1000
02/04/2015,309,327,303,327,2160
02/05/2015,327,321,315,315,60
02/08/2015,315,309,309,309,190
02/09/2015,309,305,303,305,1560
02/10/2015,305,299,299,299,130
02/11/2015,299,314,294,314,3331
02/12/2015,314,314,296,300,7960
02/15/2015,300,310,302,309,2810
02/16/2015,309,314,304,310,3010
02/16/2015,309,314,304,310,3010
02/18/2015,310,304,298,298,1130
02/23/2015,298,294,294,294,500
02/25/2015,294,290,290,290,200
02/26/2015,290,292,287,292,720
03/03/2015,292,288,288,288,150
03/10/2015,288,283,281,281,100
03/11/2015,281,285,285,285,200
03/12/2015,285,311,288,296,4140
03/15/2015,296,291,286,286,160
03/16/2015,286,282,278,278,1910
03/17/2015,278,283,278,283,380
03/18/2015,283,289,280,285,4100
03/19/2015,285,280,278,278,860
03/22/2015,278,283,278,279,1500
03/23/2015,279,284,284,284,11
03/24/2015,284,279,275,275,400
03/26/2015,275,270,260,265,3650
03/29/2015,265,260,260,260,100
03/30/2015,260,260,260,260,60
04/02/2015,260,263,258,263,550
04/05/2015,263,258,258,258,40
