Date,Open,High,Low,Close,Volume
03/20/2011,248,248,248,248,2000
06/14/2011,248,244,244,244,788
07/17/2011,244,243,243,243,440
07/21/2011,243,239,239,239,2066
07/31/2011,239,239,235,239,936
08/02/2011,239,235,235,235,28
08/04/2011,235,235,235,235,68
08/28/2011,235,231,227,227,103
09/12/2011,227,231,231,231,20
09/14/2011,231,231,231,231,1500
09/26/2011,231,227,227,227,20
12/06/2011,227,226,226,226,514
01/10/2012,226,226,226,226,720
01/29/2012,226,222,218,218,1463
01/31/2012,218,214,198,198,1201
03/15/2012,198,172,172,172,607
05/09/2012,172,175,175,175,20
07/29/2012,175,172,172,172,16
09/06/2012,172,172,172,172,697
09/10/2012,172,172,172,172,1285
09/12/2012,172,172,171,171,2021
09/17/2012,171,171,171,171,100
09/24/2012,171,170,170,170,185
10/08/2012,170,172,172,172,50
03/19/2013,172,169,160,160,624
03/25/2013,160,163,160,163,979
06/19/2013,163,155,155,155,200
06/24/2013,155,152,149,149,200
06/30/2013,149,147,147,147,517
07/17/2013,147,147,147,147,408
09/04/2013,147,149,149,149,578
09/05/2013,149,147,147,147,250
09/15/2013,147,149,149,149,136
09/30/2013,149,149,149,149,1371
03/13/2014,149,126,126,126,60
03/13/2014,124,126,126,126,60
04/07/2014,126,136,128,136,50
04/09/2014,136,142,138,142,30
04/16/2014,142,153,144,153,50
04/21/2014,153,168,156,168,854
04/29/2014,168,184,171,184,60
05/04/2014,184,193,187,193,38
05/11/2014,193,212,202,212,529
05/12/2014,212,233,222,233,380
05/13/2014,233,256,244,256,1508
05/15/2014,256,281,261,281,775
05/15/2014,256,281,261,281,775
05/18/2014,281,309,290,309,10153
05/19/2014,309,339,315,336,2592
05/20/2014,336,330,324,324,2266
05/22/2014,324,318,318,318,14
05/25/2014,318,312,300,300,210
06/02/2014,300,294,294,294,80
06/03/2014,294,289,284,289,21411
06/04/2014,289,285,282,282,1089
06/05/2014,282,280,277,280,677
06/09/2014,280,290,275,290,413
06/10/2014,290,306,290,300,1683
06/15/2014,300,295,295,295,552
06/16/2014,295,290,290,290,3396
06/17/2014,290,290,285,285,3107
06/17/2014,290,290,285,285,3107
06/18/2014,285,300,290,294,1757
06/19/2014,294,306,299,306,997
06/23/2014,306,314,308,310,1386
06/24/2014,310,316,304,316,1595
07/06/2014,316,310,310,310,954
07/07/2014,310,316,304,316,2478
07/13/2014,316,322,322,322,540
07/14/2014,322,322,320,320,1629
07/15/2014,320,326,320,326,2186
07/16/2014,326,332,330,330,6093
07/17/2014,330,330,324,324,2538
07/20/2014,324,356,330,356,3352
07/21/2014,356,363,363,363,10
07/22/2014,363,372,363,372,3594
07/24/2014,372,397,379,397,3083
07/27/2014,397,420,403,420,486
07/28/2014,420,435,428,435,1551
07/30/2014,435,450,443,443,1100
07/31/2014,443,451,445,445,523
08/03/2014,445,453,450,450,1098
08/05/2014,450,455,455,455,10
08/12/2014,455,450,442,442,1120
08/13/2014,442,434,434,434,33
08/14/2014,434,434,418,421,3798
08/18/2014,421,437,429,437,4158
08/19/2014,437,445,434,443,4855
08/20/2014,443,447,435,442,3952
08/21/2014,442,449,448,449,2678
08/24/2014,449,447,446,447,462
08/25/2014,447,447,441,447,358
08/26/2014,447,440,440,440,261
08/27/2014,440,440,424,430,3531
08/28/2014,430,422,418,418,1643
08/31/2014,418,418,410,410,1512
09/04/2014,410,409,402,409,794
09/09/2014,409,409,409,409,987
09/10/2014,409,401,393,393,497
09/14/2014,393,390,390,390,200
09/16/2014,390,397,390,397,2147
09/17/2014,397,390,390,390,1035
09/18/2014,390,383,376,376,10319
09/21/2014,376,376,369,369,484
09/22/2014,369,376,369,376,2461
09/24/2014,376,369,369,369,456
09/28/2014,369,375,370,370,3193
09/29/2014,370,378,364,378,3404
