Date,Open,High,Low,Close,Volume
04/18/2011,2995,2936,2936,2936,104
04/21/2011,2936,2878,2878,2878,60
05/16/2011,2878,2935,2935,2935,40
05/30/2011,2935,2877,2820,2820,221
05/31/2011,2820,2764,2764,2764,100
06/06/2011,2764,2709,2655,2655,210
09/05/2011,2655,2650,2650,2650,100
09/13/2011,2650,2703,2703,2703,100
09/29/2011,2703,2757,2757,2757,510
11/13/2011,2757,2756,2756,2756,10
12/18/2011,2756,2810,2810,2810,100
01/10/2012,2810,2760,2598,2598,277
01/11/2012,2598,2547,2400,2400,195
02/27/2012,2400,2352,2352,2352,98
02/29/2012,2352,2469,2469,2469,430
03/04/2012,2469,2420,2420,2420,1827
03/11/2012,2420,2419,2419,2419,500
03/19/2012,2419,2450,2450,2450,690
03/20/2012,2450,2401,2352,2352,319
03/21/2012,2352,2399,2399,2399,690
03/29/2012,2399,2399,2399,2399,50
04/03/2012,2399,2399,2399,2399,50
04/04/2012,2399,2352,2259,2259,309
04/05/2012,2259,2259,2259,2259,50
04/08/2012,2259,2214,2169,2169,530
04/12/2012,2169,2169,2169,2169,300
04/24/2012,2169,2126,2084,2084,1492
04/25/2012,2084,2100,2100,2100,500
05/10/2012,2100,2058,2017,2017,550
06/20/2012,2017,2049,2049,2049,100
06/26/2012,2049,2050,2050,2050,24
07/31/2012,2050,2010,2000,2000,110
08/13/2012,2000,1961,1961,1961,10
08/23/2012,1961,2000,2000,2000,10
08/26/2012,2000,1960,1921,1921,510
08/27/2012,1921,1883,1883,1883,10
08/28/2012,1883,1846,1846,1846,10
08/29/2012,1846,1810,1810,1810,10
08/30/2012,1810,1774,1705,1705,30
09/12/2012,1705,1773,1739,1773,20
09/17/2012,1773,1808,1808,1808,10
09/18/2012,1808,1772,1772,1772,50
09/19/2012,1772,1807,1807,1807,10
09/20/2012,1807,1800,1800,1800,10
09/23/2012,1800,1800,1799,1800,30
10/07/2012,1830,1829,1829,1829,348
12/17/2012,1829,1793,1793,1793,100
01/22/2013,1793,1758,1758,1758,10
01/23/2013,1758,1793,1793,1793,500
01/31/2013,1793,1828,1828,1828,10
02/04/2013,1828,1864,1864,1864,10
02/05/2013,1864,1901,1901,1901,10
02/06/2013,1901,1939,1939,1939,10
02/19/2013,1939,1901,1901,1901,320
02/21/2013,1901,1863,1825,1825,564
02/26/2013,1825,1790,1790,1790,162
03/05/2013,1790,1760,1760,1760,10
03/06/2013,1760,1725,1725,1725,145
03/11/2013,1725,1695,1695,1695,60
03/13/2013,1695,1720,1720,1720,35
03/14/2013,1720,1686,1686,1686,80
03/17/2013,1686,1670,1670,1670,28
03/20/2013,1670,1637,1637,1637,24
04/01/2013,1637,1650,1650,1650,300
04/09/2013,1650,1640,1640,1640,20
04/22/2013,1640,1670,1670,1670,10
04/23/2013,1670,1672,1672,1672,10
04/25/2013,1672,1730,1700,1730,20
05/21/2013,1730,1764,1764,1764,10
05/23/2013,1764,1799,1799,1799,10
06/23/2013,1799,1833,1833,1833,100
07/08/2013,1833,1742,1742,1742,60
07/16/2013,1742,1742,1742,1742,400
07/23/2013,1742,1776,1776,1776,10
09/11/2013,1776,1776,1776,1776,36
09/22/2013,1776,1741,1741,1741,130
10/06/2013,1741,1741,1741,1741,30
11/28/2013,1741,1755,1755,1755,292
12/10/2013,1755,1730,1730,1730,105
12/18/2013,1730,1764,1764,1764,100
01/05/2014,1764,1763,1729,1763,413
01/06/2014,1763,1763,1728,1728,134
01/13/2014,1728,1750,1749,1750,378
01/19/2014,1750,1715,1715,1715,160
01/22/2014,1715,1759,1749,1759,1000
02/03/2014,1759,1829,1794,1829,623
02/09/2014,1850,1820,1820,1820,250
02/12/2014,1820,1893,1856,1893,613
