Date,Open,High,Low,Close,Volume
03/25/2011,760,745,745,745,130
04/27/2011,745,775,759,775,70
06/12/2011,775,775,775,775,20
07/03/2011,775,805,790,805,100
07/04/2011,805,853,821,853,150
07/05/2011,853,887,870,887,100
07/06/2011,887,958,904,958,200
07/11/2011,958,989,970,989,150
11/17/2011,989,989,989,989,30
12/07/2011,989,1000,1000,1000,100
12/11/2011,1000,1000,1000,1000,20
09/11/2012,1000,1018,1018,1018,30
12/02/2012,1018,1038,1018,1038,100
12/04/2012,1038,1058,1018,1058,120
12/13/2012,1058,1079,1079,1079,50
12/16/2012,1079,1100,1100,1100,100
12/27/2012,1100,1144,1100,1144,100
01/08/2013,1144,1166,1166,1166,101
01/20/2013,1166,1189,1189,1189,10
02/07/2013,1189,1190,1190,1190,40
03/06/2013,1190,1213,1213,1213,10
03/20/2013,1213,1237,1237,1237,28
03/27/2013,1237,1286,1261,1286,20
05/09/2013,1286,1290,1290,1290,20
06/04/2013,1290,1290,1290,1290,20
06/16/2013,1290,1305,1305,1305,700
06/19/2013,1305,1315,1315,1315,202
07/02/2013,1315,1315,1315,1315,486
07/15/2013,1315,1315,1315,1315,500
07/18/2013,1315,1341,1341,1341,10
08/04/2013,1341,1394,1367,1394,38
09/22/2013,1394,1367,1263,1263,400
09/26/2013,1263,1238,1144,1144,50
10/01/2013,1144,1126,1126,1126,10
10/06/2013,1126,1238,1148,1238,1490
10/07/2013,1238,1361,1262,1361,450
10/08/2013,1361,1415,1388,1415,310
10/24/2013,1415,1471,1443,1471,400
10/27/2013,1471,1618,1500,1618,500
10/28/2013,1618,1650,1650,1650,50
10/29/2013,1650,1683,1683,1683,100
10/30/2013,1683,1716,1716,1716,10
11/07/2013,1716,1750,1716,1750,2010
11/11/2013,1750,1750,1750,1750,50
11/14/2013,1750,1750,1750,1750,100
11/24/2013,1750,1785,1785,1785,100
11/25/2013,1785,1785,1751,1751,2000
01/06/2014,1751,1716,1716,1716,2000
01/08/2014,1716,1720,1720,1720,101
01/09/2014,1720,1750,1725,1750,100
01/29/2014,1750,1715,1715,1715,20
02/03/2014,1715,1715,1715,1715,300
02/11/2014,1715,1681,1681,1681,100
02/12/2014,1681,1714,1680,1714,145
03/10/2014,1714,1680,1680,1680,50
03/13/2014,1680,1713,1713,1713,25
03/13/2014,1680,1713,1713,1713,25
06/09/2014,1713,1679,1646,1646,500
08/21/2014,1646,1678,1678,1678,2000
08/27/2014,1678,1710,1710,1710,101
08/28/2014,1710,1725,1725,1725,1000
09/07/2014,1725,1715,1715,1715,238
09/10/2014,1715,1749,1715,1749,315
09/14/2014,1749,1783,1783,1783,50
09/15/2014,1783,1818,1818,1818,50
09/17/2014,1818,1854,1850,1854,100
09/24/2014,1854,1850,1850,1850,100
10/12/2014,1850,1825,1825,1825,50
11/09/2014,1825,1789,1755,1755,100
11/10/2014,1755,1825,1790,1825,4000
11/17/2014,1825,1825,1825,1825,100
12/23/2014,1825,1835,1835,1835,100
02/02/2015,1835,1850,1850,1850,50
02/03/2015,1850,1962,1887,1962,30
02/04/2015,1962,2122,2001,2122,40
02/05/2015,2122,2334,2164,2334,140
02/08/2015,2334,2380,2380,2380,10
02/10/2015,2380,2370,2304,2304,245
03/16/2015,2304,2350,2303,2303,170
04/06/2015,2303,2345,2345,2345,100
04/07/2015,2345,2299,2254,2254,20
04/12/2015,2254,2230,2209,2209,170
07/27/2015,2209,2200,2200,2200,70
07/28/2015,2200,2160,2160,2160,50
08/09/2015,2160,2203,2203,2203,100
08/13/2015,2203,2247,2247,2247,10
08/18/2015,2247,2203,2203,2203,10
08/18/2015,2247,2203,2203,2203,10
09/14/2015,2203,2247,2247,2247,46
09/15/2015,2247,2382,2291,2335,3600
09/16/2015,2335,2346,2300,2346,1050
09/22/2015,2346,2392,2392,2392,10
09/23/2015,2392,2544,2400,2544,1400
09/24/2015,2544,2500,2500,2500,1000
09/28/2015,2500,2450,2450,2450,50
12/13/2015,2450,2401,2401,2401,500
01/12/2016,2401,2370,2353,2353,20
01/12/2016,2401,2370,2353,2353,20
05/23/2016,2353,2415,2400,2400,1131
06/14/2016,2400,2640,2448,2640,140
06/15/2016,2640,2904,2692,2904,150
06/16/2016,2904,3021,2962,3021,600
06/19/2016,3021,3081,3081,3081,10
06/23/2016,3081,3204,3142,3204,20
06/27/2016,3204,3268,3268,3268,10
06/28/2016,3268,3333,3333,3333,10
06/29/2016,3333,3398,3398,3398,1000
07/05/2016,3398,3737,3465,3737,90
07/06/2016,3737,4043,3811,4043,50
07/10/2016,4043,4123,4123,4123,500
07/11/2016,4123,4535,4205,4535,50
07/12/2016,4535,4988,4625,4988,1490
07/13/2016,4988,5486,5087,5486,90
07/14/2016,5486,5936,5595,5936,40
07/17/2016,5936,6529,6054,6529,1010
07/18/2016,6529,7181,6659,7181,50
07/19/2016,7181,7771,7324,7771,40
07/20/2016,7771,8548,7926,8548,95
07/21/2016,8548,9402,8718,9402,930
07/25/2016,9402,9999,9400,9449,340
07/26/2016,9449,9261,8505,8505,70
07/27/2016,8505,8848,8675,8848,60
07/28/2016,8848,8672,7964,7964,130
07/31/2016,7964,7948,7202,7948,260
08/01/2016,7948,7790,7351,7351,250
08/02/2016,7351,7850,7498,7850,150
08/03/2016,7850,7693,7243,7243,80
08/04/2016,7243,7099,6958,7001,110
08/07/2016,7001,7141,6301,6301,210
08/08/2016,6301,6200,5931,5931,200
08/10/2016,5931,6292,6049,6292,30
08/11/2016,6292,6550,6200,6200,450
08/16/2016,6200,6324,6324,6324,10
08/17/2016,6324,6198,6198,6198,10
08/21/2016,6198,6078,5720,5720,120
08/22/2016,5720,5608,5292,5292,733
08/23/2016,5292,5188,4983,5082,190
08/24/2016,5082,5182,5182,5182,30
08/28/2016,5182,5390,5285,5300,2070
08/29/2016,5300,5830,5406,5830,170
08/30/2016,5830,6412,5946,6384,130
08/31/2016,6384,6650,6510,6650,40
09/01/2016,6650,6655,6520,6520,60
09/03/2016,6520,6390,6390,6390,30
09/04/2016,6520,6390,6390,6390,30
09/05/2016,6390,6263,5896,5896,70
09/06/2016,5896,5779,5664,5664,50
09/07/2016,5664,5551,5551,5551,40
09/14/2016,5551,5662,5662,5662,50
09/25/2016,5662,5555,5555,5555,10
09/27/2016,5555,5444,5126,5126,60
09/28/2016,5126,5024,4831,4831,80
09/29/2016,4831,5097,4831,5097,140
10/03/2016,5097,5200,5150,5200,60
10/05/2016,5200,5300,5300,5300,10
10/19/2016,5300,5200,5200,5200,20
10/20/2016,5200,5096,5096,5096,20
11/14/2016,5096,5280,5197,5280,150
11/15/2016,5280,5175,5000,5000,150
11/20/2016,5000,4900,4700,4700,41
11/23/2016,4700,4606,4514,4514,50
11/24/2016,4514,4500,4425,4500,80
11/28/2016,4500,4410,4322,4322,20
11/29/2016,4322,4325,4000,4010,340
12/01/2016,4010,4010,4010,4010,37
12/04/2016,4010,4090,4090,4090,20
12/11/2016,4090,4149,4149,4149,60
12/15/2016,4149,4231,4231,4231,50
01/01/2017,4231,4147,4065,4065,20
01/02/2017,4065,4228,4144,4144,60
01/25/2017,4144,4062,3902,3902,30
02/15/2017,3902,3824,3819,3819,110
02/16/2017,3819,3750,3743,3743,30
02/23/2017,3743,3669,3669,3669,10
02/26/2017,3669,3650,3596,3650,50
03/02/2017,3650,3645,3610,3610,25
03/06/2017,3610,3538,3500,3500,30
03/15/2017,3500,3510,3510,3510,80
03/28/2017,3510,3510,3510,3510,350
03/29/2017,3510,3450,3440,3450,530
04/06/2017,3450,3450,3450,3450,12
04/09/2017,3450,3382,3382,3382,100
04/10/2017,3382,3449,3449,3449,10
04/11/2017,3449,3793,3517,3793,50
04/12/2017,3793,4172,3868,4088,720
04/13/2017,4088,4010,4010,4010,30
04/18/2017,4010,3930,3930,3930,20
04/19/2017,3930,4000,4000,4000,10
04/20/2017,4000,3920,3920,3920,40
04/23/2017,3920,3998,3998,3998,50
04/25/2017,3998,4000,4000,4000,10
04/27/2017,4000,4000,4000,4000,20
05/02/2017,4000,3920,3920,3920,12
05/03/2017,3920,3995,3890,3890,3671
05/04/2017,3890,3891,3891,3891,1000
05/07/2017,3891,3968,3968,3968,10
05/11/2017,3968,4211,3970,4127,1280
05/15/2017,4127,4539,4200,4539,565
05/16/2017,4539,4992,4629,4992,210
05/17/2017,4992,5491,5091,5491,60
05/18/2017,5491,6040,5600,6040,75
05/21/2017,6040,6644,6160,6644,50
05/22/2017,6644,6776,6776,6776,10
05/23/2017,6776,7453,6800,7354,1562
05/24/2017,7354,7350,6999,7205,2690
05/28/2017,7205,7349,6792,6800,670
05/30/2017,6800,6927,6691,6927,721
05/31/2017,6927,6800,6600,6600,1125
06/01/2017,6600,6866,6724,6724,145
06/04/2017,6724,6590,6590,6590,45
06/05/2017,6590,6590,6459,6459,160
06/06/2017,6459,6447,6260,6270,250
06/07/2017,6270,6395,6271,6395,20
06/08/2017,6395,6300,6300,6300,10
06/11/2017,6300,6477,6350,6477,70
06/12/2017,6477,6500,6370,6370,20
06/13/2017,6370,6497,6243,6497,190
06/14/2017,6497,6450,6440,6450,390
06/15/2017,6450,6570,6432,6570,135
06/18/2017,6570,6445,6442,6442,700
06/19/2017,6442,6314,6101,6101,80
06/20/2017,6101,6225,6111,6111,40
06/21/2017,6111,6200,6200,6200,100
06/25/2017,6200,6324,6324,6324,10
06/27/2017,6324,6200,6198,6199,110
07/02/2017,6199,6200,6080,6200,130
07/06/2017,6200,6300,6300,6300,90
07/09/2017,6300,6174,6071,6071,70
07/10/2017,6071,6192,6075,6075,840
07/11/2017,6075,6085,6075,6085,870
07/17/2017,6085,6205,6205,6205,20
07/18/2017,6205,6205,6205,6205,50
07/19/2017,6205,6420,6300,6400,110
07/20/2017,6400,6528,6400,6400,20
07/23/2017,6400,6528,6525,6525,20
07/24/2017,6525,6850,6655,6750,150
07/25/2017,6750,7300,6885,7300,350
07/26/2017,7300,8000,7386,7386,390
07/27/2017,7386,7260,7260,7260,226
07/30/2017,7260,7405,7200,7200,90
07/31/2017,7200,7343,7215,7215,100
08/01/2017,7215,7222,7075,7222,350
08/02/2017,7222,7366,6939,7077,250
