Date,Open,High,Low,Close,Volume
04/19/2011,700,713,713,713,10
04/26/2011,713,727,727,727,428755
06/08/2011,727,755,741,755,23
06/09/2011,755,785,770,785,30
06/12/2011,785,816,800,816,25
06/13/2011,816,832,832,832,25
06/14/2011,832,848,848,848,14
06/15/2011,848,890,890,890,10
06/16/2011,890,907,907,907,17
06/19/2011,907,952,952,952,30
06/20/2011,907,952,952,952,30
06/21/2011,990,1009,1009,1009,10
06/23/2011,1009,1080,1059,1080,70
06/26/2011,1080,1179,1134,1179,110
06/27/2011,1179,1250,1202,1250,130
06/29/2011,1250,1364,1312,1364,180
06/30/2011,1364,1489,1432,1489,190
07/05/2011,1489,1548,1518,1548,20
07/10/2011,1548,1702,1578,1702,550
07/11/2011,1702,1872,1736,1872,50
07/13/2011,1872,1909,1835,1835,73
07/14/2011,1835,1799,1729,1729,60
07/17/2011,1729,1700,1691,1691,428805
08/04/2011,1691,1690,1690,1690,320
08/10/2011,1690,1690,1690,1690,250
08/16/2011,1690,1690,1690,1690,250
08/18/2011,1690,1690,1690,1690,10
08/30/2011,1690,1690,1690,1690,200
10/10/2011,1690,1690,1690,1690,14
11/28/2011,1690,1690,1690,1690,127
04/12/2012,1690,1690,1690,1690,960
09/11/2012,1690,1680,1680,1680,20
05/26/2013,1680,1680,1680,1680,20
07/15/2013,1680,1680,1680,1680,60
08/26/2014,1660,1660,1660,1660,840
09/10/2014,1660,1660,1660,1660,82
