Date,Open,High,Low,Close,Volume
03/13/2013,0,122,122,122,100
03/19/2013,122,120,116,116,200
03/21/2013,116,114,114,114,3000
08/12/2013,114,112,112,112,210
08/13/2013,112,110,110,110,110
12/18/2013,110,112,112,112,350
12/22/2013,112,114,114,114,200
12/26/2013,114,114,114,114,100
01/14/2014,114,112,110,110,300
01/19/2014,110,112,112,112,500
01/21/2014,112,116,113,113,1460
01/22/2014,113,114,111,114,3000
01/23/2014,114,112,112,112,100
01/26/2014,112,114,114,114,400
01/27/2014,114,114,112,114,2280
01/28/2014,114,116,116,116,250
02/17/2014,118,120,120,120,350
02/18/2014,120,122,122,122,110
02/23/2014,122,124,124,124,1020
02/24/2014,124,126,126,126,230
03/04/2014,126,128,128,128,960
03/06/2014,128,130,130,130,50
03/11/2014,130,132,132,132,100
03/13/2014,132,134,134,134,50
03/13/2014,132,134,134,134,50
03/17/2014,134,136,136,136,160
03/19/2014,136,141,138,141,1450
03/27/2014,141,140,140,140,40
04/10/2014,140,138,138,138,60
06/03/2014,138,136,130,130,200
06/10/2014,130,128,125,125,210
06/16/2014,125,127,127,127,1000
06/23/2014,127,125,123,123,960
06/24/2014,123,126,124,124,2900
06/25/2014,124,127,123,126,4410
06/26/2014,126,128,128,128,100
07/01/2014,128,138,130,138,4040
