Date,Open,High,Low,Close,Volume
04/04/2011,162,159,150,150,346
04/05/2011,150,148,148,148,460
04/06/2011,148,146,140,140,459
04/07/2011,140,138,130,130,450
04/11/2011,130,140,132,140,140
04/13/2011,140,153,142,153,105
04/19/2011,153,156,156,156,10
04/27/2011,156,156,156,156,690
05/04/2011,156,149,145,145,10840
05/08/2011,145,152,152,152,20
05/10/2011,152,149,147,147,1653
05/12/2011,147,149,149,149,13
05/30/2011,149,147,143,143,284
06/01/2011,143,141,141,141,100
06/02/2011,141,141,139,141,268
06/06/2011,141,143,139,143,65
06/07/2011,143,145,145,145,20
06/08/2011,145,143,143,143,220
06/09/2011,143,142,137,142,127
06/13/2011,142,146,146,146,30
06/14/2011,146,149,149,149,30
06/19/2011,149,150,150,150,515
06/20/2011,149,150,150,150,515
06/26/2011,150,147,147,147,194
06/27/2011,147,145,145,145,100
07/07/2011,145,143,143,143,50
07/12/2011,143,141,141,141,200
08/09/2011,141,139,137,137,100
08/11/2011,137,135,129,129,360
08/15/2011,129,127,122,122,1316
08/16/2011,122,124,110,110,1625
08/17/2011,110,114,108,114,17652
08/18/2011,114,120,116,120,1558
08/22/2011,120,130,120,130,473
08/23/2011,130,134,132,134,47
08/24/2011,134,138,136,138,32
08/25/2011,138,142,140,142,30
09/12/2011,142,146,144,146,100
09/14/2011,146,144,132,132,1741
09/15/2011,132,130,126,126,252
09/18/2011,126,124,122,122,667
09/29/2011,122,126,124,126,145
