Date,Open,High,Low,Close,Volume
07/04/2012,0,128,114,114,504
07/05/2012,114,117,110,117,1515
07/08/2012,117,117,115,115,2526
07/09/2012,115,115,113,114,2215
07/10/2012,114,115,112,115,894
07/11/2012,115,117,111,111,3397
07/12/2012,111,113,111,111,3067
07/15/2012,111,112,112,112,500
07/16/2012,112,113,112,113,5924
07/17/2012,113,114,114,114,451
07/18/2012,114,115,113,115,1587
07/19/2012,115,119,117,119,260
07/22/2012,119,122,118,122,600
07/23/2012,122,124,119,121,3658
07/24/2012,121,121,118,118,2105
07/25/2012,118,118,117,117,909
07/26/2012,117,117,115,117,688
07/30/2012,117,119,117,118,129
07/31/2012,118,120,118,118,695
08/01/2012,118,119,119,119,910
08/05/2012,119,120,119,120,226
08/06/2012,120,118,118,118,460
08/07/2012,118,119,119,119,205
08/12/2012,119,117,117,117,74
08/13/2012,117,117,115,116,729
08/15/2012,116,117,115,115,1737
08/16/2012,115,114,114,114,1134
08/21/2012,114,116,115,115,1978
08/22/2012,115,117,116,117,841
08/23/2012,117,119,117,118,204
08/26/2012,118,116,116,116,100
08/27/2012,116,115,115,115,680
08/28/2012,115,114,112,114,3489
08/29/2012,114,115,114,115,185
08/30/2012,115,114,114,114,170
09/02/2012,114,117,116,117,768
09/03/2012,117,119,119,119,358
09/04/2012,119,118,117,117,220
09/06/2012,117,119,115,115,5091
09/09/2012,115,113,113,113,45
09/11/2012,113,114,113,114,403
09/12/2012,114,115,113,113,980
09/13/2012,113,117,113,117,1014
09/16/2012,117,115,113,113,723
09/18/2012,113,115,114,115,685
09/19/2012,115,115,115,115,100
09/20/2012,115,113,108,108,1641
09/23/2012,108,114,110,114,1010
09/24/2012,114,113,113,113,1028
09/25/2012,113,112,109,109,1905
09/26/2012,109,111,108,110,47537
09/30/2012,110,110,110,110,328
10/02/2012,110,109,108,108,2257
10/03/2012,108,110,110,110,200
10/04/2012,110,110,110,110,500
10/07/2012,110,111,110,110,661
10/08/2012,110,108,106,106,1176
10/09/2012,106,111,108,110,4500
10/10/2012,110,111,110,110,1900
10/11/2012,110,112,112,112,100
10/15/2012,112,112,110,112,1752
10/30/2012,112,114,114,114,200
10/31/2012,114,116,116,116,260
11/01/2012,116,114,112,112,1150
11/04/2012,112,110,110,110,1200
11/05/2012,110,117,112,115,1385
11/06/2012,115,117,115,117,3219
11/07/2012,117,117,115,117,1030
11/08/2012,117,119,116,116,2380
11/11/2012,116,118,116,118,1625
11/12/2012,118,118,116,118,7615
11/18/2012,118,118,116,116,774
11/20/2012,116,122,118,122,3008
11/21/2012,122,122,114,116,1268
11/25/2012,116,118,118,118,66
11/26/2012,118,117,114,116,1688
11/27/2012,116,118,116,116,2113
11/28/2012,116,118,118,118,40
11/29/2012,118,117,117,117,100
12/02/2012,117,115,115,115,30
12/03/2012,115,113,113,113,898
12/04/2012,113,113,110,110,1028
12/05/2012,110,112,109,111,31003
12/06/2012,111,112,112,112,500
12/10/2012,112,113,113,113,300
12/11/2012,113,113,113,113,1000
12/13/2012,113,111,109,109,400
12/16/2012,109,111,111,111,200
12/17/2012,111,116,110,116,1415
12/18/2012,116,120,118,120,100
12/24/2012,120,118,112,112,219
12/26/2012,112,111,110,111,442
12/27/2012,111,109,109,109,317
12/31/2012,109,108,108,108,657
01/01/2013,108,106,104,104,370
01/03/2013,104,109,105,107,4896
01/06/2013,107,109,109,109,200
01/07/2013,109,109,107,107,808
01/10/2013,107,105,101,101,2387
01/13/2013,101,103,101,101,560
01/16/2013,101,102,100,102,921
01/17/2013,102,102,100,102,1957
01/20/2013,102,100,100,100,548
01/21/2013,100,102,102,102,710
01/22/2013,102,101,101,101,106
01/23/2013,101,102,100,101,1091
01/24/2013,101,100,100,100,500
01/27/2013,100,100,100,100,1242
01/28/2013,100,102,100,100,570
01/30/2013,100,99,99,99,9687
01/31/2013,99,98,97,97,1430
02/03/2013,97,100,98,100,245
02/04/2013,100,100,100,100,5572
02/06/2013,100,100,99,99,2671
02/07/2013,99,98,98,98,264
02/10/2013,98,98,97,98,520
02/12/2013,98,100,99,100,820
02/19/2013,100,100,100,100,155
02/21/2013,100,99,99,99,441
02/24/2013,99,99,99,99,200
02/26/2013,99,100,100,100,1840
02/27/2013,100,98,98,98,78
02/28/2013,98,99,99,99,1828
03/03/2013,99,100,98,100,545
03/04/2013,100,100,100,100,155
03/05/2013,100,102,101,101,587
03/06/2013,101,103,101,101,221
03/07/2013,101,103,101,101,1376
03/11/2013,101,102,102,102,135
03/13/2013,102,102,100,100,1140
03/14/2013,100,102,100,102,4077
03/17/2013,102,103,102,102,2172
03/18/2013,102,102,102,102,913
03/19/2013,102,100,100,100,45
03/20/2013,100,104,101,104,6445
03/21/2013,104,108,106,108,300
03/24/2013,108,106,102,102,2603
03/25/2013,102,102,102,102,429
03/27/2013,102,104,101,103,2259
03/28/2013,103,102,102,102,200
04/03/2013,102,104,102,102,434
04/04/2013,102,105,100,100,2288
04/07/2013,100,101,101,101,667
04/11/2013,101,103,102,103,728
04/17/2013,103,101,101,101,7212
04/18/2013,101,102,100,102,5970
04/21/2013,102,103,103,103,1021
04/22/2013,103,101,100,100,1869
04/28/2013,100,98,98,98,360
04/30/2013,98,100,99,100,1428
05/02/2013,100,100,99,99,1061
05/05/2013,99,100,99,100,383
05/06/2013,100,98,98,98,50
05/07/2013,98,99,99,99,100
05/08/2013,99,100,100,100,200
05/09/2013,100,102,99,101,1697
05/12/2013,101,101,100,100,894
05/13/2013,100,101,100,101,206
05/15/2013,101,100,100,100,53
05/19/2013,100,102,101,101,600
05/20/2013,101,102,102,102,127
05/21/2013,102,101,100,101,778
05/22/2013,101,99,99,99,328
05/23/2013,99,98,98,98,427
05/26/2013,98,99,98,98,1821
05/27/2013,98,98,98,98,351
05/28/2013,98,98,97,98,2127
06/03/2013,98,97,95,95,1582
06/09/2013,95,96,96,96,155
06/10/2013,96,96,94,94,1538
06/11/2013,94,95,95,95,114
06/12/2013,95,95,94,94,1063
06/13/2013,94,95,94,94,459
06/17/2013,94,95,95,95,265
06/18/2013,95,94,94,94,310
06/20/2013,94,96,95,96,1425
06/24/2013,96,95,94,94,1516
06/27/2013,94,93,92,92,98
07/01/2013,92,91,88,88,1286
07/02/2013,88,88,87,87,991
07/03/2013,87,87,87,87,131
07/04/2013,87,88,87,88,2871
07/07/2013,88,93,89,93,451
07/08/2013,93,102,94,102,637
07/09/2013,102,102,100,102,122
07/10/2013,102,109,104,109,191
07/11/2013,109,117,111,111,201
07/31/2013,111,109,109,109,26
08/05/2013,109,108,107,108,50
08/15/2013,108,106,104,104,1103
08/19/2013,104,102,94,94,8320
08/20/2013,94,95,90,95,23861
08/25/2013,95,98,96,98,2418
08/26/2013,98,98,97,98,1160
08/27/2013,98,99,97,99,927
08/29/2013,99,100,97,97,428
09/01/2013,97,96,95,95,506
09/04/2013,95,95,94,94,2286
09/05/2013,94,96,95,95,2175
09/08/2013,95,96,96,96,199
09/09/2013,96,97,96,97,752
09/10/2013,97,100,98,100,1547
09/11/2013,100,99,98,98,248
09/12/2013,98,100,97,100,574
09/15/2013,100,99,98,98,787
09/17/2013,98,97,96,96,1104
09/22/2013,96,97,97,97,29
09/23/2013,97,98,98,98,27
09/25/2013,98,98,98,98,140
10/01/2013,98,97,92,92,4735
10/02/2013,92,97,93,97,440
10/03/2013,97,102,98,102,151
10/06/2013,102,104,104,104,47
10/20/2013,104,102,102,102,300
10/21/2013,102,104,104,104,45
10/24/2013,104,106,106,106,108
10/30/2013,106,104,102,102,160
10/31/2013,102,100,100,100,35
11/06/2013,100,98,95,95,1001
11/07/2013,95,94,94,94,1000
11/13/2013,93,95,94,95,134
11/25/2013,95,104,96,104,3022
11/26/2013,104,109,105,109,1120
11/27/2013,109,109,104,104,840
11/28/2013,104,106,106,106,3051
12/01/2013,106,116,108,116,4332
12/02/2013,116,127,118,127,1546
12/03/2013,127,139,129,139,1571
12/04/2013,139,149,141,149,930
12/05/2013,149,160,150,155,6060
12/08/2013,155,153,153,153,396
12/09/2013,153,150,141,141,1514
12/11/2013,141,139,134,137,4796
12/15/2013,137,137,135,137,547
12/16/2013,137,141,139,141,1236
12/18/2013,141,143,141,141,1379
12/19/2013,141,140,138,138,1183
12/22/2013,138,142,140,140,1585
12/23/2013,140,138,134,134,1807
12/24/2013,134,138,136,136,727
12/26/2013,136,138,134,134,308
12/31/2013,134,136,134,134,156
01/01/2014,134,132,130,130,707
01/05/2014,130,129,123,123,1219
01/06/2014,123,122,121,121,1125
01/07/2014,121,123,119,121,2862
01/08/2014,121,123,123,123,443
01/09/2014,123,125,123,123,1016
01/12/2014,123,122,122,122,20
01/13/2014,122,124,122,124,430
01/14/2014,124,126,120,125,3996
01/16/2014,125,123,123,123,1240
01/19/2014,123,125,125,125,730
01/20/2014,125,127,127,127,37
01/21/2014,127,131,129,131,541
01/22/2014,131,134,133,134,3610
01/23/2014,134,147,136,147,2610
01/26/2014,147,160,149,160,178792
01/27/2014,160,176,163,176,10179
01/28/2014,176,184,164,164,7681
01/29/2014,164,164,156,164,2362
02/02/2014,164,162,155,155,1137
02/03/2014,155,155,148,148,2574
02/04/2014,148,149,146,148,1206
02/06/2014,162,174,165,168,6151
02/10/2014,168,170,168,170,556
02/11/2014,170,167,153,153,3056
02/12/2014,153,156,150,156,1734
02/13/2014,156,162,159,161,9188
02/17/2014,161,161,154,161,2055
02/18/2014,161,165,162,162,35005
02/20/2014,162,168,165,165,1770
02/23/2014,165,171,168,171,8601
02/24/2014,171,174,166,169,3872
02/25/2014,169,166,166,166,2767
03/05/2014,166,166,165,165,694
03/06/2014,165,162,152,152,482
03/09/2014,152,153,147,147,2889
03/10/2014,147,147,144,145,13417
03/12/2014,145,147,147,147,63
03/17/2014,147,145,145,145,66
03/18/2014,145,145,139,139,714
03/19/2014,139,142,140,142,414
03/20/2014,142,144,142,142,484
03/23/2014,142,144,140,144,2505
03/24/2014,144,148,146,148,835
03/25/2014,148,148,144,144,1219
03/26/2014,144,146,144,144,731
03/27/2014,144,148,144,148,1558
03/31/2014,148,150,147,147,856
04/01/2014,147,147,145,145,264
04/02/2014,145,146,145,146,100
04/03/2014,146,145,143,143,3210
04/06/2014,143,153,145,153,415
04/07/2014,153,159,150,157,5365
04/10/2014,157,158,150,150,3656
04/13/2014,150,149,147,149,1075
04/15/2014,149,160,151,156,3118
04/16/2014,156,153,144,144,837
04/17/2014,144,146,146,146,86
04/20/2014,146,153,148,153,1749
04/21/2014,153,165,156,162,6829
04/22/2014,162,164,159,164,1375
04/23/2014,164,163,160,160,1241
04/27/2014,160,169,162,169,783
04/28/2014,169,166,163,163,325
04/29/2014,163,168,165,165,1337
04/30/2014,165,162,159,159,768
05/04/2014,159,170,160,170,730
05/05/2014,170,176,173,173,1162
05/06/2014,173,176,173,173,140
05/07/2014,173,173,168,168,945
05/08/2014,168,165,156,156,929
05/11/2014,156,153,153,153,2595
05/12/2014,153,153,150,153,1318
05/13/2014,153,150,150,150,130
05/15/2014,150,152,152,152,420
05/15/2014,150,152,152,152,420
05/18/2014,152,158,155,158,900
05/19/2014,158,156,156,156,135
05/20/2014,156,156,153,156,1351
05/21/2014,156,165,159,164,3336
05/22/2014,164,166,163,166,2328
05/25/2014,166,175,169,172,2545
05/26/2014,172,175,167,167,7273
05/27/2014,167,168,163,163,3735
05/28/2014,163,165,160,160,4210
06/01/2014,160,163,156,157,5852
06/02/2014,157,154,153,153,600
06/03/2014,153,159,156,156,1002
06/04/2014,156,158,153,153,3888
06/05/2014,153,165,155,163,2597
06/08/2014,163,166,163,163,1024
06/09/2014,163,169,166,169,2392
06/10/2014,169,175,172,175,1294
06/11/2014,175,176,169,169,6855
06/12/2014,169,172,166,166,3302
06/15/2014,166,169,168,168,1045
06/16/2014,168,173,167,168,4688
06/17/2014,168,172,167,170,3483
06/17/2014,168,172,167,170,3483
06/18/2014,170,172,168,170,11796
06/19/2014,170,170,168,170,3840
06/24/2014,170,170,167,170,3311
06/25/2014,170,178,171,178,4924
06/26/2014,178,181,180,180,1023
06/29/2014,180,189,182,185,907
06/30/2014,185,183,181,181,3862
07/01/2014,181,184,180,184,2642
07/03/2014,184,193,184,186,2682
07/06/2014,186,197,183,197,2730
07/07/2014,197,208,194,200,1633
07/08/2014,200,206,202,206,428
07/09/2014,206,202,196,196,1620
07/10/2014,196,210,195,210,8527
07/13/2014,210,222,214,215,4085
07/14/2014,215,212,205,206,16533
07/15/2014,206,215,208,208,3157
07/16/2014,208,223,208,219,5186
07/17/2014,219,225,218,220,12060
07/20/2014,220,225,220,225,3446
07/21/2014,225,235,227,232,8342
07/22/2014,232,231,228,230,2985
07/23/2014,230,243,230,240,6699
07/24/2014,240,250,240,245,3525
07/27/2014,245,247,243,247,4547
07/30/2014,247,251,245,245,6756
07/31/2014,245,242,237,240,2942
08/03/2014,240,240,233,233,1164
08/04/2014,233,230,229,229,1768
08/05/2014,229,251,233,239,41020
08/06/2014,239,248,240,240,15154
08/07/2014,240,236,231,231,1981
08/13/2014,231,235,230,231,4006
08/14/2014,231,231,227,227,5872
08/18/2014,227,225,207,207,6132
08/19/2014,207,226,211,220,8322
08/20/2014,220,224,209,209,8312
08/21/2014,209,215,209,215,6080
08/24/2014,215,218,215,218,1005
08/25/2014,218,215,206,206,1020
08/26/2014,206,210,201,205,3845
08/27/2014,205,209,209,209,434
08/28/2014,209,215,209,215,2231
08/31/2014,215,215,207,207,3862
09/01/2014,207,206,195,196,5017
09/03/2014,196,202,199,202,144
09/04/2014,202,198,189,189,4285
09/07/2014,189,189,186,189,112
09/09/2014,189,192,187,191,2479
09/10/2014,191,191,190,191,660
09/14/2014,191,204,194,204,448
09/15/2014,204,201,200,201,368
09/16/2014,201,204,200,204,1010
09/17/2014,204,209,208,209,151
09/21/2014,209,205,191,191,726
09/22/2014,191,188,188,188,500
09/23/2014,188,191,185,191,2480
09/24/2014,191,189,189,189,131
09/28/2014,189,195,192,195,632
09/29/2014,195,198,196,196,1775
09/30/2014,196,205,199,201,1635
10/08/2014,201,197,197,197,328
10/09/2014,197,200,197,200,146
10/12/2014,200,202,202,202,252
10/13/2014,202,202,202,202,100
10/15/2014,202,200,197,200,1830
10/16/2014,200,204,200,200,910
10/19/2014,200,200,199,199,1860
10/20/2014,199,196,196,196,1913
10/22/2014,196,198,198,198,88
10/27/2014,198,200,199,200,141
10/28/2014,200,208,200,208,1772
10/30/2014,208,208,200,200,3234
11/02/2014,200,209,197,209,2009
11/03/2014,209,206,200,200,5265
11/04/2014,180,177,174,174,969
11/05/2014,174,177,177,177,1987
11/06/2014,177,176,175,176,808
11/12/2014,176,179,179,179,420
11/13/2014,179,178,178,178,700
11/17/2014,178,175,172,172,1037
11/18/2014,172,169,169,169,147
11/20/2014,169,170,166,170,3117
11/23/2014,170,172,172,172,311
11/24/2014,172,175,172,172,328
11/25/2014,172,175,172,172,1457
11/30/2014,172,175,175,175,300
12/03/2014,175,173,170,170,2435
12/07/2014,170,170,170,170,500
12/08/2014,170,173,172,173,583
12/09/2014,173,172,170,170,1859
12/11/2014,170,170,170,170,131
