Date,Open,High,Low,Close,Volume
07/23/2017,209,209,209,209,26976
07/26/2017,209,209,209,209,100519
09/07/2017,209,209,209,209,6000
09/20/2017,209,209,209,209,9520
10/25/2017,209,209,209,209,22750
10/29/2017,209,209,209,209,22000
11/30/2017,209,209,209,209,64817
12/06/2017,209,205,205,205,11352
01/14/2018,205,205,205,205,11000
02/15/2018,205,205,205,205,16202
02/22/2018,205,205,201,201,27339
02/28/2018,197,197,197,197,12693
03/11/2018,194,194,194,194,19847
03/13/2018,191,191,191,191,1683
03/27/2018,191,191,191,191,5000
03/28/2018,188,188,188,188,3005
03/29/2018,185,185,185,185,40908
04/16/2018,182,182,182,182,17500
04/29/2018,182,182,182,182,14625
05/03/2018,182,182,182,182,12500
