Date,Open,High,Low,Close,Volume
03/20/2011,207,217,211,217,1650
03/24/2011,216,220,209,218,3350
03/25/2011,218,216,212,215,2710
03/27/2011,215,211,205,208,1538
03/28/2011,208,206,196,200,1520
03/29/2011,200,202,193,200,2900
03/30/2011,200,204,194,200,3060
03/31/2011,200,210,193,206,4080
04/04/2011,206,210,204,208,2930
04/05/2011,208,212,208,209,1910
04/06/2011,209,211,206,208,1160
04/07/2011,208,208,207,208,230
04/10/2011,208,206,201,206,1830
04/11/2011,206,210,200,201,2940
04/13/2011,201,200,196,196,520
04/17/2011,196,199,193,193,270
04/18/2011,193,196,188,190,1130
04/19/2011,190,197,190,197,770
04/20/2011,197,200,192,192,830
04/21/2011,192,193,185,186,2300
04/25/2011,186,184,181,181,210
04/27/2011,181,186,180,184,880
04/28/2011,184,181,175,175,700
05/02/2011,175,176,174,176,680
05/03/2011,176,174,167,167,550
05/04/2011,167,170,168,170,300
05/05/2011,170,181,171,181,570
05/08/2011,181,188,181,188,890
05/09/2011,188,185,181,185,850
05/10/2011,185,201,188,201,510
05/11/2011,201,200,191,200,2620
05/12/2011,200,208,197,208,2460
05/15/2011,208,206,201,205,1700
05/16/2011,205,206,202,204,1820
05/18/2011,204,205,204,204,790
05/19/2011,204,207,202,204,2920
05/22/2011,204,200,196,199,770
05/23/2011,199,200,193,193,1000
05/24/2011,193,199,196,197,400
05/25/2011,197,199,194,198,660
05/26/2011,198,199,193,193,660
05/30/2011,193,196,196,196,250
05/31/2011,196,194,190,193,420
06/01/2011,193,195,193,194,80
06/02/2011,194,191,186,189,560
06/05/2011,189,188,175,175,1820
06/06/2011,175,174,167,173,1960
06/07/2011,173,173,167,167,270
06/08/2011,167,165,160,165,3680
06/09/2011,165,167,153,159,1630
06/12/2011,159,157,150,150,2330
06/13/2011,150,159,148,159,810
06/14/2011,159,162,157,158,160
06/15/2011,158,155,152,153,590
06/16/2011,153,151,149,151,3170
06/19/2011,151,154,154,154,120
06/20/2011,151,154,154,154,120
06/21/2011,154,169,157,169,160
06/23/2011,169,184,172,184,50
06/26/2011,184,202,187,198,7640
06/27/2011,198,195,179,179,2950
06/29/2011,179,181,164,181,7100
06/30/2011,181,190,181,186,4036
07/03/2011,186,198,185,192,2480
07/04/2011,192,197,183,197,2160
07/05/2011,197,204,197,203,1410
07/06/2011,203,215,199,212,8290
07/07/2011,212,213,204,204,2860
07/10/2011,204,216,204,216,2680
07/11/2011,216,216,212,212,1340
07/12/2011,212,218,210,213,2390
07/13/2011,213,223,210,218,2800
07/14/2011,218,227,219,222,3420
07/17/2011,222,226,226,226,90
07/18/2011,226,240,230,233,4910
07/19/2011,233,239,226,230,5640
07/20/2011,230,237,229,234,2890
07/21/2011,234,240,234,236,2140
07/24/2011,236,234,226,226,1300
07/25/2011,226,222,214,218,1310
07/26/2011,218,219,215,215,1000
07/27/2011,215,221,211,221,1520
07/28/2011,221,228,224,225,700
07/31/2011,225,225,213,214,2370
08/01/2011,214,219,214,219,870
08/02/2011,219,222,211,217,1840
08/03/2011,217,217,211,211,2730
08/04/2011,211,218,211,213,1480
08/07/2011,213,210,206,207,1780
08/08/2011,207,203,200,200,2300
08/09/2011,200,206,200,203,1490
08/10/2011,203,208,204,208,420
08/11/2011,208,210,205,210,1650
08/15/2011,210,213,210,211,1110
08/16/2011,211,210,207,208,410
08/17/2011,208,204,199,199,2940
08/18/2011,199,202,195,199,1920
08/22/2011,199,199,190,190,1630
08/23/2011,190,192,190,190,800
08/24/2011,190,194,189,189,760
08/25/2011,189,190,187,190,320
08/28/2011,190,188,184,188,1280
08/29/2011,188,193,185,193,1340
08/30/2011,193,197,193,194,1280
09/01/2011,194,195,192,195,2060
09/04/2011,195,195,192,194,1740
09/05/2011,194,194,186,186,1800
09/06/2011,186,184,177,180,1060
09/07/2011,180,184,182,184,250
09/08/2011,184,181,175,175,1530
09/12/2011,175,175,161,173,2910
09/13/2011,173,175,171,173,580
09/14/2011,173,173,170,173,1110
09/15/2011,173,176,176,176,40
09/18/2011,176,179,173,176,1620
09/19/2011,176,176,173,176,640
09/20/2011,176,179,178,178,230
09/21/2011,178,190,179,190,410
09/22/2011,190,198,191,197,1450
09/25/2011,197,198,189,189,2210
09/26/2011,189,191,180,182,1820
09/27/2011,182,186,180,185,2070
10/02/2011,185,179,176,176,420
10/12/2011,176,173,170,170,1530
10/13/2011,170,170,169,170,80
10/16/2011,170,170,169,169,240
10/17/2011,169,168,164,164,640
10/18/2011,164,167,164,164,120
10/19/2011,164,168,163,168,1670
10/20/2011,168,169,166,169,630
10/23/2011,169,169,167,168,460
10/25/2011,168,168,168,168,100
10/30/2011,168,171,171,171,40
10/31/2011,171,177,170,177,540
11/02/2011,177,189,180,189,1070
11/03/2011,189,194,186,190,3090
11/06/2011,190,188,184,185,880
11/08/2011,185,186,184,184,420
11/09/2011,184,181,181,181,1600
11/10/2011,181,178,175,178,1140
11/13/2011,178,175,172,175,340
11/14/2011,175,176,175,176,170
11/15/2011,176,176,168,174,2170
11/16/2011,174,174,168,168,560
11/17/2011,168,173,165,173,850
11/20/2011,173,171,168,171,520
11/21/2011,171,173,168,173,220
11/22/2011,173,171,170,170,860
11/23/2011,170,171,168,169,1440
11/24/2011,169,170,168,169,1860
11/27/2011,169,170,167,168,1330
11/28/2011,168,168,168,168,40
12/01/2011,171,170,165,167,1510
12/04/2011,167,170,164,170,690
12/05/2011,170,168,167,167,340
12/06/2011,167,168,165,166,810
12/07/2011,166,167,164,166,900
12/08/2011,166,167,164,166,660
12/11/2011,166,165,162,164,970
12/12/2011,164,163,161,163,270
12/13/2011,163,160,160,160,100
12/14/2011,160,165,162,165,480
12/15/2011,165,170,166,166,380
12/18/2011,166,165,164,165,80
12/19/2011,165,168,163,163,1380
12/20/2011,163,162,162,162,480
12/21/2011,162,169,165,165,1540
12/22/2011,165,162,162,162,200
12/26/2011,162,165,160,165,990
12/27/2011,165,168,164,164,1060
12/28/2011,164,164,162,164,900
12/29/2011,164,170,165,170,1160
01/01/2012,170,173,167,173,1340
01/02/2012,173,181,169,181,1498
01/03/2012,181,185,178,178,730
01/04/2012,178,176,170,170,780
01/05/2012,170,167,164,164,360
01/08/2012,164,167,167,167,200
01/09/2012,167,170,165,168,780
01/10/2012,164,175,171,175,370
01/11/2012,175,179,175,176,1290
01/12/2012,176,177,175,177,1080
01/16/2012,177,177,174,174,280
01/17/2012,174,174,169,174,3130
01/18/2012,174,175,174,174,313
01/19/2012,174,175,173,175,150
01/22/2012,175,178,169,169,246
01/23/2012,169,172,170,171,698
01/25/2012,171,177,171,171,776
01/26/2012,171,174,171,173,326
01/29/2012,173,176,176,176,378
01/31/2012,176,173,165,169,1221
02/01/2012,169,173,169,170,1085
02/02/2012,170,173,170,170,328
02/05/2012,170,168,165,167,320
02/06/2012,167,173,167,167,1380
02/07/2012,167,174,167,170,5356
02/08/2012,170,171,167,169,1143
02/09/2012,169,170,166,166,812
02/12/2012,166,169,164,165,505
02/13/2012,165,167,162,166,1581
02/14/2012,166,168,164,164,670
02/15/2012,164,164,162,164,326
02/16/2012,164,163,160,162,1872
02/21/2012,162,165,161,165,190
02/23/2012,165,165,164,164,198
02/26/2012,164,166,161,165,2096
02/27/2012,165,170,168,170,42
02/28/2012,170,171,169,170,434
02/29/2012,170,171,167,169,1576
03/01/2012,169,175,165,167,863
03/04/2012,167,173,169,173,1960
03/05/2012,173,173,169,169,1603
03/06/2012,169,172,168,170,1353
03/11/2012,170,171,168,169,733
03/12/2012,169,168,165,165,1654
03/13/2012,165,166,162,164,735
03/14/2012,164,166,164,166,752
03/15/2012,166,165,160,163,1055
03/18/2012,163,165,161,165,2265
03/19/2012,165,169,166,166,695
03/20/2012,166,167,163,165,842
03/21/2012,165,165,160,160,1401
03/25/2012,160,163,160,161,1110
03/26/2012,161,159,156,159,536
03/27/2012,159,162,159,162,864
03/28/2012,162,163,158,163,790
03/29/2012,163,163,162,163,515
04/01/2012,163,164,162,163,512
04/02/2012,163,166,161,165,1216
04/03/2012,165,171,161,169,1599
04/04/2012,169,168,165,165,1025
04/05/2012,165,169,165,169,663
04/08/2012,169,171,164,170,1927
04/09/2012,170,168,165,168,864
04/10/2012,168,172,170,172,984
04/11/2012,172,181,175,175,2429
04/12/2012,175,191,176,191,4779
04/15/2012,191,210,194,210,1682
04/16/2012,210,214,214,214,20
04/17/2012,214,230,202,202,2610
04/18/2012,202,219,195,211,7397
04/19/2012,211,224,207,217,9957
04/22/2012,217,238,220,238,9024
04/24/2012,238,261,242,261,1096
04/25/2012,261,287,266,287,13760
04/26/2012,287,302,262,295,30539
04/29/2012,295,298,283,286,9658
04/30/2012,286,281,260,263,5579
05/02/2012,263,258,258,258,100
05/03/2012,258,283,263,283,1567
05/07/2012,283,308,288,308,5243
05/08/2012,308,314,286,286,12311
05/09/2012,286,290,265,279,12822
05/10/2012,279,277,266,268,8530
05/13/2012,268,266,237,237,4182
05/14/2012,237,233,214,224,4613
05/15/2012,224,246,228,246,1144
05/16/2012,246,250,250,250,40
05/17/2012,250,275,262,270,26430
05/20/2012,270,275,250,266,9000
05/21/2012,266,273,252,270,4485
05/22/2012,270,266,257,260,4774
05/24/2012,260,262,243,259,6802
05/27/2012,259,278,254,271,6454
06/03/2012,271,266,250,255,2373
06/04/2012,255,254,232,242,8623
06/05/2012,242,240,224,229,5472
06/06/2012,229,225,215,218,5246
06/07/2012,218,234,210,223,3226
06/10/2012,223,222,214,218,2009
06/11/2012,218,226,215,216,2735
06/12/2012,216,227,217,220,3000
06/13/2012,220,220,214,219,4431
06/14/2012,219,220,212,215,2306
06/17/2012,215,217,210,217,1984
06/18/2012,217,220,219,219,595
06/19/2012,219,217,210,211,5537
06/20/2012,211,224,211,214,3151
06/21/2012,214,224,218,224,2844
06/25/2012,224,232,223,232,1862
06/26/2012,232,228,219,227,3369
06/27/2012,227,230,221,230,2515
06/28/2012,230,238,228,229,1645
07/01/2012,229,227,221,224,2114
07/02/2012,224,226,220,223,1435
07/03/2012,223,228,219,228,1287
07/04/2012,228,230,223,225,2843
07/05/2012,225,229,227,228,862
07/08/2012,228,228,222,226,1910
07/09/2012,226,226,223,225,704
07/10/2012,225,234,228,228,1361
07/11/2012,228,234,224,229,1824
07/12/2012,229,230,224,230,1686
07/16/2012,230,227,224,225,1133
07/17/2012,225,224,222,222,551
07/18/2012,222,227,214,225,4058
07/19/2012,225,235,226,235,3244
07/22/2012,235,239,231,231,4795
07/23/2012,231,244,227,240,3820
07/24/2012,240,236,227,231,2096
