Date,Open,High,Low,Close,Volume
03/20/2011,205,205,197,202,1160
03/24/2011,202,204,198,202,1500
03/25/2011,202,201,199,200,650
03/27/2011,200,200,188,188,1450
03/28/2011,188,186,182,182,410
03/29/2011,182,185,182,185,110
03/30/2011,185,184,179,182,810
03/31/2011,182,190,181,190,340
04/04/2011,190,190,183,185,400
04/05/2011,185,185,176,182,700
04/06/2011,182,186,182,186,580
04/07/2011,186,187,183,187,90
04/10/2011,187,190,186,186,270
04/11/2011,186,185,183,185,150
04/13/2011,185,185,182,185,40
04/17/2011,185,187,184,184,320
04/18/2011,184,186,181,185,220
04/19/2011,185,191,185,188,1090
04/20/2011,188,190,185,190,720
04/21/2011,190,194,190,193,640
04/25/2011,193,195,195,195,120
04/27/2011,195,199,190,190,520
04/28/2011,190,196,190,190,990
05/02/2011,190,194,184,184,690
05/03/2011,184,187,184,184,400
05/04/2011,184,185,181,181,590
05/05/2011,181,186,183,186,380
05/08/2011,186,189,186,188,660
05/09/2011,188,190,187,187,50
05/10/2011,187,190,184,187,750
05/11/2011,187,189,189,189,120
05/12/2011,189,186,186,186,70
05/15/2011,186,186,183,183,760
05/16/2011,183,187,182,182,730
05/18/2011,182,184,184,184,20
05/19/2011,184,181,175,179,240
05/22/2011,179,182,180,182,180
05/23/2011,182,182,174,177,260
05/24/2011,177,177,174,177,140
05/25/2011,177,179,175,175,400
05/26/2011,175,178,175,177,200
05/30/2011,177,184,177,177,230
05/31/2011,177,177,173,173,390
06/01/2011,173,175,166,166,500
06/02/2011,166,167,163,167,270
06/05/2011,167,170,169,170,280
06/06/2011,170,169,163,164,110
06/07/2011,164,161,153,153,220
06/08/2011,153,152,138,138,880
06/09/2011,138,148,139,148,1210
06/12/2011,148,146,136,136,1470
06/13/2011,136,134,126,127,230
06/14/2011,127,125,120,122,1170
06/15/2011,122,121,118,118,450
06/16/2011,118,118,118,118,60
06/19/2011,118,128,120,128,210
06/20/2011,118,128,120,128,210
06/21/2011,140,154,142,154,2180
06/23/2011,154,166,157,166,50
06/26/2011,166,175,163,165,550
06/27/2011,165,165,162,165,30
06/29/2011,165,162,149,149,230
06/30/2011,149,147,135,135,1200
07/03/2011,135,135,131,132,430
07/04/2011,132,134,132,132,50
07/05/2011,132,137,132,137,80
07/06/2011,137,141,135,141,150
07/07/2011,141,147,141,145,380
07/10/2011,145,157,146,157,160
07/11/2011,157,163,157,162,850
07/12/2011,162,168,162,168,260
07/13/2011,168,160,157,157,320
07/14/2011,157,169,157,169,370
07/17/2011,169,172,172,172,10
07/18/2011,172,169,162,162,510
07/19/2011,162,177,162,177,450
