Date,Open,High,Low,Close,Volume
03/05/2013,0,300,300,300,10
07/18/2013,300,294,294,294,11
03/23/2014,294,290,290,290,60
03/24/2014,290,294,290,294,142
04/09/2014,294,289,284,284,127
06/01/2014,284,279,279,279,88
06/03/2014,279,274,274,274,53
06/29/2014,274,270,270,270,194
06/30/2014,270,265,243,244,2075
07/01/2014,244,245,236,238,1151
07/02/2014,238,239,235,239,141
07/06/2014,239,243,243,243,70
07/07/2014,243,251,247,250,126
07/09/2014,250,250,250,250,10
07/10/2014,250,260,255,260,159
07/16/2014,260,265,265,265,71
07/24/2014,232,236,236,236,39
07/28/2014,236,240,240,240,324
07/30/2014,240,248,244,248,54
07/31/2014,248,252,252,252,21
08/03/2014,252,267,257,267,180
08/07/2014,267,272,272,272,11
08/12/2014,272,287,277,287,222
08/24/2014,287,282,280,280,53
09/09/2014,280,295,280,295,242
09/10/2014,295,290,290,290,71
09/11/2014,290,290,290,290,177
09/14/2014,290,300,294,296,219
09/15/2014,296,291,286,286,380
09/17/2014,286,291,291,291,152
09/18/2014,291,286,276,276,369
09/21/2014,276,280,280,280,377
09/22/2014,280,275,275,275,178
10/09/2014,275,275,270,275,412
11/11/2014,275,270,270,270,11
11/17/2014,270,267,267,267,53
11/20/2014,267,262,252,252,4117
11/23/2014,252,247,247,247,106
11/24/2014,247,247,243,247,966
11/25/2014,247,251,247,251,3319
11/30/2014,251,247,247,247,3213
12/18/2014,247,250,249,250,493
12/22/2014,250,264,255,264,2042
12/23/2014,264,284,269,284,857
12/24/2014,284,293,288,293,74
12/28/2014,293,298,288,288,706
12/28/2014,293,298,288,288,706
01/01/2015,288,290,285,285,141
01/05/2015,285,285,280,280,7440
01/06/2015,280,282,282,282,162
01/08/2015,282,285,280,285,1472
01/11/2015,285,295,290,295,655
01/12/2015,295,312,300,312,779
01/14/2015,312,318,318,318,74
01/26/2015,318,330,324,330,185
01/27/2015,330,361,336,361,189
01/28/2015,361,397,368,397,586
01/29/2015,397,434,402,434,1043
02/01/2015,434,445,437,437,522
02/02/2015,437,437,429,429,422
02/03/2015,429,421,405,405,60
02/04/2015,405,397,376,376,641
02/05/2015,376,374,369,374,117
02/08/2015,374,375,371,372,418
02/09/2015,372,372,354,372,3209
02/10/2015,372,372,372,372,171
02/11/2015,372,409,379,409,2072
02/12/2015,409,433,417,433,198
02/15/2015,433,470,426,470,5083
02/16/2015,470,477,461,461,172
02/16/2015,470,477,461,461,172
02/18/2015,461,462,442,442,3140
02/22/2015,442,450,442,442,77
02/24/2015,442,434,418,418,6436
02/25/2015,418,410,402,410,998
02/26/2015,410,402,402,402,74
03/01/2015,402,415,402,415,640
03/02/2015,415,407,407,407,10
03/03/2015,407,407,407,407,88
03/09/2015,407,401,401,401,500
03/11/2015,401,441,409,441,721
03/12/2015,441,485,449,458,2918
