Date,Open,High,Low,Close,Volume
03/03/2013,0,174,150,171,223490
03/04/2013,171,174,166,168,130359
03/05/2013,168,170,162,167,43648
03/06/2013,167,171,164,170,34344
03/07/2013,170,169,166,168,30932
03/11/2013,168,173,166,170,37709
03/13/2013,170,173,169,170,54094
03/14/2013,170,179,170,170,52081
03/17/2013,170,171,164,170,30551
03/18/2013,170,169,163,166,40598
03/19/2013,166,167,163,164,35073
03/20/2013,164,166,162,162,32124
03/21/2013,162,165,160,162,20623
03/24/2013,162,162,158,158,29316
03/25/2013,158,164,156,160,36554
03/27/2013,160,161,157,160,17897
03/28/2013,160,160,156,159,26692
03/31/2013,159,158,154,156,43059
04/01/2013,156,158,151,158,25894
04/02/2013,158,160,152,158,26882
04/03/2013,158,160,155,157,36884
04/04/2013,157,160,156,158,16222
04/07/2013,158,159,156,159,39573
04/08/2013,159,160,158,159,20470
04/09/2013,159,161,158,160,57708
04/11/2013,160,164,159,161,39806
04/15/2013,161,164,161,164,27472
04/16/2013,164,163,159,161,31011
04/17/2013,161,160,158,160,22719
04/18/2013,160,161,157,157,37775
04/21/2013,157,158,154,155,22749
04/22/2013,155,157,152,157,18922
04/23/2013,157,159,155,156,12834
04/25/2013,156,157,155,156,9675
04/28/2013,156,156,153,154,14562
04/29/2013,154,156,151,155,12805
04/30/2013,155,154,151,153,13591
05/02/2013,153,153,149,151,11957
05/05/2013,151,155,148,151,15382
05/06/2013,151,151,147,148,16674
05/07/2013,148,154,148,152,13748
05/08/2013,152,154,150,152,19052
05/09/2013,152,154,151,151,7733
05/12/2013,151,154,149,149,8393
05/13/2013,149,153,148,152,10293
05/14/2013,152,153,150,153,5946
05/15/2013,153,155,150,153,10634
05/16/2013,153,153,150,153,3589
05/19/2013,153,154,150,150,16083
05/20/2013,150,152,151,152,6540
05/21/2013,152,152,150,152,19123
05/22/2013,152,152,150,151,5816
05/23/2013,151,150,149,150,3517
05/26/2013,150,152,150,151,17544
05/27/2013,151,153,150,153,13694
05/28/2013,153,153,150,150,10156
05/30/2013,150,151,150,150,14056
06/02/2013,150,152,148,149,8389
06/03/2013,149,150,148,149,21090
06/04/2013,149,150,148,149,3457
06/05/2013,149,150,147,150,67545
06/06/2013,150,155,150,155,6722
06/09/2013,155,153,150,150,10202
06/10/2013,150,151,149,151,5359
06/11/2013,151,153,149,149,5966
06/12/2013,149,150,148,149,5222
06/13/2013,149,149,148,149,17988
06/16/2013,149,150,149,149,1853
06/17/2013,149,149,145,148,11738
