Date,Open,High,Low,Close,Volume
11/26/2015,0,318,318,318,10
12/07/2015,318,349,324,349,100
12/08/2015,349,383,366,383,140
12/09/2015,383,421,390,421,90
12/10/2015,421,463,429,463,525
12/13/2015,463,508,472,508,50
12/14/2015,508,558,518,558,85
12/15/2015,558,602,569,602,40
12/16/2015,602,662,614,662,235
12/17/2015,662,728,675,728,785
12/20/2015,728,800,742,800,6487
12/21/2015,800,816,720,770,14075
12/22/2015,770,831,751,815,7071
12/23/2015,815,869,799,867,10381
12/24/2015,867,953,851,953,12521
12/27/2015,953,1000,940,1000,9368
12/28/2015,1000,1000,952,1000,8182
12/29/2015,1000,1014,970,1000,9367
12/31/2015,1000,1080,996,1040,8498
01/03/2016,1040,1050,1000,1030,4637
01/04/2016,1030,1035,980,1000,3140
01/05/2016,1000,994,962,962,4895
01/06/2016,962,965,920,927,4499
01/07/2016,927,940,910,932,3829
01/10/2016,932,932,890,895,4093
01/11/2016,895,900,870,900,6454
01/12/2016,900,933,870,933,7173
01/12/2016,900,933,870,933,7173
01/13/2016,933,933,906,917,5757
01/14/2016,917,976,911,950,9629
01/21/2016,950,1045,969,1045,50
01/24/2016,1045,1149,1065,1149,50
01/25/2016,1149,1263,1171,1263,795
01/26/2016,1263,1365,1263,1310,1326
01/27/2016,1310,1284,1200,1200,2165
01/28/2016,1200,1225,1080,1100,2015
01/31/2016,1100,1210,1122,1190,2725
02/01/2016,1190,1260,1190,1224,3505
02/02/2016,1224,1248,1186,1186,2207
02/03/2016,1186,1244,1177,1200,4417
02/04/2016,1200,1224,1165,1165,6433
02/07/2016,1165,1164,1142,1153,1133
02/08/2016,1153,1130,1080,1100,1510
02/11/2016,1100,1078,1060,1065,225
02/14/2016,1065,1086,1050,1050,315
02/15/2016,1050,1030,1005,1009,1860
02/16/2016,1009,1050,1020,1050,3265
02/17/2016,1050,1071,1050,1050,445
02/18/2016,1050,1069,1015,1035,1895
02/22/2016,1035,1035,1025,1035,525
02/23/2016,1035,1025,1005,1015,165
02/24/2016,1015,1001,995,999,372
02/25/2016,999,1038,999,1038,165
02/28/2016,1038,1020,1001,1001,75
02/29/2016,1001,1101,1021,1101,2561
03/01/2016,1101,1142,1100,1130,875
03/02/2016,1130,1175,1126,1160,3048
03/03/2016,1160,1206,1150,1165,3528
03/06/2016,1165,1225,1150,1225,2590
03/10/2016,1225,1347,1240,1347,4977
03/13/2016,1347,1373,1299,1299,980
03/14/2016,1299,1274,1201,1273,2640
03/15/2016,1273,1248,1205,1229,1533
03/16/2016,1229,1255,1206,1255,538
03/17/2016,1255,1255,1225,1225,706
03/20/2016,1225,1235,1212,1220,920
03/21/2016,1220,1260,1216,1239,5150
03/23/2016,1239,1250,1190,1200,1550
03/24/2016,1200,1209,1178,1200,3910
03/27/2016,1200,1190,1170,1172,1712
03/28/2016,1172,1248,1158,1200,1851
03/29/2016,1200,1240,1180,1190,2030
03/30/2016,1190,1180,1170,1170,290
03/31/2016,1170,1170,1150,1169,905
04/03/2016,1169,1234,1141,1150,645
04/04/2016,1150,1195,1135,1164,450
04/05/2016,1164,1200,1142,1175,1522
04/06/2016,1175,1190,1165,1185,732
04/10/2016,1185,1208,1146,1189,390
04/11/2016,1189,1180,1152,1175,285
04/12/2016,1175,1185,1151,1180,295
04/14/2016,1180,1170,1151,1170,285
04/17/2016,1170,1190,1180,1180,1480
04/18/2016,1180,1200,1160,1200,1687
04/19/2016,1200,1180,1138,1161,148
04/20/2016,1161,1222,1138,1222,1236
04/21/2016,1222,1220,1155,1215,486
04/24/2016,1215,1225,1178,1199,440
04/25/2016,1199,1195,1160,1180,1748
04/26/2016,1180,1224,1177,1224,2070
04/27/2016,1224,1235,1200,1229,6024
04/28/2016,1229,1253,1208,1229,3875
05/02/2016,1229,1244,1200,1244,484
05/03/2016,1244,1220,1200,1220,1535
05/04/2016,1220,1215,1180,1210,6438
05/05/2016,1210,1234,1164,1202,1646
05/08/2016,1202,1202,1180,1190,1245
05/09/2016,1190,1224,1200,1222,1354
05/10/2016,1222,1235,1197,1220,2187
05/11/2016,1220,1245,1180,1230,2085
05/12/2016,1230,1225,1206,1225,2280
05/15/2016,1225,1326,1223,1289,6576
05/16/2016,1289,1324,1289,1308,5250
05/17/2016,1308,1350,1310,1342,3680
05/18/2016,1342,1360,1311,1331,2635
05/19/2016,1331,1397,1331,1395,4261
05/22/2016,1395,1456,1400,1450,2540
05/23/2016,1450,1508,1462,1475,2885
05/24/2016,1475,1500,1441,1471,2965
05/25/2016,1471,1470,1430,1451,3430
05/26/2016,1451,1475,1410,1475,2810
05/29/2016,1475,1460,1410,1460,377
05/30/2016,1460,1460,1431,1455,1481
05/31/2016,1455,1454,1426,1432,1097
06/01/2016,1432,1460,1417,1460,1031
06/02/2016,1460,1460,1400,1450,1940
06/05/2016,1450,1425,1366,1366,310
06/06/2016,1366,1420,1340,1420,1275
06/07/2016,1420,1450,1400,1407,2385
06/08/2016,1407,1440,1390,1410,331
06/09/2016,1410,1453,1400,1411,944
06/12/2016,1411,1460,1385,1435,1269
06/13/2016,1435,1578,1420,1578,3763
06/14/2016,1578,1735,1580,1735,5323
06/15/2016,1735,1730,1650,1720,2226
06/16/2016,1720,1860,1665,1860,2410
06/19/2016,1860,1900,1811,1811,2140
06/20/2016,1811,1775,1706,1715,875
06/21/2016,1715,1755,1715,1721,1861
06/22/2016,1721,1810,1750,1800,1045
06/23/2016,1800,1820,1784,1819,1867
06/26/2016,1819,1800,1715,1780,1770
06/27/2016,1780,1770,1680,1722,3479
06/28/2016,1722,1734,1690,1715,1695
06/29/2016,1715,1808,1725,1799,3710
06/30/2016,1799,1809,1740,1775,640
07/03/2016,1775,1952,1775,1952,3769
07/04/2016,1952,2000,1809,1860,1670
07/05/2016,1860,1850,1773,1820,2630
07/06/2016,1820,1800,1690,1750,3199
07/10/2016,1750,1785,1695,1700,6052
07/11/2016,1700,1780,1675,1725,3745
07/12/2016,1725,1780,1667,1667,1640
07/13/2016,1667,1670,1520,1625,2800
07/14/2016,1625,1787,1593,1593,9206
07/17/2016,1593,1562,1434,1434,200
07/18/2016,1434,1406,1291,1350,7632
07/19/2016,1350,1370,1260,1276,1949
07/20/2016,1276,1276,1210,1210,3786
07/21/2016,1210,1285,1200,1285,2765
07/25/2016,1285,1406,1286,1406,1820
07/26/2016,1406,1450,1410,1420,2259
07/27/2016,1420,1395,1368,1380,990
07/28/2016,1380,1380,1275,1337,1740
07/31/2016,1337,1393,1304,1310,3649
08/01/2016,1310,1340,1284,1340,1771
08/02/2016,1340,1330,1300,1325,1580
08/03/2016,1325,1310,1274,1310,515
08/04/2016,1310,1336,1260,1280,640
08/07/2016,1280,1303,1250,1250,1791
08/08/2016,1250,1225,1225,1225,87
08/10/2016,1225,1254,1216,1221,1975
08/11/2016,1221,1244,1200,1229,4465
08/14/2016,1229,1210,1150,1165,1485
08/15/2016,1165,1155,1096,1139,1256
08/16/2016,1139,1183,1110,1110,657
08/17/2016,1110,1180,1095,1160,1580
08/21/2016,1160,1229,1150,1150,1314
08/22/2016,1150,1130,1105,1115,435
08/23/2016,1115,1137,1100,1110,691
08/24/2016,1110,1196,1115,1170,1505
08/28/2016,1170,1193,1140,1193,890
08/29/2016,1193,1200,1170,1170,260
08/30/2016,1170,1216,1150,1216,2230
08/31/2016,1216,1248,1192,1200,525
09/01/2016,1200,1200,1169,1170,435
09/03/2016,1170,1190,1147,1185,510
09/04/2016,1170,1190,1147,1185,510
09/05/2016,1185,1171,1165,1170,265
09/06/2016,1170,1205,1172,1172,370
09/07/2016,1172,1208,1172,1180,925
09/08/2016,1180,1200,1170,1186,675
09/11/2016,1186,1200,1176,1176,385
09/12/2016,1176,1200,1171,1171,1240
09/14/2016,1171,1195,1148,1195,365
09/18/2016,1195,1200,1174,1179,1028
09/20/2016,1179,1180,1142,1142,465
09/21/2016,1142,1236,1122,1202,2497
09/22/2016,1202,1200,1170,1170,619
09/25/2016,1170,1150,1085,1101,595
09/26/2016,1101,1170,1095,1170,525
09/27/2016,1170,1204,1150,1150,1310
09/28/2016,1150,1155,1130,1130,595
09/29/2016,1130,1113,1090,1113,775
10/02/2016,1113,1091,1030,1040,1135
10/03/2016,1040,1050,996,1000,2390
10/04/2016,1000,1004,982,995,1635
10/05/2016,995,1045,995,1045,104
10/06/2016,1045,1071,1015,1050,420
10/16/2016,1050,1060,1025,1040,220
10/27/2016,1040,1040,1020,1030,40
11/03/2016,1030,1010,990,1010,170
11/07/2016,1010,1020,985,1000,295
11/08/2016,1000,1010,986,1000,555
11/09/2016,1000,1000,998,998,190
11/10/2016,998,995,904,921,1142
11/13/2016,921,910,900,910,610
11/14/2016,910,920,900,900,1425
11/15/2016,900,900,858,858,550
11/16/2016,858,841,774,780,960
11/17/2016,780,807,736,736,1345
11/20/2016,736,736,686,690,1351
11/21/2016,690,717,677,706,4544
11/22/2016,706,731,692,730,4221
11/23/2016,730,744,707,720,1465
11/24/2016,720,715,668,705,1335
11/27/2016,705,705,680,690,325
11/28/2016,690,683,670,683,210
11/29/2016,683,717,660,717,3200
11/30/2016,717,788,715,788,1499
12/01/2016,788,866,775,800,4011
12/04/2016,800,785,736,736,1325
12/05/2016,736,722,708,712,295
12/06/2016,712,743,706,715,255
12/07/2016,715,755,721,740,330
12/08/2016,740,730,715,720,1640
12/11/2016,720,735,713,735,704
12/12/2016,735,725,715,722,1090
12/14/2016,722,725,702,710,1130
12/15/2016,710,737,700,723,330
12/18/2016,723,730,695,730,410
12/19/2016,730,730,716,720,440
12/20/2016,720,711,680,693,1490
12/21/2016,693,700,667,700,489
12/22/2016,700,690,660,662,605
12/26/2016,662,710,671,710,220
12/27/2016,710,710,696,696,110
12/28/2016,696,717,683,700,1040
12/29/2016,700,717,690,717,825
01/01/2017,717,710,701,705,620
01/02/2017,705,715,715,715,10
01/03/2017,715,703,670,683,90
01/04/2017,683,701,671,700,520
01/05/2017,700,692,686,686,95
01/09/2017,686,698,685,695,905
01/10/2017,695,715,700,701,41
01/11/2017,701,687,674,677,40
01/16/2017,677,679,666,679,170
01/18/2017,679,670,670,670,40
01/19/2017,670,660,660,660,15
01/22/2017,660,654,641,650,220
01/24/2017,650,663,642,642,45
01/25/2017,642,654,640,645,160
01/26/2017,645,640,621,630,726
01/30/2017,630,618,584,584,1010
01/31/2017,584,573,559,559,415
02/01/2017,559,592,555,592,90
02/02/2017,592,603,591,591,80
02/05/2017,591,650,602,650,130
02/06/2017,650,640,628,628,110
02/07/2017,628,628,592,600,165
02/08/2017,600,600,577,578,140
02/09/2017,578,578,533,540,1360
02/12/2017,540,540,530,531,320
02/13/2017,531,531,504,515,345
02/14/2017,515,520,507,520,422
02/15/2017,520,561,530,545,570
02/16/2017,545,570,546,556,355
02/19/2017,530,550,540,550,20
02/20/2017,550,605,561,605,1123
02/21/2017,605,665,617,665,1901
02/22/2017,665,678,660,665,876
02/23/2017,665,665,652,660,50
02/26/2017,660,647,630,630,50
03/01/2017,630,630,618,630,215
03/02/2017,630,642,622,632,640
03/05/2017,632,644,640,640,225
03/06/2017,640,655,646,647,275
03/07/2017,647,635,635,635,100
03/09/2017,635,644,620,644,135
03/13/2017,644,635,635,635,10
03/14/2017,635,630,630,630,20
03/15/2017,630,642,640,642,110
03/16/2017,642,648,640,640,235
03/19/2017,640,655,650,655,270
03/21/2017,655,694,668,694,90
03/22/2017,694,763,694,763,645
03/23/2017,763,839,763,839,4729
03/26/2017,839,922,855,915,1635
03/28/2017,915,991,930,991,803
03/29/2017,991,1010,921,921,2095
03/30/2017,921,950,885,913,4790
04/02/2017,913,1002,931,1002,80
04/03/2017,1002,1042,951,1025,4810
04/04/2017,1025,1050,987,1000,4717
04/06/2017,1000,1040,1000,1002,1835
04/09/2017,1002,985,972,974,875
04/10/2017,974,1071,970,1071,2425
04/11/2017,1071,1178,1092,1178,2766
04/12/2017,1178,1295,1178,1270,4811
04/13/2017,1270,1352,1224,1325,6190
04/16/2017,1325,1351,1215,1239,3015
04/18/2017,1239,1225,1123,1177,1986
04/19/2017,1177,1294,1157,1294,3571
04/20/2017,1294,1395,1315,1360,6160
04/23/2017,1360,1405,1334,1345,3375
04/24/2017,1345,1370,1297,1345,2545
04/25/2017,1345,1350,1300,1311,3704
04/26/2017,1311,1398,1306,1397,3608
04/27/2017,1397,1400,1348,1362,1405
04/30/2017,1362,1370,1309,1360,2348
05/02/2017,1360,1407,1333,1407,3450
05/03/2017,1407,1448,1370,1405,4262
05/04/2017,1405,1425,1378,1400,3292
05/07/2017,1400,1390,1345,1375,1800
05/08/2017,1375,1402,1360,1395,385
05/09/2017,1395,1368,1368,1368,10
05/11/2017,1368,1395,1350,1350,720
05/15/2017,1350,1387,1360,1380,105
05/16/2017,1380,1383,1353,1364,1292
05/17/2017,1364,1368,1363,1365,205
05/18/2017,1365,1365,1330,1357,1395
05/21/2017,1357,1357,1330,1335,1295
05/22/2017,1335,1347,1311,1347,1246
05/23/2017,1347,1373,1303,1346,200
05/24/2017,1346,1346,1320,1343,1197
05/28/2017,1343,1350,1280,1305,1147
05/30/2017,1305,1300,1279,1299,830
05/31/2017,1299,1350,1299,1350,330
06/01/2017,1350,1340,1300,1300,200
06/04/2017,1300,1300,1300,1300,10
06/05/2017,1300,1314,1201,1314,605
06/06/2017,1314,1364,1304,1364,1302
06/07/2017,1364,1390,1323,1323,580
06/08/2017,1323,1377,1297,1350,1795
06/11/2017,1350,1358,1301,1309,1194
06/12/2017,1309,1327,1270,1300,1272
06/13/2017,1300,1336,1275,1290,306
06/14/2017,1290,1320,1290,1300,998
06/15/2017,1300,1339,1295,1320,328
06/18/2017,1320,1346,1295,1320,228
06/19/2017,1320,1315,1290,1315,356
06/20/2017,1315,1325,1298,1298,569
06/21/2017,1298,1273,1252,1252,25
06/22/2017,1252,1302,1255,1302,155
06/25/2017,1302,1328,1295,1295,597
06/27/2017,1295,1308,1273,1308,273
06/28/2017,1308,1320,1300,1318,420
07/02/2017,1318,1292,1292,1292,50
07/03/2017,1292,1315,1290,1300,372
07/05/2017,1300,1340,1276,1340,761
07/06/2017,1340,1393,1320,1349,859
07/09/2017,1349,1390,1250,1304,2452
07/10/2017,1304,1326,1259,1284,1255
07/11/2017,1284,1309,1280,1305,979
07/12/2017,1305,1315,1286,1315,510
07/13/2017,1315,1310,1289,1302,210
07/16/2017,1302,1325,1271,1271,235
07/17/2017,1271,1310,1260,1291,822
07/18/2017,1291,1326,1300,1305,619
07/19/2017,1305,1325,1300,1320,775
07/20/2017,1320,1310,1271,1300,1149
07/23/2017,1300,1330,1300,1330,1053
07/24/2017,1330,1331,1280,1280,1667
07/25/2017,1280,1295,1271,1273,415
07/26/2017,1273,1362,1265,1362,4058
07/27/2017,1362,1389,1324,1345,736
07/30/2017,1345,1325,1320,1321,247
07/31/2017,1321,1377,1331,1350,2049
08/01/2017,1350,1410,1349,1401,4972
08/02/2017,1401,1414,1351,1400,3071
08/03/2017,1400,1400,1365,1365,948
08/06/2017,1365,1390,1310,1390,749
08/07/2017,1390,1380,1360,1370,836
08/09/2017,1370,1382,1353,1353,1992
08/10/2017,1353,1384,1350,1384,3351
08/13/2017,1384,1400,1320,1344,1442
08/15/2017,1344,1330,1278,1318,4061
08/16/2017,1318,1330,1290,1319,2219
08/17/2017,1319,1319,1307,1319,1505
08/20/2017,1319,1324,1300,1321,115
08/21/2017,1321,1300,1280,1300,335
08/22/2017,1300,1325,1300,1325,181
08/23/2017,1325,1320,1281,1288,1692
08/24/2017,1288,1310,1290,1310,254
08/27/2017,1310,1336,1305,1307,176
08/28/2017,1307,1319,1300,1319,596
08/30/2017,1319,1316,1290,1292,1808
08/31/2017,1292,1315,1289,1289,2211
09/04/2017,1289,1314,1280,1282,1071
09/06/2017,1282,1345,1290,1345,3467
09/07/2017,1345,1350,1321,1330,1603
09/10/2017,1330,1304,1253,1253,678
09/11/2017,1253,1326,1252,1319,556
09/12/2017,1319,1295,1270,1295,320
09/13/2017,1295,1270,1260,1265,235
09/14/2017,1265,1290,1221,1270,379
09/17/2017,1270,1285,1241,1275,667
09/18/2017,1275,1300,1275,1279,217
09/20/2017,1279,1299,1270,1275,368
09/24/2017,1275,1299,1279,1298,230
09/25/2017,1298,1308,1274,1276,150
09/26/2017,1276,1308,1275,1297,152
10/08/2017,1297,1272,1247,1265,145
10/09/2017,1265,1245,1245,1245,15
10/10/2017,1245,1269,1203,1203,120
10/11/2017,1203,1240,1200,1200,268
10/12/2017,1200,1220,1185,1196,227
10/15/2017,1196,1220,1175,1181,140
10/16/2017,1181,1248,1200,1248,30
10/17/2017,1248,1295,1265,1295,65
10/23/2017,1295,1270,1270,1270,5
10/24/2017,1295,1320,1320,1320,10
10/30/2017,1320,1346,1188,1200,487
10/31/2017,1200,1224,1208,1210,1597
11/01/2017,1210,1215,1177,1200,3454
11/02/2017,1200,1200,1155,1155,640
11/05/2017,1155,1170,1150,1150,540
11/06/2017,1150,1130,1070,1070,391
11/07/2017,1070,1060,1039,1039,250
11/08/2017,1039,1025,1000,1010,240
11/09/2017,1010,1000,990,1000,40
11/13/2017,1000,1020,1020,1020,30
11/14/2017,1020,1092,1020,1092,215
11/15/2017,1092,1106,1045,1045,984
11/16/2017,1045,1025,1025,1025,65
11/19/2017,1025,1045,1045,1045,20
11/20/2017,1045,1065,1065,1065,10
11/21/2017,1065,1065,1021,1036,126
11/22/2017,1036,1037,1005,1016,307
11/23/2017,1016,1036,1002,1036,140
11/26/2017,1036,1069,1025,1025,435
11/27/2017,1025,1035,1007,1007,210
11/28/2017,1007,1030,992,1030,210
11/29/2017,1030,1092,1030,1070,387
11/30/2017,1070,1050,1049,1049,20
12/04/2017,1049,1040,1030,1030,120
12/05/2017,1030,1032,1012,1032,45
12/06/2017,1032,1045,1022,1035,621
12/10/2017,1035,1060,1035,1060,30
12/11/2017,1060,1041,1039,1039,110
12/12/2017,1039,1020,1019,1020,20
12/13/2017,1020,1030,1010,1030,60
12/14/2017,1030,1045,1025,1025,50
12/17/2017,1025,1020,1010,1010,150
