Date,Open,High,Low,Close,Volume
04/27/2011,172,169,169,169,520
06/06/2011,169,166,166,166,20
06/08/2011,166,163,160,160,332
07/28/2011,160,157,157,157,140
09/05/2011,157,157,157,157,195
09/06/2011,157,154,148,148,330
09/07/2011,148,146,137,137,474
09/08/2011,137,135,133,133,118
09/20/2011,133,131,129,129,128
09/26/2011,129,127,127,127,52
09/27/2011,127,125,125,125,150
09/29/2011,125,123,117,117,362
10/02/2011,117,115,113,115,836
10/10/2011,115,117,115,115,312
10/12/2011,115,116,113,116,232
10/13/2011,116,116,116,116,40
10/17/2011,116,118,118,118,40
10/19/2011,118,118,108,118,4890
10/23/2011,118,122,120,122,102
10/24/2011,122,130,124,130,404
10/25/2011,130,131,130,131,22
10/30/2011,131,133,133,133,113
11/02/2011,133,135,135,135,20
11/03/2011,135,137,131,131,82
11/06/2011,131,133,133,133,32
11/08/2011,133,136,135,136,107
11/09/2011,136,138,138,138,175
11/10/2011,138,142,140,140,144
11/13/2011,140,138,130,130,350
11/15/2011,130,128,126,126,150
11/16/2011,126,124,122,124,292
12/18/2011,124,124,124,124,52
12/19/2011,124,122,118,118,130
12/20/2011,118,116,116,116,12
12/27/2011,116,115,115,115,150
12/29/2011,115,121,117,121,650
01/01/2012,121,125,101,125,1650
01/02/2012,125,123,121,121,210
01/03/2012,121,121,120,120,374
01/04/2012,120,119,119,119,100
01/16/2012,119,103,103,103,1508
03/13/2012,103,105,105,105,104
04/15/2012,105,109,107,107,440
04/22/2012,107,109,109,109,4490
04/24/2012,109,115,111,115,50
04/25/2012,115,117,117,117,300
04/26/2012,117,121,119,121,40
04/29/2012,121,129,123,129,1880
04/30/2012,129,127,127,127,50
05/03/2012,127,129,129,129,650
05/07/2012,129,135,135,135,10
05/08/2012,135,139,137,139,30
05/20/2012,139,141,141,141,10
05/22/2012,141,139,135,135,300
05/23/2012,135,137,135,135,1160
05/27/2012,135,133,131,131,1150
06/05/2012,131,129,129,129,35
06/07/2012,129,127,127,127,2987
06/28/2012,127,125,125,125,89
04/25/2013,125,123,123,123,30
04/30/2013,123,121,121,121,100
05/12/2013,121,119,119,119,90
05/15/2013,119,117,115,115,20
05/28/2013,115,113,104,104,1535
05/30/2013,104,102,102,102,100
06/02/2013,102,101,98,98,1135
06/03/2013,98,97,94,94,391
06/04/2013,94,93,91,91,194
06/05/2013,91,91,90,91,172
06/06/2013,91,91,88,88,676
06/09/2013,88,87,85,85,3620
06/10/2013,85,84,84,84,89
06/11/2013,84,85,85,85,1701
06/12/2013,85,85,84,85,267
06/16/2013,85,86,86,86,89
06/18/2013,86,88,87,87,445
06/25/2013,87,86,85,85,97
06/30/2013,85,86,86,86,130
07/02/2013,86,85,84,84,2515
07/07/2013,84,83,83,83,352
07/08/2013,83,84,84,84,31
07/10/2013,84,92,85,91,105
07/11/2013,91,90,90,90,100
07/15/2013,90,91,90,90,266
07/16/2013,90,92,90,92,212
07/22/2013,92,88,87,87,670
07/23/2013,87,88,88,88,239
07/24/2013,88,87,87,87,34
07/25/2013,87,88,88,88,133
07/29/2013,88,89,89,89,1788
08/06/2013,89,90,89,89,233
08/07/2013,89,89,89,89,300
08/08/2013,89,92,90,92,1020
08/14/2013,92,95,92,95,399
08/18/2013,95,97,96,97,176
08/19/2013,97,100,98,100,30
08/20/2013,100,110,100,106,3150
08/25/2013,106,110,108,108,3472
08/26/2013,108,108,108,108,10
08/29/2013,108,106,99,99,1004
09/01/2013,99,100,98,100,95
09/02/2013,100,100,98,100,253
09/03/2013,100,98,96,96,610
09/05/2013,96,97,97,97,46
09/23/2013,97,98,96,98,907
09/25/2013,98,97,96,96,174
09/26/2013,96,95,95,95,100
