Date,Open,High,Low,Close,Volume
03/20/2011,214,214,206,209,432
03/24/2011,209,207,205,205,948
03/25/2011,205,208,204,208,524
03/27/2011,208,210,203,203,280
03/28/2011,203,206,200,200,1068
03/29/2011,200,204,200,203,530
03/30/2011,203,203,196,196,402
03/31/2011,196,202,193,200,1156
04/04/2011,200,210,202,210,1042
04/05/2011,210,212,206,206,1336
04/06/2011,206,210,206,210,548
04/07/2011,210,210,206,206,584
04/10/2011,206,203,201,203,356
04/11/2011,203,199,193,193,628
04/13/2011,193,190,187,187,96
04/17/2011,187,186,183,183,600
04/18/2011,183,182,180,182,380
04/19/2011,182,182,182,182,346
04/20/2011,182,181,179,181,524
04/21/2011,181,182,175,175,634
04/27/2011,175,175,170,170,2320
04/28/2011,170,168,165,165,1014
05/02/2011,165,165,165,165,442
05/03/2011,165,165,162,165,112
05/04/2011,165,166,160,160,812
05/05/2011,160,169,163,169,848
05/08/2011,169,166,163,163,1136
05/09/2011,163,162,162,162,68
05/10/2011,162,161,155,160,818
05/11/2011,160,164,160,164,510
05/15/2011,164,164,164,164,180
05/16/2011,164,167,167,167,260
05/18/2011,167,170,167,167,308
05/19/2011,167,172,169,172,242
05/22/2011,172,175,172,175,586
05/23/2011,175,177,175,175,554
05/24/2011,175,181,178,181,136
05/25/2011,181,179,176,176,374
05/26/2011,176,183,178,183,422
05/30/2011,183,184,181,182,608
05/31/2011,182,187,182,182,1082
06/01/2011,182,185,185,185,100
06/02/2011,185,182,182,182,30
06/08/2011,182,179,173,173,78
06/09/2011,173,170,164,164,192
06/12/2011,164,164,164,164,136
06/13/2011,164,161,148,150,1034
06/14/2011,150,150,145,145,510
06/15/2011,145,143,143,143,68
06/16/2011,143,141,139,141,1076
06/19/2011,141,145,143,145,350
06/20/2011,141,145,143,145,350
06/21/2011,151,166,154,166,232
06/23/2011,166,172,169,172,20
06/26/2011,172,184,171,171,3156
06/27/2011,171,171,168,170,324
06/29/2011,170,170,170,170,170
06/30/2011,170,172,163,167,1756
07/03/2011,167,167,164,164,278
07/04/2011,164,162,161,161,548
07/05/2011,161,162,158,159,1032
07/06/2011,159,160,155,155,650
07/07/2011,155,155,146,148,1040
07/10/2011,148,148,142,143,878
07/11/2011,143,143,142,143,275
07/13/2011,143,157,145,157,276
07/14/2011,157,169,160,167,1046
07/18/2011,167,170,167,167,236
07/19/2011,167,165,165,165,100
07/20/2011,165,168,165,168,612
07/21/2011,168,172,166,172,946
07/24/2011,172,171,167,167,318
07/26/2011,167,176,170,175,816
07/27/2011,175,177,175,175,610
07/28/2011,175,175,172,172,1770
07/31/2011,172,172,169,170,658
08/01/2011,170,170,168,170,1622
08/02/2011,170,170,170,170,70
08/03/2011,170,172,172,172,176
08/04/2011,172,172,168,170,232
08/07/2011,170,167,158,164,1152
08/08/2011,164,165,162,165,734
08/09/2011,165,162,160,160,264
08/10/2011,160,157,154,154,410
08/11/2011,154,155,152,155,392
08/15/2011,155,161,158,159,948
08/16/2011,159,160,156,160,360
08/18/2011,160,160,157,160,168
08/22/2011,160,157,149,149,226
08/23/2011,149,149,147,149,122
08/25/2011,149,151,146,146,758
08/28/2011,146,144,142,144,814
08/29/2011,144,144,142,144,238
08/30/2011,144,146,146,146,312
09/01/2011,146,147,145,147,200
09/04/2011,147,148,148,148,118
09/05/2011,148,150,145,145,1228
09/06/2011,145,147,145,147,264
09/07/2011,147,150,145,150,412
09/08/2011,150,147,143,146,328
09/12/2011,146,146,144,144,632
09/13/2011,144,142,138,140,942
09/14/2011,140,140,136,136,1086
09/15/2011,136,139,136,139,804
