Date,Open,High,Low,Close,Volume
03/20/2011,1001,984,965,984,417
03/24/2011,1020,1039,1030,1039,27
03/25/2011,1039,1059,1000,1059,333
03/28/2011,1059,1038,960,998,324
03/29/2011,998,979,899,959,1637
03/30/2011,959,989,951,989,97
03/31/2011,989,1012,955,1012,1474
04/04/2011,1012,1000,1000,1000,79
04/05/2011,1000,998,960,998,647
04/06/2011,998,1025,960,1019,1165
04/07/2011,1019,1039,980,1039,1478
04/10/2011,1039,1097,1019,1097,1209
04/11/2011,1097,1076,988,1068,4953
04/13/2011,1068,1121,1121,1121,40
04/17/2011,1121,1099,1009,1010,234
04/18/2011,1010,1020,941,1020,452
04/19/2011,1020,1000,1000,1000,157
04/20/2011,1000,1020,930,932,772
04/21/2011,932,975,922,975,721
04/25/2011,975,975,956,956,120
04/26/2011,956,994,975,994,20
04/28/2011,994,1050,998,1050,483
05/03/2011,1050,1029,1029,1029,10
05/04/2011,1029,1009,927,950,428
05/05/2011,950,955,940,940,471
05/08/2011,940,977,958,958,101
05/09/2011,958,976,926,976,194
05/10/2011,976,1000,955,1000,576
05/11/2011,1000,990,951,990,285
05/12/2011,990,990,971,971,336
05/15/2011,971,1005,972,991,365
05/16/2011,991,1009,972,999,370
05/18/2011,999,984,950,984,423
05/19/2011,984,984,956,956,615
05/22/2011,956,998,936,998,475
05/23/2011,998,980,942,960,690
05/24/2011,960,959,930,944,792
05/25/2011,944,992,904,992,2304
05/26/2011,992,973,973,973,91
05/30/2011,973,990,950,990,138
05/31/2011,990,1000,971,1000,32
06/01/2011,1000,999,980,980,166
06/02/2011,980,1075,1009,1075,103
06/05/2011,1075,1054,973,973,592
06/06/2011,973,954,876,895,2984
06/07/2011,895,899,856,899,1046
06/08/2011,899,901,855,901,1194
06/09/2011,901,905,851,905,940
06/12/2011,905,920,910,920,20
06/14/2011,920,938,902,920,220
06/15/2011,920,902,828,828,402
06/16/2011,828,876,781,876,887
06/19/2011,876,946,893,925,941
06/20/2011,876,946,893,925,941
06/21/2011,1017,1072,975,1072,2336
06/23/2011,1072,1166,1070,1166,2004
06/26/2011,1166,1188,1078,1078,570
06/27/2011,1078,1057,977,977,222
06/29/2011,977,1074,927,1053,1286
06/30/2011,1053,1058,948,1057,1395
07/03/2011,1057,1074,1074,1074,12
07/04/2011,1074,1053,967,967,1136
07/05/2011,967,986,930,980,5548
07/06/2011,980,1009,950,988,2431
07/07/2011,988,1005,970,970,119
07/10/2011,970,1007,969,1006,534
07/11/2011,1006,1026,980,980,342
07/12/2011,980,1004,977,1004,1061
07/13/2011,1004,1080,1000,1080,447
07/14/2011,1080,1095,995,1094,688
07/17/2011,1094,1195,1110,1195,505
07/18/2011,1195,1218,1076,1076,290
07/19/2011,1076,1060,1042,1055,1097
07/20/2011,1055,1076,1047,1055,2734
07/21/2011,1055,1081,1051,1055,1522
07/24/2011,1055,1076,1005,1022,903
07/25/2011,1022,1002,1000,1000,40
07/26/2011,1000,1000,1000,1000,252
07/27/2011,1000,1054,980,1054,2318
07/28/2011,1054,1040,1006,1040,490
07/31/2011,1040,1032,1012,1012,347
08/01/2011,1012,1012,1010,1012,116
08/02/2011,1012,1011,981,1011,1032
08/03/2011,1011,1020,980,1010,453
08/04/2011,1010,1025,990,1025,297
08/07/2011,1025,1005,985,1004,218
08/08/2011,1004,1024,962,970,1463
08/09/2011,970,972,951,972,1025
08/10/2011,972,1013,950,998,559
08/11/2011,998,1020,983,995,221
08/15/2011,995,1018,965,991,1352
08/16/2011,991,995,975,994,1000
08/17/2011,994,1000,960,975,5607
08/18/2011,975,1011,980,1011,638
08/22/2011,1011,991,965,972,730
08/23/2011,972,975,970,970,310
08/24/2011,970,971,943,963,1217
08/25/2011,963,982,944,950,740
08/28/2011,950,950,931,931,485
08/29/2011,931,949,933,946,497
08/30/2011,946,983,931,983,534
09/01/2011,983,983,948,948,1177
09/04/2011,948,965,940,964,1168
09/05/2011,964,975,940,940,803
09/06/2011,940,960,921,922,995
09/07/2011,922,940,922,939,806
09/08/2011,939,935,920,920,518
09/12/2011,920,960,910,960,874
09/13/2011,960,941,892,940,1650
09/14/2011,940,938,908,915,1689
09/15/2011,915,980,900,980,3778
09/20/2011,980,888,874,888,59
09/21/2011,888,900,849,865,68
09/22/2011,865,865,840,865,799
09/25/2011,865,879,879,879,10
09/26/2011,879,894,860,894,192
09/27/2011,894,900,855,897,1161
09/29/2011,897,895,865,878,146
10/02/2011,878,870,861,870,100
10/09/2011,870,884,867,867,92
10/10/2011,867,900,870,882,75
10/12/2011,882,915,898,915,20
10/13/2011,915,930,930,930,10
10/16/2011,930,945,945,945,33
10/18/2011,945,927,909,909,30
10/19/2011,909,891,840,867,611
10/20/2011,867,859,803,811,404
10/23/2011,811,810,797,800,442
10/24/2011,800,854,816,836,115
10/25/2011,836,820,820,820,18
10/30/2011,820,810,800,800,61
10/31/2011,800,848,816,848,30
11/02/2011,848,932,864,932,253
11/03/2011,932,925,839,900,271
11/06/2011,900,882,810,847,2635
11/08/2011,847,831,794,831,883
11/09/2011,831,840,815,840,183
11/10/2011,840,840,815,840,115
11/13/2011,840,824,794,824,310
11/14/2011,824,824,808,824,88
11/15/2011,824,840,796,800,556
11/16/2011,800,816,780,780,2053
11/17/2011,780,799,793,799,220
11/20/2011,799,810,779,790,1442
11/21/2011,790,795,778,795,262
11/22/2011,795,780,772,780,246
11/23/2011,780,809,765,809,397
11/24/2011,809,824,824,824,10
11/27/2011,824,808,808,808,10
11/28/2011,808,792,750,770,2606
12/01/2011,775,789,740,750,6000
12/04/2011,750,765,745,757,865
12/05/2011,757,760,750,755,709
12/06/2011,755,750,740,740,448
12/07/2011,740,754,738,740,1336
12/08/2011,740,750,731,750,1593
12/11/2011,750,750,718,750,234
12/12/2011,750,735,701,706,1687
12/13/2011,706,765,700,765,1505
12/18/2011,765,750,721,721,97
12/19/2011,721,714,696,714,1627
12/20/2011,714,710,700,700,929
12/21/2011,700,713,700,701,1564
12/22/2011,701,709,697,709,467
12/26/2011,709,712,697,699,407
12/27/2011,699,712,700,709,344
12/28/2011,709,703,690,703,4771
12/29/2011,703,700,680,696,6854
01/01/2012,696,695,681,685,6914
01/02/2012,685,714,680,714,9126
01/03/2012,714,714,700,700,4018
01/04/2012,700,700,680,681,18324
01/05/2012,681,702,680,702,5733
01/08/2012,702,700,675,700,9151
01/09/2012,700,686,670,670,12252
01/10/2012,702,709,661,690,389
01/11/2012,690,740,670,714,1369
01/12/2012,714,728,711,728,110
01/16/2012,728,714,686,693,429
01/17/2012,693,711,685,697,283
01/18/2012,697,703,690,693,821
01/19/2012,693,700,687,687,780
01/22/2012,687,692,685,685,183
01/23/2012,685,685,670,670,3838
01/25/2012,670,683,670,682,1151
01/26/2012,682,691,670,690,330
01/29/2012,690,680,670,680,3345
01/31/2012,680,680,670,675,453
02/01/2012,675,687,670,687,1427
02/02/2012,687,682,670,680,2007
02/05/2012,680,684,671,672,67
02/06/2012,672,673,670,672,1677
02/07/2012,672,683,665,683,1337
02/08/2012,683,696,696,696,210
02/09/2012,696,709,665,696,1552
02/12/2012,696,683,670,683,968
02/13/2012,683,684,670,671,800
02/14/2012,671,672,667,667,6670
02/15/2012,667,679,668,679,1229
02/16/2012,679,688,665,670,2457
02/21/2012,670,680,665,680,1290
02/23/2012,680,694,665,694,3286
02/26/2012,694,681,665,680,4064
02/27/2012,680,688,671,688,573
02/28/2012,688,698,670,698,3642
02/29/2012,698,685,670,676,2794
03/01/2012,676,690,655,690,33581
03/04/2012,690,683,668,683,1949
03/05/2012,683,686,665,686,6761
03/06/2012,686,690,665,690,3519
03/11/2012,690,683,670,683,770
03/12/2012,683,683,665,683,1930
03/13/2012,683,670,650,670,152797
03/14/2012,670,692,669,692,828
03/15/2012,692,683,670,683,564
03/18/2012,683,684,665,678,4530
03/19/2012,678,678,665,665,4922
03/20/2012,665,695,667,695,416
03/21/2012,695,700,671,700,582
03/25/2012,700,686,670,683,880
03/26/2012,683,678,665,678,8350
03/27/2012,678,678,662,678,5611
03/28/2012,678,678,665,678,4252
03/29/2012,678,670,665,670,4310
04/01/2012,670,705,666,705,328
04/02/2012,705,691,673,680,289
04/03/2012,680,688,666,688,3949
04/04/2012,688,689,675,689,2384
04/05/2012,689,680,675,678,10316
04/08/2012,678,690,680,685,529
04/09/2012,685,694,690,694,3029
04/10/2012,694,702,691,700,3405
04/11/2012,700,725,705,715,3502
04/12/2012,715,751,718,751,4129
04/15/2012,751,804,751,804,6854
04/16/2012,804,883,820,883,415
04/17/2012,883,971,795,796,15765
04/18/2012,796,873,760,830,11617
04/19/2012,830,881,830,881,3226
04/22/2012,881,915,875,899,10422
04/24/2012,899,988,911,988,1848
04/25/2012,988,1086,1007,1086,1310
04/26/2012,1086,1151,978,1110,15702
04/29/2012,1110,1125,1051,1078,9521
04/30/2012,1078,1099,1000,1003,14923
05/02/2012,1003,983,904,909,2436
05/03/2012,909,999,927,999,11750
05/07/2012,999,1058,1018,1058,3386
05/08/2012,1058,1122,1066,1118,13100
05/09/2012,1118,1110,1016,1060,8023
05/10/2012,1060,1069,1010,1033,7737
05/13/2012,1033,1020,965,980,3325
05/14/2012,980,961,890,905,9168
05/15/2012,905,995,923,995,860
05/17/2012,995,1094,1014,1070,15047
05/20/2012,1070,1074,1010,1060,4824
05/21/2012,1060,1085,1035,1084,7022
05/22/2012,1084,1063,1002,1035,6705
05/23/2012,1035,1015,935,960,6502
05/24/2012,960,1015,941,1015,6091
05/27/2012,1015,1080,1025,1069,8697
05/29/2012,1069,1048,1048,1048,20
05/30/2012,1048,1028,944,944,91
05/31/2012,944,934,850,917,6011
06/03/2012,917,1008,917,1000,3440
06/04/2012,1000,1020,971,991,5836
06/05/2012,991,972,938,958,5137
06/06/2012,958,953,911,953,1197
06/07/2012,953,974,935,957,4577
06/10/2012,957,938,900,908,5342
06/11/2012,908,955,922,929,1468
06/12/2012,929,955,912,955,267
06/13/2012,955,952,930,948,410
06/14/2012,948,948,930,947,257
06/17/2012,947,929,910,927,3064
06/18/2012,927,927,910,922,1954
06/19/2012,922,915,900,905,9924
06/20/2012,905,923,900,916,18507
06/21/2012,916,918,900,918,96949
06/25/2012,918,941,911,939,1492
06/26/2012,939,935,900,926,4204
06/27/2012,926,949,915,940,3790
06/28/2012,940,955,936,946,3200
07/01/2012,946,950,930,938,16001
07/02/2012,938,949,930,944,15297
07/03/2012,944,944,939,940,4512
07/04/2012,940,963,933,954,10200
07/05/2012,954,953,940,952,6107
07/08/2012,952,952,941,950,2373
07/09/2012,950,965,950,965,2901
07/10/2012,965,985,965,985,7467
07/11/2012,985,990,974,980,5222
07/12/2012,980,994,975,981,59280
07/15/2012,981,1039,980,1033,18211
07/16/2012,1033,1013,970,995,24941
07/17/2012,995,997,978,990,2281
07/18/2012,990,1038,995,1038,4388
07/19/2012,1038,1060,1030,1055,7695
07/22/2012,1055,1080,1050,1064,9924
07/23/2012,1064,1091,1051,1080,5864
07/24/2012,1080,1082,1041,1069,5993
07/25/2012,1069,1081,1061,1072,59028
07/26/2012,1072,1072,1042,1065,5046
07/29/2012,1065,1058,1032,1051,7154
07/30/2012,1051,1076,1042,1059,3066
07/31/2012,1059,1084,1040,1060,7345
08/01/2012,1060,1065,1050,1062,14489
08/05/2012,1062,1084,1065,1084,6095
08/06/2012,1084,1095,1045,1077,6039
08/07/2012,1077,1098,1077,1081,7376
08/08/2012,1081,1081,1075,1080,1472
08/12/2012,1080,1090,1071,1079,9649
08/13/2012,1079,1085,1045,1070,6998
08/14/2012,1070,1070,1052,1057,14932
08/15/2012,1057,1080,1050,1053,11458
08/16/2012,1053,1065,1035,1062,6326
08/19/2012,1062,1073,1050,1065,3473
08/21/2012,1065,1074,1060,1064,7444
08/22/2012,1064,1064,1055,1060,4555
08/23/2012,1060,1063,1050,1050,3679
08/26/2012,1050,1065,1050,1055,2846
08/27/2012,1055,1065,1050,1061,3887
