Date,Open,High,Low,Close,Volume
07/13/2014,320,325,325,325,28249
08/25/2014,325,325,325,325,500
12/04/2014,325,320,320,320,15000
12/24/2014,320,320,320,320,7000
06/23/2015,277,277,275,275,20250
03/24/2016,350,343,315,315,25000
03/27/2016,350,350,350,350,25000
08/24/2016,405,400,400,400,2500
09/08/2016,400,400,400,400,5087
09/14/2016,400,392,364,364,7000
09/21/2016,364,357,337,337,2000
12/11/2016,337,331,331,331,4000
12/12/2016,331,325,325,325,4000
12/14/2016,325,319,319,319,4000
12/20/2016,319,313,313,313,9368
01/26/2017,313,307,301,301,10000
01/30/2017,301,295,295,295,5000
01/31/2017,295,290,290,290,5000
02/01/2017,290,285,285,285,5000
02/02/2017,285,280,280,280,5000
02/06/2017,280,275,275,275,8000
03/05/2017,275,275,275,275,6000
04/10/2017,275,275,275,275,6000
