Date,Open,High,Low,Close,Volume
10/15/2015,285,313,290,313,4050
10/18/2015,313,343,309,314,18584
10/19/2015,314,315,306,312,14578
10/25/2015,312,321,315,321,1456
10/27/2015,321,315,302,302,2084
10/28/2015,302,309,290,309,3935
10/29/2015,309,315,302,305,5070
11/01/2015,305,309,296,302,10753
11/02/2015,302,308,300,303,9994
11/03/2015,303,306,297,300,2573
11/04/2015,300,307,298,301,10639
11/05/2015,301,307,300,306,3824
11/08/2015,306,304,302,304,4912
11/09/2015,304,311,305,311,1558
11/10/2015,311,318,311,317,711
11/15/2015,317,321,305,305,3118
11/16/2015,305,306,297,299,44190
11/18/2015,299,297,290,295,7080
01/11/2016,295,324,300,324,6206
01/12/2016,324,354,326,333,19579
01/12/2016,324,354,326,333,19579
01/13/2016,333,331,324,330,19002
01/14/2016,330,340,325,340,18703
02/24/2016,340,374,346,374,60
02/25/2016,374,411,381,411,10958
02/28/2016,411,439,414,428,12465
02/29/2016,428,423,410,412,6772
03/01/2016,412,425,413,425,5965
03/02/2016,425,440,427,439,6749
03/03/2016,439,455,445,455,7843
03/06/2016,455,459,450,450,5626
03/10/2016,450,486,459,475,13925
03/13/2016,475,475,450,468,3207
03/14/2016,468,470,460,460,2072
03/15/2016,460,453,442,453,8990
03/16/2016,453,455,437,455,2099
03/17/2016,455,455,447,449,2160
03/20/2016,449,465,446,465,9372
03/21/2016,465,511,466,510,20494
03/23/2016,510,519,505,515,18558
03/24/2016,515,515,505,510,7835
03/27/2016,510,520,490,500,40241
03/28/2016,500,510,490,495,16521
03/29/2016,406,406,395,406,2302
03/30/2016,406,406,398,398,2686
03/31/2016,398,398,391,393,1054
04/03/2016,393,392,376,392,3823
04/04/2016,392,395,383,383,3780
04/05/2016,383,392,385,392,1959
04/06/2016,392,399,392,392,528
04/10/2016,392,398,385,394,2352
04/11/2016,394,398,390,395,2331
04/12/2016,395,402,394,394,1856
04/14/2016,394,408,390,402,5160
04/17/2016,402,405,400,405,6423
04/18/2016,405,410,400,400,6400
04/19/2016,400,405,396,405,2423
04/20/2016,405,405,397,405,4012
04/21/2016,405,412,400,400,4266
04/24/2016,400,400,400,400,500
04/25/2016,400,421,408,421,11792
04/26/2016,421,429,418,422,4087
04/27/2016,422,430,425,425,3887
04/28/2016,425,430,418,422,5712
05/02/2016,422,433,423,423,3247
05/03/2016,423,431,407,431,2464
05/04/2016,431,439,408,418,3369
05/05/2016,418,419,410,419,2630
05/08/2016,419,418,410,410,8714
05/09/2016,410,417,411,413,3762
05/10/2016,413,415,405,415,5618
05/11/2016,415,418,410,415,2567
05/12/2016,415,414,407,408,594
05/15/2016,408,415,409,415,4626
05/16/2016,415,417,412,415,4478
05/17/2016,415,414,410,410,2367
05/18/2016,410,419,410,413,1320
05/19/2016,413,421,409,415,7088
05/22/2016,415,423,411,416,5433
05/23/2016,416,429,416,429,5289
05/24/2016,429,445,431,440,11752
05/25/2016,440,435,428,430,5482
05/26/2016,430,438,422,438,4474
05/29/2016,438,460,430,435,2196
05/30/2016,435,440,429,432,6246
05/31/2016,432,440,424,440,6242
06/01/2016,440,448,430,430,1482
06/02/2016,430,430,419,430,1493
06/05/2016,430,430,417,421,5457
06/06/2016,421,433,413,433,1544
06/07/2016,433,445,432,445,2966
06/08/2016,445,450,434,445,3929
06/09/2016,445,450,437,445,4219
06/12/2016,445,440,435,435,287
06/13/2016,435,438,426,435,2219
06/14/2016,435,440,430,438,3560
06/15/2016,438,439,431,438,2412
06/16/2016,438,468,430,458,10111
06/19/2016,458,465,456,458,3519
06/20/2016,458,451,444,444,2437
06/21/2016,444,459,445,450,1634
06/22/2016,450,455,449,449,918
06/23/2016,449,455,448,450,3813
06/26/2016,450,450,442,450,2512
06/27/2016,450,460,454,454,2222
06/28/2016,454,470,454,464,9594
06/29/2016,464,479,465,470,4456
06/30/2016,470,490,474,488,10202
07/03/2016,488,508,480,508,6381
07/04/2016,508,550,518,550,26910
07/05/2016,550,552,535,550,8741
07/06/2016,550,560,535,535,9502
07/10/2016,535,565,545,565,10327
07/11/2016,565,576,550,553,8480
07/12/2016,553,550,506,550,5809
07/13/2016,550,544,533,536,5622
07/14/2016,536,560,526,560,1446
07/17/2016,560,560,545,550,6358
07/18/2016,550,600,555,600,26973
07/19/2016,600,660,612,638,31658
07/20/2016,638,640,610,610,11223
07/21/2016,610,634,598,607,5247
07/25/2016,607,663,619,646,14151
07/26/2016,646,698,648,698,23954
07/27/2016,698,730,700,715,19752
07/28/2016,715,756,712,743,40206
07/31/2016,743,780,730,741,16871
08/01/2016,741,730,716,720,9044
08/02/2016,720,720,701,706,2691
08/03/2016,706,705,687,705,3173
08/04/2016,705,715,677,677,9366
08/07/2016,677,709,671,675,4621
08/08/2016,675,662,613,613,1443
08/10/2016,613,674,625,672,13247
08/11/2016,672,698,663,665,7786
08/14/2016,665,652,610,624,19629
08/15/2016,624,620,590,600,8227
08/16/2016,600,610,574,610,24819
08/17/2016,610,620,609,620,15747
08/21/2016,620,609,588,593,6325
08/22/2016,593,593,564,580,3417
08/23/2016,580,591,565,580,5652
08/24/2016,580,592,570,590,4164
08/28/2016,590,591,575,591,7170
08/29/2016,591,602,585,590,7924
08/30/2016,590,627,593,615,5231
08/31/2016,615,627,600,617,4215
09/01/2016,617,629,617,619,7813
09/03/2016,619,637,625,630,11490
09/04/2016,619,637,625,630,11490
09/05/2016,630,645,630,640,5144
09/06/2016,640,657,628,635,10685
09/07/2016,635,640,625,627,5234
09/08/2016,627,635,624,635,5880
