Date,Open,High,Low,Close,Volume
03/20/2011,240,244,244,244,274
04/11/2011,249,245,245,245,80
05/12/2011,245,241,241,241,326
05/15/2011,241,241,241,241,40
07/05/2011,241,247,243,243,450
07/06/2011,243,247,247,247,280
07/07/2011,247,248,247,248,760
07/13/2011,248,248,248,248,160
07/14/2011,248,267,252,267,40
07/17/2011,267,282,272,282,50
07/28/2011,282,277,272,272,20
07/31/2011,272,272,272,272,50
08/01/2011,272,267,255,260,100
08/09/2011,260,260,260,260,134
08/25/2011,260,255,250,250,262
08/29/2011,250,245,241,241,55
08/30/2011,241,240,237,237,420
09/01/2011,237,233,225,225,181
09/08/2011,225,221,221,221,40
09/12/2011,221,218,206,206,217
09/14/2011,206,202,202,202,10
09/15/2011,202,200,200,200,18
09/18/2011,200,196,196,196,37
09/19/2011,196,195,193,193,50
11/02/2011,193,210,196,210,190
11/15/2011,210,206,206,206,18
12/06/2011,206,202,202,202,110
12/07/2011,202,198,192,192,75
12/08/2011,192,189,175,179,1899
12/11/2011,179,185,179,179,270
12/12/2011,179,181,181,181,150
12/13/2011,181,187,184,184,75
12/19/2011,184,181,178,180,210
12/20/2011,180,177,177,177,650
12/22/2011,177,174,174,174,100
12/26/2011,174,189,177,185,1341
12/27/2011,185,191,183,190,557
12/28/2011,190,202,193,202,210
01/23/2012,202,181,178,178,2850
01/31/2012,178,175,175,175,200
02/06/2012,175,172,169,169,450
02/07/2012,169,172,169,172,260
02/12/2012,172,169,169,169,100
02/23/2012,169,169,169,169,20
03/01/2012,169,169,169,169,20
03/21/2012,169,166,163,163,726
04/01/2012,163,160,160,160,100
04/08/2012,160,157,144,144,1011
04/10/2012,144,142,142,142,140
04/11/2012,142,140,140,140,42
04/18/2012,140,150,142,150,444
04/19/2012,150,159,153,159,60
04/24/2012,159,171,162,171,80
04/25/2012,171,183,174,183,80
04/26/2012,183,189,186,186,242
05/15/2012,186,192,189,192,40
05/17/2012,192,201,195,201,60
05/27/2012,201,209,205,209,40
06/03/2012,209,217,213,217,40
07/19/2012,217,215,215,215,1000
08/08/2012,215,211,211,211,53
08/15/2012,211,207,207,207,60
09/11/2012,207,219,211,219,60
09/26/2012,219,215,211,211,547
09/30/2012,214,210,210,210,273
11/29/2012,210,210,210,210,100
12/12/2012,210,210,206,206,1500
12/31/2012,206,206,206,206,1566
02/14/2013,206,208,193,193,10933
04/15/2013,193,190,190,190,4550
04/21/2013,190,187,187,187,173
04/28/2013,187,184,184,184,53
05/02/2013,184,181,181,181,100
05/07/2013,181,180,180,180,543
06/04/2013,180,177,177,177,110
06/13/2013,177,174,174,174,637
07/07/2013,174,171,171,171,74
07/31/2013,171,185,174,180,1406
08/01/2013,180,182,179,179,2100
08/07/2013,179,179,176,179,750
08/18/2013,179,176,175,175,1500
08/25/2013,175,172,166,166,1650
08/26/2013,166,166,166,166,2024
09/05/2013,166,165,165,165,38
09/15/2013,165,169,168,169,110
09/16/2013,169,180,172,177,1383
09/17/2013,177,175,175,175,200
09/19/2013,175,172,170,170,480
09/23/2013,170,170,170,170,150
09/24/2013,170,167,167,167,121
10/01/2013,167,164,164,164,13
10/06/2013,164,167,167,167,20
10/07/2013,167,167,165,165,399
10/17/2013,165,167,167,167,20
