Date,Open,High,Low,Close,Volume
06/10/2012,0,141,136,141,950
06/11/2012,141,155,143,147,2898
06/12/2012,147,147,138,138,12254
06/13/2012,138,144,136,140,10961
06/14/2012,140,141,137,140,3464
06/17/2012,140,138,136,136,1720
06/18/2012,136,138,136,138,208
06/19/2012,138,140,140,140,98
06/20/2012,140,142,140,140,724
06/21/2012,140,138,136,136,2405
06/25/2012,136,137,135,135,3945
06/26/2012,135,138,134,138,3293
06/27/2012,138,136,136,136,475
06/28/2012,136,141,138,141,2074
07/01/2012,141,140,137,137,4050
07/02/2012,137,139,137,137,825
07/03/2012,137,137,137,137,810
07/04/2012,137,139,139,139,49
07/05/2012,139,141,141,141,148
07/08/2012,141,140,139,140,619
07/09/2012,140,140,140,140,49
07/10/2012,140,138,138,138,198
07/12/2012,138,138,138,138,1655
07/16/2012,138,138,138,138,98
07/17/2012,138,150,140,145,1226
07/18/2012,145,153,147,153,1639
07/19/2012,153,159,156,159,98
07/22/2012,159,160,159,159,246
07/24/2012,159,157,150,150,295
07/26/2012,150,148,148,148,49
07/29/2012,148,146,146,146,49
08/01/2012,146,146,145,146,827
08/05/2012,146,146,144,146,249
08/06/2012,146,148,146,148,1786
08/07/2012,148,152,147,152,1972
08/08/2012,152,158,155,158,40
08/12/2012,158,155,155,155,247
08/13/2012,155,153,150,150,198
08/14/2012,150,147,147,147,795
08/15/2012,147,147,147,147,109
08/19/2012,147,147,143,147,851
08/21/2012,147,147,147,147,98
08/22/2012,147,149,149,149,109
08/28/2012,149,150,146,146,532
08/29/2012,146,148,147,148,751
08/30/2012,148,150,147,148,587
09/02/2012,148,150,149,150,128
09/03/2012,150,165,150,165,1538
09/04/2012,165,180,168,180,473
09/10/2012,180,177,162,162,2891
09/11/2012,162,160,150,159,17222
09/12/2012,159,171,158,170,21357
09/13/2012,170,167,162,165,10038
09/16/2012,165,171,168,171,14390
09/17/2012,171,179,174,179,4226
09/18/2012,179,181,180,181,5895
09/19/2012,181,180,179,180,8811
09/20/2012,180,180,177,180,534
09/23/2012,180,179,174,178,3242
09/24/2012,178,187,177,187,1868
09/25/2012,187,189,177,177,634
09/26/2012,177,180,177,177,18052
10/08/2012,177,174,171,174,879
10/11/2012,174,174,174,174,12413
10/15/2012,174,174,174,174,2925
11/08/2012,174,171,171,171,49
11/11/2012,171,168,168,168,49
11/26/2012,168,167,167,167,109
01/06/2013,167,165,165,165,49
01/09/2013,165,165,165,165,49
01/13/2013,165,173,165,166,10656
01/15/2013,166,163,163,163,494
01/17/2013,163,160,158,158,603
01/23/2013,158,156,156,156,500
01/24/2013,156,156,153,153,794
02/03/2013,153,151,151,151,148
02/04/2013,151,150,150,150,148
02/13/2013,150,150,150,150,148
02/20/2013,150,153,153,153,593
02/27/2013,153,152,152,152,59
03/13/2013,152,149,149,149,838
03/14/2013,149,150,150,150,49
03/18/2013,150,150,150,150,158
03/21/2013,150,150,150,150,347
04/01/2013,150,153,153,153,89
04/07/2013,153,153,150,153,344
04/25/2013,153,150,147,147,294
04/29/2013,147,149,147,149,218
04/30/2013,149,148,145,148,662
05/02/2013,148,146,146,146,49
05/12/2013,146,144,144,144,444
06/02/2013,144,146,146,146,15
06/19/2013,146,145,145,145,2925
06/24/2013,145,159,148,159,692
06/25/2013,159,171,162,171,196
06/27/2013,171,177,174,177,69
06/30/2013,177,180,175,180,12633
07/08/2013,180,177,177,177,100
07/09/2013,177,174,168,171,1139
07/10/2013,171,171,168,171,287
07/11/2013,171,171,171,171,198
07/15/2013,171,176,170,176,592
07/16/2013,176,180,179,180,147
07/22/2013,180,186,183,186,148
07/23/2013,186,192,189,192,80
07/24/2013,192,195,188,190,6313
07/30/2013,190,196,193,196,609
07/31/2013,196,205,195,205,255
08/04/2013,205,225,209,225,89
08/05/2013,225,247,229,247,819
08/06/2013,247,251,251,251,10
08/11/2013,251,261,256,261,50
08/12/2013,261,266,266,266,20
08/15/2013,266,261,251,251,187
08/18/2013,251,250,240,245,1797
08/19/2013,245,245,242,242,316
08/25/2013,242,246,245,245,455
08/26/2013,245,245,245,245,59
08/27/2013,245,249,249,249,500
09/02/2013,249,245,245,245,98
09/03/2013,245,245,245,245,49
09/08/2013,245,245,245,245,49
09/09/2013,245,241,241,241,178
10/03/2013,241,240,240,240,1006
10/21/2013,240,248,244,248,821
10/28/2013,248,272,252,272,424
11/06/2013,272,292,277,292,345
11/07/2013,292,308,297,308,247
11/11/2013,320,325,314,325,9424
11/12/2013,325,325,317,325,15172
11/13/2013,325,333,328,333,315
11/14/2013,333,340,325,333,26643
11/21/2013,333,339,339,339,19
11/24/2013,339,357,345,357,543
11/25/2013,357,392,364,392,1712
11/27/2013,392,422,399,422,2499
11/28/2013,422,430,417,417,405
12/01/2013,417,417,409,417,782
12/02/2013,417,458,415,458,17746
12/03/2013,458,503,467,503,455
12/04/2013,503,513,513,513,555
12/05/2013,513,550,520,540,21657
12/08/2013,540,561,540,561,1581
12/10/2013,561,571,571,571,69
12/18/2013,571,582,582,582,69
12/19/2013,582,593,593,593,10
12/22/2013,593,582,534,555,15337
12/29/2013,555,544,544,544,119
01/12/2014,544,534,515,525,10942
01/13/2014,525,520,500,511,25172
01/14/2014,511,545,512,545,5202
01/16/2014,545,550,540,550,313
01/19/2014,550,539,529,529,563
01/21/2014,529,530,530,530,455
01/22/2014,530,530,530,530,217
01/23/2014,530,525,525,525,1454
01/26/2014,525,525,525,525,119
01/27/2014,525,525,520,520,562
01/28/2014,520,515,515,515,109
01/29/2014,515,526,525,526,256
02/02/2014,526,535,535,535,810
02/03/2014,535,525,525,525,69
02/04/2014,525,526,526,526,99
02/06/2014,556,567,525,525,2688
02/09/2014,525,518,518,518,827
02/11/2014,518,528,528,528,49
02/12/2014,528,538,528,528,477
02/16/2014,528,520,520,520,49
02/20/2014,520,567,517,567,2403
02/23/2014,567,623,578,623,5819
02/24/2014,623,685,630,685,6017
02/25/2014,685,690,672,690,3779
02/26/2014,690,703,677,703,1219
03/05/2014,703,689,689,689,200
03/06/2014,689,700,700,700,129
03/09/2014,700,687,687,687,50
03/10/2014,687,674,674,674,122
03/17/2014,674,661,661,661,49
03/19/2014,661,648,595,595,866
03/25/2014,595,584,565,565,439
03/26/2014,565,554,554,554,119
03/27/2014,554,543,543,543,109
03/31/2014,543,533,533,533,200
04/01/2014,533,530,524,524,700
04/02/2014,524,576,534,576,298
04/03/2014,576,633,587,609,9228
04/06/2014,609,621,609,609,1797
04/07/2014,609,639,609,639,859
04/10/2014,639,651,651,651,196
04/13/2014,651,638,638,638,98
04/15/2014,638,626,626,626,119
04/16/2014,626,650,625,625,2755
04/17/2014,625,637,615,637,1074
04/20/2014,637,648,630,632,671
04/21/2014,632,632,632,632,405
04/22/2014,632,635,615,615,1506
04/28/2014,615,627,627,627,533
04/29/2014,627,649,630,645,2799
04/30/2014,645,700,657,700,5495
05/04/2014,700,759,690,759,4086
05/05/2014,759,800,774,781,2797
05/07/2014,781,766,766,766,189
05/20/2014,766,751,751,751,622
05/22/2014,751,736,700,700,5227
05/25/2014,700,687,687,687,319
05/26/2014,687,690,677,678,2544
05/27/2014,678,666,653,666,2543
05/28/2014,666,679,671,676,961
06/01/2014,676,702,676,702,10373
06/02/2014,702,730,702,730,3146
06/03/2014,730,758,730,743,1346
06/04/2014,743,729,701,724,2879
06/05/2014,724,715,690,690,804
06/08/2014,690,703,703,703,10
06/09/2014,703,689,676,676,218
06/10/2014,676,698,685,698,259
06/11/2014,698,711,697,697,109
06/12/2014,697,685,675,675,1045
06/19/2014,675,675,675,675,706
06/23/2014,675,710,688,700,2450
06/24/2014,700,712,700,708,1020
06/25/2014,708,708,695,708,800
06/26/2014,708,710,700,710,2544
07/01/2014,710,696,696,696,50
07/02/2014,696,764,709,764,2596
07/03/2014,764,779,764,770,1313
07/06/2014,770,780,780,780,500
07/08/2014,780,786,782,782,169
07/10/2014,782,775,775,775,238
07/13/2014,775,775,760,775,800
07/15/2014,775,785,784,785,543
07/16/2014,785,818,785,795,5791
07/17/2014,795,874,810,874,16546
07/21/2014,874,961,891,961,739
