Date,Open,High,Low,Close,Volume
09/16/2012,0,128,128,128,756
08/15/2013,128,128,128,128,647870
08/19/2013,128,128,128,128,709006
09/01/2013,128,128,128,128,233336
09/05/2013,128,128,128,128,213097
10/28/2013,128,128,128,128,6592
10/31/2013,128,128,128,128,41201
09/07/2014,130,130,130,130,302328
09/09/2014,130,130,130,130,66300
09/11/2014,130,130,130,130,17014
09/14/2014,130,130,130,130,108695
09/15/2014,130,130,130,130,89035
09/16/2014,130,130,130,130,16575
09/17/2014,130,132,130,132,30768
09/18/2014,132,132,132,132,99487
09/21/2014,132,132,132,132,118330
09/22/2014,132,132,132,132,55599
09/23/2014,132,132,132,132,196785
09/24/2014,132,132,132,132,16286
03/01/2015,235,231,231,231,25000
03/02/2015,231,235,235,235,8022
03/03/2015,235,232,232,232,23000
03/04/2015,232,228,228,228,8022
03/09/2015,228,232,232,232,45726
03/10/2015,232,0,0,232,13915
03/11/2015,232,250,236,250,37292
03/15/2015,250,250,250,250,8022
03/18/2015,250,250,250,250,13300
03/24/2015,250,250,250,250,222593
03/25/2015,250,250,250,250,3208
03/26/2015,250,250,250,250,38512
03/30/2015,250,250,250,250,11072
07/28/2015,250,250,250,250,13224
09/01/2015,250,250,250,250,98380
09/10/2015,250,250,250,250,61369
09/17/2015,250,250,250,250,11304
09/24/2015,250,250,250,250,20276
09/29/2015,250,0,0,250,20276
10/11/2015,250,250,250,250,14611
03/17/2016,250,250,250,250,300519
03/23/2016,250,250,250,250,17972
07/13/2016,250,306,306,306,24939
09/12/2016,280,280,280,280,32350
09/18/2016,280,280,280,280,91567
09/21/2016,280,280,270,270,13215
09/28/2016,270,265,265,265,10783
09/29/2016,265,260,260,260,6470
10/03/2016,260,261,261,261,10200
10/06/2016,261,261,261,261,28251
10/18/2016,261,261,261,261,1919
10/27/2016,261,261,261,261,17972
11/14/2016,261,261,261,261,4987
02/01/2017,261,261,261,261,5000
03/05/2017,261,261,261,261,17972
01/21/2018,175,179,176,179,523020
01/22/2018,179,176,176,176,8661
01/23/2018,176,179,179,179,83218
01/28/2018,179,176,176,176,8321
01/31/2018,176,176,176,176,8661
02/01/2018,176,176,176,176,5010
02/12/2018,176,176,176,176,4160
02/22/2018,176,176,176,176,3586
05/03/2018,176,176,176,176,12929
