Date,Open,High,Low,Close,Volume
03/20/2011,109,111,111,111,282
03/27/2011,111,115,113,115,59
03/31/2011,115,117,115,115,1215
04/04/2011,115,117,115,115,240
04/26/2011,115,115,115,115,348
04/27/2011,115,117,112,112,723
05/04/2011,112,116,114,116,348
05/11/2011,116,114,113,113,487
05/12/2011,113,112,112,112,56
05/24/2011,112,110,110,110,232
05/26/2011,110,108,108,108,58
06/05/2011,108,110,109,109,232
06/15/2011,109,107,107,107,29
08/08/2011,107,105,101,101,180
08/09/2011,101,100,98,98,120
08/23/2011,98,99,99,99,232
08/24/2011,99,98,98,98,150
08/25/2011,98,97,95,95,320
08/30/2011,95,97,96,97,232
09/06/2011,97,96,96,96,388
09/12/2011,96,96,96,96,116
09/18/2011,96,95,95,95,16
09/20/2011,95,94,94,94,256
09/27/2011,94,94,94,94,2938
09/29/2011,94,95,95,95,427
10/10/2011,95,95,94,95,126
10/17/2011,95,94,94,94,532
10/18/2011,94,93,93,93,124
10/20/2011,93,93,92,93,192
10/25/2011,93,93,93,93,148
11/03/2011,93,92,92,92,300
11/06/2011,92,91,91,91,177
11/08/2011,91,91,91,91,30
11/15/2011,91,92,92,92,1000
11/24/2011,92,93,92,92,1560
11/27/2011,92,92,90,90,754
12/20/2011,90,89,89,89,63
01/11/2012,89,88,86,86,194
01/22/2012,86,87,87,87,64
05/14/2012,87,87,87,87,735
05/22/2012,87,88,88,88,80
05/23/2012,88,87,87,87,141
05/27/2012,87,88,87,87,51
05/31/2012,87,86,86,86,13
06/12/2012,86,85,85,85,25
06/20/2012,85,84,84,84,15
