Date,Open,High,Low,Close,Volume
03/21/2013,0,221,203,203,60
03/24/2013,203,199,184,184,60
03/25/2013,184,181,175,175,30
03/27/2013,175,172,158,158,60
03/31/2013,158,155,147,147,40
04/01/2013,147,145,139,139,40
04/03/2013,139,137,133,133,30
04/04/2013,133,131,131,131,10
04/08/2013,131,129,123,123,40
04/09/2013,123,121,111,111,60
04/11/2013,111,109,109,109,100595
07/21/2013,109,107,101,101,60320
07/22/2013,101,101,101,101,119055
08/20/2013,101,101,101,101,90000
02/17/2014,101,105,103,105,100
02/18/2014,105,111,107,111,100
02/20/2014,111,112,112,112,199800
02/26/2014,112,120,114,120,93857
03/12/2014,120,118,108,108,18059
03/17/2014,108,112,112,112,224658
06/05/2014,112,120,114,120,150546
06/11/2014,120,120,120,120,162705
