Date,Open,High,Low,Close,Volume
03/24/2011,170,170,170,170,207
03/25/2011,170,168,167,167,98
03/27/2011,167,165,165,165,38
03/28/2011,165,162,162,162,105
03/29/2011,162,162,159,160,404
03/30/2011,160,158,155,155,887
03/31/2011,155,164,158,164,1003
04/05/2011,164,161,161,161,148
04/06/2011,161,167,164,165,135
04/07/2011,165,164,161,163,1506
04/10/2011,163,166,165,165,520
04/13/2011,165,168,168,168,11
04/17/2011,168,165,162,162,252
04/20/2011,162,159,159,159,200
04/21/2011,159,160,153,153,730
04/27/2011,153,158,155,156,231
05/02/2011,156,158,152,152,480
05/03/2011,152,151,147,147,635
05/04/2011,147,145,144,144,518
05/05/2011,144,149,143,146,990
05/08/2011,146,150,148,150,400
05/09/2011,150,148,148,148,499
05/10/2011,148,155,149,155,1358
05/11/2011,155,158,155,158,573
05/12/2011,158,157,155,157,244
05/15/2011,157,154,151,151,600
05/16/2011,151,155,154,154,572
05/18/2011,154,152,149,150,2260
05/22/2011,150,150,147,147,1021
05/23/2011,147,145,143,145,965
05/25/2011,145,147,145,145,595
05/26/2011,145,145,144,144,241
05/30/2011,144,142,141,141,322
05/31/2011,141,140,138,138,307
06/01/2011,138,137,136,136,400
06/02/2011,136,135,134,134,635
06/05/2011,134,135,128,128,2052
06/07/2011,128,126,124,124,190
06/08/2011,124,122,122,122,500
06/09/2011,122,120,118,118,1233
06/12/2011,118,116,113,113,280
06/13/2011,113,113,108,108,875
06/14/2011,108,109,107,109,668
06/15/2011,109,108,106,106,1300
06/16/2011,106,117,106,117,1793
06/21/2011,128,140,130,140,6073
06/23/2011,140,154,142,154,2014
06/26/2011,154,166,139,140,7734
06/27/2011,140,138,134,134,174
06/29/2011,134,137,123,137,5539
06/30/2011,137,141,124,126,6484
07/03/2011,126,130,125,129,678
07/04/2011,129,131,123,129,1520
07/05/2011,129,137,129,134,1348
07/06/2011,134,144,134,134,3643
07/07/2011,134,139,134,139,1547
07/10/2011,139,145,140,142,2619
07/11/2011,142,141,136,138,3490
07/12/2011,138,146,138,146,3829
07/13/2011,146,160,148,149,2621
07/14/2011,149,156,147,153,3475
07/17/2011,153,168,156,168,11093
07/18/2011,168,184,166,166,1499
07/19/2011,166,163,158,160,6046
07/20/2011,160,167,160,165,3844
07/21/2011,165,170,163,163,2010
07/24/2011,163,160,148,151,557
07/25/2011,151,149,143,143,1375
07/27/2011,143,157,145,157,3451
07/28/2011,157,159,147,155,2741
07/31/2011,155,157,150,150,4420
08/01/2011,150,155,148,155,2274
08/02/2011,155,155,150,152,1245
08/03/2011,152,153,149,153,2114
08/04/2011,153,154,149,154,2658
08/07/2011,154,152,147,147,198
08/08/2011,147,145,145,145,42
08/09/2011,145,145,143,144,1066
08/10/2011,144,149,142,147,2404
08/11/2011,147,156,149,156,1461
08/15/2011,156,156,153,153,372
08/16/2011,153,155,150,150,691
08/17/2011,150,147,138,144,6953
08/18/2011,144,146,142,145,280
08/22/2011,145,143,137,140,1267
08/23/2011,140,142,138,142,1922
08/24/2011,142,142,139,142,781
08/25/2011,142,142,139,142,1313
08/28/2011,142,142,135,135,860
08/29/2011,135,133,133,133,330
08/30/2011,133,141,135,139,358
09/01/2011,139,141,139,139,1300
09/04/2011,139,140,136,140,625
09/05/2011,140,140,137,137,540
09/06/2011,137,135,133,134,972
09/07/2011,134,134,130,132,5197
09/08/2011,132,132,130,130,1399
09/12/2011,130,132,128,132,437
09/13/2011,132,131,128,130,1420
09/15/2011,130,134,130,130,1691
09/18/2011,130,134,132,132,619
09/19/2011,132,133,132,132,2105
09/20/2011,132,134,134,134,61
09/21/2011,134,135,135,135,350
09/22/2011,135,139,137,139,448
09/25/2011,139,140,136,136,266
09/26/2011,136,136,132,132,942
09/27/2011,132,132,132,132,615
10/02/2011,132,132,132,132,200
10/09/2011,132,132,132,132,169
10/10/2011,132,132,132,132,122
10/12/2011,132,134,132,134,1592
10/13/2011,134,136,133,134,1641
10/16/2011,134,133,131,131,1863
10/17/2011,131,137,133,137,1604
10/18/2011,137,138,135,138,1430
10/19/2011,138,136,132,132,3764
10/20/2011,132,134,128,134,1728
10/23/2011,134,135,133,135,297
10/24/2011,135,138,134,137,2682
10/25/2011,137,139,137,137,404
10/30/2011,137,136,133,133,1016
10/31/2011,133,133,131,133,1657
11/02/2011,133,146,135,146,1395
11/03/2011,146,152,140,140,1313
11/06/2011,140,141,139,141,1540
11/08/2011,141,140,139,140,714
11/09/2011,140,140,135,135,696
11/10/2011,135,138,135,138,1072
11/13/2011,138,141,138,138,2353
11/14/2011,138,136,136,136,339
11/15/2011,136,135,133,133,406
11/16/2011,133,133,133,133,122
11/17/2011,133,140,135,140,1693
11/23/2011,140,132,128,128,419
11/24/2011,128,126,126,126,1016
11/27/2011,126,124,124,124,343
12/01/2011,128,133,129,133,576
12/04/2011,133,131,131,131,111
12/05/2011,131,133,131,131,184
12/06/2011,131,129,129,129,116
12/07/2011,129,131,130,131,1100
12/08/2011,131,130,124,126,6085
12/11/2011,126,126,123,125,7028
12/12/2011,125,125,123,123,2799
12/13/2011,123,123,123,123,7789
12/14/2011,123,127,125,127,208
12/18/2011,127,125,125,125,1627
