Date,Open,High,Low,Close,Volume
08/16/2012,0,200,200,200,103
09/02/2012,200,196,187,187,40
09/03/2012,187,184,172,172,50
09/04/2012,172,169,160,160,40
09/05/2012,160,157,144,144,311
09/06/2012,144,142,134,138,333
09/09/2012,138,136,125,125,2089
09/10/2012,125,128,124,127,2836
09/11/2012,127,138,128,138,538
09/12/2012,138,145,140,145,1191
09/13/2012,145,143,139,139,410
09/16/2012,139,137,137,137,19
09/17/2012,137,139,139,139,129
09/25/2012,139,145,137,137,1289
09/26/2012,137,137,135,135,1184
09/30/2012,135,139,137,137,1122
10/02/2012,137,139,137,137,182
10/03/2012,137,139,139,139,101
10/07/2012,139,140,139,140,157
10/09/2012,140,140,139,139,266
10/10/2012,139,139,139,139,86
10/11/2012,139,140,138,140,1089
10/14/2012,140,142,142,142,43
10/15/2012,142,140,140,140,200
10/18/2012,140,144,142,144,157
10/30/2012,144,142,142,142,91
11/05/2012,142,140,140,140,99
11/06/2012,140,144,140,144,7447
11/07/2012,144,144,142,143,1426
11/11/2012,143,145,141,141,1707
11/12/2012,141,141,141,141,136
11/29/2012,141,141,139,139,226
12/04/2012,139,140,140,140,416
12/05/2012,140,140,138,140,502
12/06/2012,140,142,140,140,2054
12/10/2012,140,142,140,140,906
12/11/2012,140,142,142,142,51
12/12/2012,142,142,139,139,192
12/24/2012,139,137,136,136,1997
01/03/2013,136,138,138,138,33
01/06/2013,138,138,138,138,288
01/30/2013,138,140,138,140,764
02/13/2013,140,138,138,138,10
02/20/2013,138,136,134,135,1833
02/27/2013,135,133,133,133,24
02/28/2013,133,136,135,136,35
03/03/2013,136,134,134,134,10
03/04/2013,134,135,135,135,309
03/17/2013,135,139,137,139,433
03/19/2013,139,138,138,138,206
03/20/2013,138,149,140,149,1704
03/27/2013,149,150,147,147,351
03/28/2013,147,147,147,147,164
04/08/2013,147,145,143,143,59
04/09/2013,143,145,145,145,12
04/11/2013,145,143,141,141,82
04/15/2013,141,145,143,143,123
04/16/2013,143,141,141,141,41
05/09/2013,141,139,137,137,82
05/12/2013,137,135,133,133,82
05/16/2013,133,135,135,135,20
05/21/2013,135,139,137,139,102
05/28/2013,139,141,141,141,14
