Date,Open,High,Low,Close,Volume
04/27/2011,0,329,329,329,10
05/05/2011,329,323,317,317,20
05/15/2011,317,311,305,305,20
05/18/2011,305,299,299,299,120
06/21/2011,299,294,289,289,30
06/23/2011,289,284,261,261,360
07/06/2011,261,248,248,248,10
07/10/2011,248,236,236,236,10
07/11/2011,236,232,232,232,20
07/19/2011,232,221,221,221,10
07/21/2011,221,210,210,210,10
08/22/2011,210,206,189,189,160
08/29/2011,189,186,183,183,170
09/12/2011,183,180,180,180,20
09/13/2011,180,177,174,174,80
09/14/2011,174,166,166,166,10
10/13/2011,166,158,152,152,30
10/17/2011,152,145,141,141,30
10/18/2011,141,139,129,129,270
10/20/2011,129,127,119,119,290
10/23/2011,119,114,108,108,1130
10/24/2011,108,104,99,102,12310
10/25/2011,102,103,100,101,11240
10/30/2011,101,107,100,105,13420
10/31/2011,105,108,101,106,9880
11/02/2011,106,116,108,116,2440
11/03/2011,116,114,105,108,5160
11/06/2011,108,109,107,108,14960
11/08/2011,108,109,106,108,11430
11/09/2011,108,109,106,107,6420
11/10/2011,107,108,106,107,21310
11/13/2011,107,107,103,104,8140
11/14/2011,104,105,102,104,7960
11/15/2011,104,105,103,104,14980
11/16/2011,104,105,103,103,6740
11/17/2011,103,104,102,104,4240
11/20/2011,104,105,102,104,5770
11/21/2011,104,104,103,103,1560
11/22/2011,103,105,103,104,7740
11/23/2011,104,105,103,104,3910
11/24/2011,104,104,103,103,8410
11/27/2011,103,104,102,103,10440
11/28/2011,103,104,101,101,4330
12/01/2011,102,102,100,102,3700
12/04/2011,102,102,100,101,2900
12/05/2011,101,102,101,101,4590
12/06/2011,101,102,100,101,3680
12/07/2011,101,101,99,99,4510
12/08/2011,99,101,98,99,3820
12/11/2011,99,100,98,98,4360
12/12/2011,98,102,98,99,13560
12/13/2011,99,104,98,104,3870
12/14/2011,104,102,98,102,10250
12/15/2011,102,101,97,97,2010
12/18/2011,97,102,97,100,3130
12/19/2011,100,100,98,100,2030
12/20/2011,100,101,99,101,1970
12/21/2011,101,100,98,99,6430
12/22/2011,99,102,99,100,2500
12/26/2011,100,100,99,100,370
12/27/2011,100,100,99,100,4720
12/28/2011,100,100,98,99,1510
12/29/2011,99,100,98,98,960
01/01/2012,98,101,98,99,7160
01/02/2012,99,102,99,102,4490
01/03/2012,102,103,99,99,1940
01/04/2012,99,100,97,99,2780
01/05/2012,99,99,97,99,3430
01/08/2012,99,99,97,97,6780
01/09/2012,97,99,97,98,4240
01/10/2012,99,99,97,97,2230
01/11/2012,97,97,97,97,550
01/12/2012,97,98,96,97,2330
01/16/2012,97,98,96,97,3690
01/17/2012,97,97,96,97,1890
01/18/2012,97,97,95,96,6870
01/19/2012,96,98,96,98,1890
01/22/2012,98,98,95,97,3840
01/23/2012,97,97,95,96,5240
01/25/2012,96,97,96,96,1960
01/26/2012,96,97,94,95,3330
01/29/2012,95,96,94,94,3900
01/31/2012,94,95,94,94,2780
02/01/2012,94,99,94,94,1300
02/02/2012,94,95,94,95,3180
02/05/2012,95,95,90,91,2700
02/06/2012,91,90,89,90,1900
02/07/2012,90,91,88,89,900
02/08/2012,89,90,88,88,2510
02/09/2012,88,90,88,90,1300
02/12/2012,90,90,87,89,1480
02/13/2012,89,91,86,91,3980
02/14/2012,91,95,89,90,3110
02/15/2012,90,90,86,90,4880
02/16/2012,90,90,86,87,4010
02/21/2012,87,87,86,86,1450
02/23/2012,86,89,85,85,5580
02/26/2012,85,87,86,87,1310
02/27/2012,87,90,88,89,980
02/28/2012,89,91,87,91,1480
02/29/2012,91,91,89,90,1590
03/01/2012,90,90,88,90,500
03/04/2012,90,91,89,89,1830
03/05/2012,89,91,89,89,1000
03/06/2012,89,90,89,89,1140
03/11/2012,89,88,87,87,500
03/12/2012,87,87,85,86,3000
03/13/2012,86,88,86,88,350
03/14/2012,88,89,87,87,270
03/15/2012,87,90,88,89,1890
03/18/2012,89,91,88,88,2160
03/19/2012,88,89,85,86,1330
03/20/2012,86,87,86,86,1130
03/21/2012,86,87,86,87,390
03/25/2012,87,88,85,87,1990
03/26/2012,87,88,84,87,1240
03/27/2012,87,88,87,88,1890
03/28/2012,88,88,88,88,1010
03/29/2012,88,88,86,86,1060
04/01/2012,86,86,86,86,420
04/02/2012,86,88,85,87,3510
04/04/2012,87,86,84,86,3980
04/05/2012,86,86,85,85,1740
04/08/2012,85,86,85,85,460
04/09/2012,85,88,86,88,1450
04/10/2012,88,88,87,87,220
04/11/2012,87,90,88,89,1160
04/12/2012,89,95,89,94,640
04/15/2012,94,101,95,101,830
04/17/2012,101,109,100,100,1820
04/18/2012,100,102,98,102,860
04/19/2012,102,106,98,99,1910
04/22/2012,99,108,99,108,2630
04/24/2012,108,116,110,116,2650
04/25/2012,116,122,118,122,330
04/26/2012,122,126,114,123,4871
04/29/2012,123,125,119,121,8630
04/30/2012,121,119,110,110,1210
05/02/2012,110,108,104,104,40
