Date,Open,High,Low,Close,Volume
10/24/2011,100,100,100,100,44710
10/25/2011,100,100,100,100,29060
10/30/2011,100,98,98,98,200
10/31/2011,98,100,99,100,56120
11/03/2011,100,100,100,100,11180
11/08/2011,100,100,98,100,9120
11/10/2011,100,100,99,100,208360
11/13/2011,100,100,100,100,460
11/16/2011,100,100,100,100,5020
11/17/2011,100,100,100,100,13415
11/21/2011,100,100,100,100,44965
11/22/2011,100,100,100,100,12180
11/23/2011,100,101,101,101,145320
12/05/2011,101,99,99,99,30
12/07/2011,99,100,100,100,240
12/11/2011,100,100,100,100,8540
12/13/2011,100,100,100,100,50
12/14/2011,100,100,100,100,1550
12/18/2011,100,100,100,100,50
02/07/2012,100,99,99,99,20
03/20/2012,99,99,99,99,40
04/30/2012,99,100,98,100,5730
07/08/2012,100,100,100,100,13810
07/16/2012,100,100,100,100,50
08/01/2012,100,99,99,99,70
09/18/2012,99,100,100,100,20
02/05/2013,100,98,98,98,330
05/20/2013,98,97,96,96,70
07/07/2013,96,98,97,98,80
07/08/2013,98,101,99,100,11240
07/09/2013,100,100,100,100,310
08/01/2013,100,100,100,100,609080
08/04/2013,100,100,100,100,120
08/11/2013,100,98,98,98,150
10/07/2013,98,99,99,99,400
10/22/2013,99,100,100,100,70
10/31/2013,100,98,98,98,40
12/03/2013,98,99,99,99,100
03/24/2014,99,100,100,100,60
03/27/2014,100,100,100,100,59000
04/02/2014,100,100,100,100,100
04/03/2014,100,110,102,110,100
04/09/2014,110,112,112,112,20
04/17/2014,112,116,114,116,1020
04/23/2014,116,118,118,118,100
04/27/2014,118,124,120,124,400
04/29/2014,124,128,126,128,1050
05/08/2014,128,134,130,134,1750
06/17/2014,134,140,136,140,30
06/17/2014,134,140,136,140,30
06/19/2014,140,142,142,142,20
06/25/2014,142,153,144,153,60
07/01/2014,153,156,156,156,20
07/08/2014,156,171,159,171,100
07/22/2014,171,181,174,181,710
07/23/2014,181,184,184,184,30
08/03/2014,184,187,187,187,50
08/05/2014,187,190,190,190,180
08/06/2014,190,193,193,193,50
08/12/2014,193,193,193,193,20
08/18/2014,193,199,196,199,40
09/01/2014,199,199,199,199,4470
09/09/2014,199,210,202,210,60
09/28/2014,210,218,214,218,70
09/29/2014,218,218,218,218,500
10/13/2014,218,222,222,222,30
10/30/2014,222,222,222,222,20
11/02/2014,222,234,226,234,60
11/04/2014,234,238,238,238,60
11/06/2014,238,253,249,253,20
11/09/2014,253,263,258,263,1450
11/17/2014,263,283,268,283,60
11/30/2014,283,293,288,293,30
12/01/2014,293,298,298,298,50
12/07/2014,298,303,303,303,10
12/08/2014,303,321,309,321,250
12/09/2014,321,345,327,345,1090
12/10/2014,345,358,351,358,80
12/11/2014,358,393,365,393,870
12/14/2014,393,432,400,432,2450
12/15/2014,432,456,424,456,240
12/16/2014,456,465,456,464,190
12/17/2014,464,460,455,460,310
12/18/2014,460,484,469,484,180
12/21/2014,484,493,473,473,1310
12/28/2014,473,464,438,438,60
12/28/2014,473,464,438,438,60
01/05/2015,438,430,406,406,180
01/06/2015,406,446,398,446,2480
01/07/2015,446,490,450,490,2210
01/08/2015,490,539,499,539,1430
01/11/2015,539,592,549,592,460
01/12/2015,592,639,603,639,220
01/13/2015,639,702,651,702,3880
01/14/2015,702,772,716,772,4125
01/19/2015,772,818,787,818,30
01/22/2015,818,802,737,737,70
01/25/2015,737,723,664,664,1090
01/26/2015,664,715,638,689,3715
01/27/2015,689,676,663,666,790
01/28/2015,666,673,660,673,110
01/29/2015,673,661,661,661,210
02/01/2015,661,661,660,660,410
02/02/2015,660,694,655,694,410
02/03/2015,694,748,689,748,1865
02/04/2015,748,750,735,750,2065
02/05/2015,750,735,735,735,500
02/08/2015,735,749,749,749,30
02/09/2015,749,749,730,749,540
02/10/2015,749,749,735,735,340
02/11/2015,735,721,707,707,70
02/22/2015,707,720,693,693,2270
02/26/2015,693,700,637,637,1630
03/01/2015,637,627,627,627,440
03/02/2015,627,665,621,665,530
03/03/2015,665,652,632,640,450
03/04/2015,640,633,631,633,50
03/09/2015,633,633,631,633,70
03/10/2015,633,633,633,633,30
03/11/2015,633,643,631,643,160
03/12/2015,643,655,655,655,110
03/16/2015,655,655,655,655,200
03/17/2015,655,668,660,660,110
03/18/2015,660,685,647,672,270
03/19/2015,672,696,670,696,160
03/22/2015,696,724,700,724,2225
03/23/2015,724,755,720,720,1310
03/24/2015,720,706,705,706,345
03/25/2015,706,711,700,710,740
04/01/2015,710,710,710,710,20
04/06/2015,710,700,700,700,40
04/13/2015,700,700,686,686,80
04/16/2015,686,680,680,680,20
04/19/2015,680,667,667,667,40
04/21/2015,667,655,642,642,740
04/22/2015,642,630,625,630,150
04/23/2015,630,638,638,638,110
06/03/2015,638,650,637,637,110
06/10/2015,637,630,630,630,30
06/18/2015,630,618,618,618,10
06/24/2015,618,606,594,594,20
06/29/2015,594,590,569,572,1720
06/30/2015,572,562,561,562,1240
07/01/2015,562,555,555,555,100
07/02/2015,555,566,566,566,280
07/05/2015,566,555,541,541,570
07/06/2015,541,595,551,585,80
07/08/2015,585,612,569,612,585
07/13/2015,612,624,624,624,10
07/14/2015,624,650,635,650,230
07/16/2015,650,684,663,684,30
07/22/2015,684,710,697,710,20
07/23/2015,710,738,724,738,20
07/27/2015,738,752,752,752,10
07/30/2015,752,754,754,754,20
08/20/2015,754,739,739,739,30
08/26/2015,739,725,711,711,40
09/09/2015,711,676,640,640,270
09/10/2015,640,628,604,604,30
09/13/2015,604,592,581,581,20
09/14/2015,581,595,564,564,1415
09/15/2015,564,575,554,556,530
09/24/2015,556,549,549,549,250
10/06/2015,549,550,540,550,160
10/08/2015,550,540,540,540,200
11/10/2015,540,530,530,530,50
11/23/2015,530,520,520,520,10
11/25/2015,520,510,510,510,100
11/29/2015,510,505,505,505,40
01/14/2016,505,495,495,495,350
12/01/2016,495,510,500,510,200
12/05/2016,510,520,520,520,10
12/06/2016,520,530,530,530,110
12/07/2016,530,572,540,572,100
12/11/2016,572,605,583,605,110
12/12/2016,605,665,617,665,630
12/14/2016,665,731,678,731,1440
12/15/2016,731,804,745,790,1560
12/18/2016,790,790,779,780,150
12/19/2016,780,780,780,780,155
12/22/2016,780,765,750,750,40
01/18/2017,750,735,675,675,400
01/19/2017,675,662,625,637,785
01/22/2017,637,660,649,660,200
01/23/2017,660,660,635,635,140
02/02/2017,635,623,611,620,50
02/13/2017,620,608,608,608,100
02/14/2017,608,600,600,600,50
02/16/2017,600,595,595,595,30
02/19/2017,595,590,580,580,400
02/21/2017,580,591,591,591,10
03/06/2017,591,580,580,580,20
03/07/2017,580,570,548,548,300
03/09/2017,548,540,494,494,1385
03/13/2017,494,520,495,520,50
03/14/2017,520,540,530,540,60
03/15/2017,540,550,550,550,290
03/19/2017,550,561,561,561,30
03/20/2017,561,550,539,539,180
03/21/2017,539,550,539,539,180
03/23/2017,539,549,548,549,195
03/28/2017,549,549,549,549,40
03/29/2017,549,559,549,559,250
04/09/2017,559,548,548,548,10
04/11/2017,548,540,538,540,2170
04/12/2017,540,555,544,555,2840
04/13/2017,555,566,566,566,360
04/16/2017,566,570,570,570,360
04/18/2017,570,590,580,590,110
04/19/2017,590,610,601,610,110
04/24/2017,610,611,600,611,120
04/25/2017,611,612,600,612,70
05/11/2017,612,600,600,600,200
05/15/2017,600,588,588,588,10
05/17/2017,588,583,582,582,200
05/18/2017,582,572,572,572,70
05/21/2017,572,629,583,629,390
05/22/2017,629,679,641,679,110
05/23/2017,679,746,692,746,2130
05/24/2017,746,820,760,820,3970
05/28/2017,820,804,780,780,640
05/30/2017,780,765,765,765,50
05/31/2017,765,841,750,841,1735
06/01/2017,841,887,800,887,350
06/04/2017,887,951,870,870,2110
06/05/2017,870,887,870,870,170
06/06/2017,870,865,865,865,100
06/07/2017,865,870,854,870,117
06/08/2017,870,860,860,860,40
06/11/2017,860,894,877,890,120
06/13/2017,890,873,815,820,210
06/14/2017,820,820,804,820,70
06/15/2017,820,821,810,820,260
06/21/2017,820,804,758,758,480
06/22/2017,758,773,773,773,10
06/27/2017,773,788,785,788,250
07/03/2017,788,773,759,759,110
07/04/2017,759,746,745,745,540
07/05/2017,745,731,731,731,580
07/06/2017,731,750,745,750,370
07/09/2017,750,765,765,765,20
07/13/2017,765,810,780,810,210
07/16/2017,810,842,798,810,240
07/17/2017,810,891,826,891,550
07/18/2017,891,980,908,980,1050
07/19/2017,980,1078,999,1023,2827
07/20/2017,1023,1025,995,1014,2053
07/23/2017,1014,1050,1014,1050,800
07/24/2017,1050,1155,1071,1155,1590
07/25/2017,1155,1270,1178,1270,100
07/26/2017,1270,1397,1295,1397,4820
07/27/2017,1397,1536,1424,1536,1090
07/30/2017,1536,1689,1566,1689,110
07/31/2017,1689,1857,1722,1857,160
08/01/2017,1857,2042,1894,2042,650
08/02/2017,2042,2246,2000,2070,11135
08/03/2017,2070,2111,1965,2015,2565
08/06/2017,2015,2080,1977,2050,1660
08/07/2017,2050,2091,2010,2035,9182
08/09/2017,2035,2001,1927,1927,940
08/10/2017,1927,1980,1900,1980,730
08/13/2017,1980,2050,1951,2050,435
08/15/2017,2050,2009,1855,1855,50
08/16/2017,1855,1818,1670,1670,195
08/17/2017,1670,1637,1512,1512,100
08/20/2017,1512,1482,1361,1362,4550
08/21/2017,1362,1335,1283,1283,140
08/22/2017,1283,1258,1233,1233,1190
08/23/2017,1233,1209,1185,1201,1100
08/24/2017,1201,1279,1200,1279,415
08/27/2017,1279,1406,1304,1406,80
08/28/2017,1406,1546,1434,1546,3545
08/30/2017,1546,1650,1460,1465,1085
08/31/2017,1465,1494,1440,1490,1580
09/04/2017,1490,1461,1440,1440,150
09/06/2017,1440,1412,1384,1411,60
09/07/2017,1411,1383,1316,1346,590
09/10/2017,1346,1320,1275,1275,50
09/11/2017,1275,1383,1251,1350,437
09/13/2017,1350,1323,1297,1297,110
09/14/2017,1297,1348,1322,1340,400
09/18/2017,1340,1350,1350,1350,30
10/08/2017,1350,1350,1350,1350,10
10/10/2017,1350,1323,1300,1300,100
10/11/2017,1300,1274,1249,1249,40
10/17/2017,1249,1273,1177,1177,300
10/25/2017,1177,1200,1180,1180,440
10/29/2017,1180,1200,1200,1200,20
10/30/2017,1200,1224,1200,1200,25
11/01/2017,1200,1200,1176,1176,20
11/02/2017,1176,1153,1130,1150,450
11/05/2017,1150,1127,1127,1127,20
11/08/2017,1127,1105,1078,1078,80
11/13/2017,1078,1099,1099,1099,60
11/14/2017,1099,1120,1120,1120,10
11/15/2017,1120,1232,1100,1232,1185
11/16/2017,1232,1355,1256,1355,4185
11/19/2017,1355,1479,1338,1387,1205
11/29/2017,1387,1360,1249,1249,150
11/30/2017,1249,1239,1125,1215,1450
12/04/2017,1215,1238,1238,1238,20
12/05/2017,1238,1287,1262,1287,60
12/11/2017,1287,1290,1290,1290,200
12/17/2017,1290,1265,1265,1265,10
12/19/2017,1265,1240,1192,1192,200
12/20/2017,1192,1169,1102,1102,420
12/21/2017,1102,1124,1124,1124,50
12/24/2017,1124,1168,1102,1168,290
12/26/2017,1168,1145,1123,1123,340
12/27/2017,1123,1110,1110,1110,100
12/28/2017,1110,1150,1100,1150,585
12/31/2017,1150,1196,1173,1180,140
01/01/2018,1180,1203,1160,1203,1345
01/02/2018,1203,1284,1200,1220,2440
01/03/2018,1220,1199,1196,1198,190
01/04/2018,1198,1227,1180,1205,245
01/07/2018,1205,1309,1205,1260,1560
01/08/2018,1260,1285,1224,1272,800
01/09/2018,1272,1297,1265,1266,960
01/10/2018,1266,1275,1250,1275,267
01/14/2018,1275,1300,1230,1235,830
01/16/2018,1235,1259,1259,1259,10
01/17/2018,1259,1234,1234,1234,10
01/21/2018,1234,1258,1258,1258,100
01/24/2018,1258,1233,1185,1185,40
01/25/2018,1185,1232,1208,1232,20
02/01/2018,1232,1255,1253,1255,60
02/04/2018,1255,1240,1192,1215,320
02/05/2018,1215,1210,1210,1210,200
02/08/2018,1210,1210,1210,1210,150
02/11/2018,1210,1186,1186,1186,10
02/12/2018,1186,1248,1205,1248,270
02/14/2018,1248,1248,1225,1225,110
02/15/2018,1225,1249,1210,1240,410
02/18/2018,1217,1217,1200,1200,740
02/20/2018,1210,1225,1210,1225,130
02/22/2018,1201,1201,1201,1201,10
02/26/2018,1178,1179,1178,1179,30
02/27/2018,1160,1160,1160,1160,40
02/28/2018,1137,1140,1137,1140,300
03/04/2018,1118,1118,1026,1026,1035
03/05/2018,1010,1010,926,926,800
03/06/2018,908,926,908,926,30
03/07/2018,944,1018,944,1018,385
