Date,Open,High,Low,Close,Volume
03/28/2011,272,267,267,267,10
04/05/2011,267,262,241,241,100
04/10/2011,241,237,217,217,90
04/11/2011,217,213,196,196,110
04/13/2011,196,193,178,178,90
04/17/2011,178,175,161,161,80
04/18/2011,161,158,147,147,100
04/21/2011,147,145,139,139,100
04/25/2011,139,137,135,135,40
05/09/2011,135,130,130,130,10
05/11/2011,130,124,117,117,100
05/12/2011,117,115,107,107,100
05/15/2011,107,102,97,98,2310
05/16/2011,98,98,95,98,1330
05/18/2011,98,97,92,93,740
05/19/2011,93,95,89,89,800
05/22/2011,89,91,87,87,1430
05/23/2011,87,91,88,91,200
05/24/2011,91,90,89,89,340
05/25/2011,89,89,81,81,850
05/26/2011,81,82,78,82,990
05/30/2011,82,85,82,85,240
05/31/2011,85,84,81,81,230
06/01/2011,81,80,77,77,150
06/02/2011,77,84,78,84,380
06/05/2011,84,80,77,77,610
06/06/2011,77,78,75,77,1230
06/07/2011,77,78,76,76,1090
06/08/2011,76,78,74,78,430
06/09/2011,78,77,70,70,480
06/12/2011,70,74,70,72,770
06/13/2011,72,71,68,71,320
06/14/2011,71,70,68,68,340
06/15/2011,68,71,65,71,720
06/16/2011,71,70,68,68,320
06/19/2011,68,68,67,68,70
06/20/2011,68,68,67,68,70
06/21/2011,70,77,71,77,400
06/23/2011,77,79,78,79,40
06/29/2011,79,79,77,78,870
07/03/2011,78,75,72,72,450
07/04/2011,72,71,71,71,170
07/05/2011,71,72,72,72,290
07/06/2011,72,71,68,68,370
07/07/2011,68,67,62,64,530
07/10/2011,64,70,64,70,670
07/11/2011,70,75,71,75,300
07/12/2011,75,78,76,78,260
07/13/2011,78,85,78,84,650
07/14/2011,84,88,83,88,710
07/17/2011,88,89,89,89,20
07/18/2011,89,90,90,90,30
07/19/2011,90,91,87,87,180
07/20/2011,87,88,88,88,40
07/21/2011,88,89,88,88,130
07/25/2011,88,87,87,87,110
07/27/2011,87,86,86,86,100
07/31/2011,86,85,82,82,40
08/01/2011,82,81,80,80,30
08/02/2011,80,79,78,79,160
08/04/2011,79,78,72,73,2450
08/07/2011,73,72,66,70,700
08/08/2011,70,74,71,71,560
08/09/2011,71,72,69,72,130
08/10/2011,72,75,72,75,550
08/11/2011,75,76,68,68,460
08/16/2011,68,72,66,66,1060
08/17/2011,66,67,61,61,790
08/18/2011,61,65,61,65,610
08/22/2011,65,66,66,66,160
08/23/2011,66,69,65,69,140
08/24/2011,69,71,68,71,260
08/25/2011,71,71,68,70,620
08/28/2011,70,72,70,71,7300
08/29/2011,71,71,70,71,30
09/01/2011,71,70,65,65,300
09/04/2011,65,64,63,64,880
09/05/2011,64,65,63,64,260
09/06/2011,64,67,64,67,510
