Date,Open,High,Low,Close,Volume
08/21/2017,330,363,336,363,7960
08/22/2017,363,399,359,390,127878
08/23/2017,390,393,376,380,53243
08/24/2017,380,392,375,390,29980
08/27/2017,390,429,390,429,54874
08/28/2017,429,471,415,471,74479
08/30/2017,471,465,439,445,52891
08/31/2017,445,450,418,423,31495
09/04/2017,423,422,392,420,29749
09/06/2017,420,422,407,420,19355
09/07/2017,420,416,408,409,15290
09/10/2017,409,412,389,394,14700
09/11/2017,394,400,384,396,8099
09/12/2017,396,403,389,397,5898
09/13/2017,397,395,382,387,12248
09/14/2017,387,399,381,391,9340
09/17/2017,391,400,386,389,6660
09/18/2017,389,399,377,392,9581
09/20/2017,392,393,385,386,5430
09/24/2017,386,395,376,395,1960
09/25/2017,395,395,382,386,4750
09/26/2017,386,393,379,388,7880
10/03/2017,388,393,384,386,1230
10/04/2017,386,393,384,385,3080
10/08/2017,385,386,372,372,9597
10/09/2017,372,376,370,375,3430
10/10/2017,375,382,368,380,6975
10/11/2017,380,380,369,369,7330
10/12/2017,369,376,362,375,4390
10/15/2017,375,380,366,370,1058
10/16/2017,370,377,364,371,9849
10/17/2017,371,375,369,370,5769
10/18/2017,370,377,365,375,1430
10/22/2017,375,384,368,370,2500
10/23/2017,370,371,365,369,1885
10/24/2017,369,377,366,371,4140
10/25/2017,371,375,365,368,10720
10/29/2017,368,375,361,366,4050
10/30/2017,366,370,360,365,2470
10/31/2017,365,366,360,363,2930
11/01/2017,363,366,358,361,3300
11/02/2017,361,365,355,365,1630
11/05/2017,365,366,350,360,3500
11/06/2017,360,366,353,355,2690
11/07/2017,355,357,352,353,1560
11/08/2017,353,352,343,346,4549
11/09/2017,346,345,336,337,5280
11/12/2017,337,342,331,340,2260
11/13/2017,340,356,340,348,4710
11/14/2017,348,360,342,355,1830
11/15/2017,355,360,345,351,2920
11/16/2017,351,351,338,342,6260
11/19/2017,342,348,337,347,7211
11/20/2017,347,348,343,347,2130
11/21/2017,347,353,344,350,3550
11/22/2017,350,355,345,348,4160
11/23/2017,348,371,348,371,4600
11/26/2017,371,385,358,385,6509
11/27/2017,385,380,370,375,7067
11/28/2017,375,380,368,371,1370
11/29/2017,371,400,375,388,22939
11/30/2017,388,410,381,402,22390
12/04/2017,402,435,400,428,37403
