Date,Open,High,Low,Close,Volume
05/12/2011,116,116,116,116,54564
09/07/2011,116,116,116,116,25100
09/12/2011,116,116,116,116,35854
09/15/2011,116,116,116,116,15590
09/18/2011,116,116,116,116,28270
12/26/2011,116,116,116,116,7260
12/09/2012,116,116,116,116,100
06/02/2013,116,116,116,116,800
06/27/2013,116,114,105,105,159732
07/03/2013,105,109,107,109,5940
08/06/2013,109,111,111,111,2495
01/27/2014,111,109,107,107,40081
03/09/2014,107,109,109,109,5590
03/24/2014,109,111,111,111,28607
06/10/2014,111,119,113,119,3132
06/11/2014,119,129,121,129,16828
06/12/2014,129,130,130,130,23385
06/16/2014,130,128,125,125,40000
08/31/2014,125,129,127,129,10000
09/23/2014,129,127,127,127,60000
10/28/2014,127,127,127,127,9474
11/02/2014,127,129,129,129,120837
03/26/2015,135,135,135,135,70271
06/21/2015,135,135,135,135,9838
07/01/2015,135,136,136,136,11612
12/16/2015,105,105,105,105,13965
05/18/2016,145,145,145,145,58000
09/05/2016,205,205,205,205,15113
09/26/2016,205,205,205,205,10500
04/29/2018,111,111,111,111,18000
05/03/2018,111,111,111,111,74646
