Date,Open,High,Low,Close,Volume
03/20/2011,180.0,183.0,183.0,183.0,20
05/02/2011,183.0,175.0,175.0,175.0,1020
08/02/2011,175.0,172.0,169.0,169.0,910
09/15/2011,169.0,166.0,166.0,166.0,140
01/22/2012,166.0,163.0,163.0,163.0,35
02/12/2012,163.0,160.0,160.0,160.0,35
02/27/2012,160.0,157.0,154.0,154.0,160
03/28/2012,154.0,151.0,148.0,148.0,70
07/12/2012,148.0,141.0,141.0,141.0,90
07/30/2012,141.0,139.0,127.0,127.0,80
07/31/2012,127.0,125.0,115.0,115.0,60
06/06/2013,115.0,113.0,104.0,104.0,70
06/09/2013,104.0,102.0,94.0,94.0,170
06/10/2013,94.0,93.0,85.0,85.0,90
06/11/2013,85.0,84.0,77.0,77.0,200
06/12/2013,77.0,76.0,70.0,70.0,500
06/13/2013,70.0,69.0,63.0,63.0,340
06/16/2013,63.0,62.0,57.0,57.0,810
06/17/2013,57.0,56.0,52.0,52.0,320
06/18/2013,52.0,51.0,47.0,47.0,450
06/19/2013,47.0,46.0,42.0,43.0,1350
06/20/2013,43.0,42.0,42.0,42.0,2050
07/02/2013,42.0,46.0,43.0,46.0,100
07/03/2013,46.0,51.0,47.0,51.0,1420
07/04/2013,51.0,55.0,51.0,55.0,270
07/07/2013,55.0,59.0,56.0,59.0,380
07/08/2013,59.0,60.0,58.0,58.0,485
07/09/2013,58.0,60.0,58.0,60.0,2560
07/10/2013,60.0,64.0,61.0,64.0,720
07/11/2013,64.0,67.0,65.0,66.0,2340
07/14/2013,66.0,67.0,67.0,67.0,60
07/15/2013,67.0,66.0,66.0,66.0,210
07/17/2013,66.0,65.0,64.0,64.0,170
07/18/2013,64.0,64.0,64.0,64.0,20
07/21/2013,64.0,63.0,63.0,63.0,350
07/28/2013,63.0,63.0,63.0,63.0,280
07/29/2013,63.0,62.0,61.0,62.0,150
07/30/2013,62.0,61.0,61.0,61.0,50
08/01/2013,61.0,60.0,59.0,59.0,190
08/15/2013,59.0,58.0,58.0,58.0,80
08/20/2013,58.0,59.0,57.0,59.0,320
08/25/2013,59.0,58.0,57.0,57.0,190
12/05/2013,57.0,58.0,58.0,58.0,240
12/09/2013,58.0,63.0,59.0,63.0,1930
12/10/2013,63.0,65.0,64.0,65.0,540
12/11/2013,65.0,71.0,66.0,71.0,530
12/12/2013,71.0,73.0,72.0,73.0,360
12/15/2013,73.0,77.0,74.0,77.0,730
12/16/2013,77.0,78.0,78.0,78.0,160
12/18/2013,78.0,80.0,79.0,80.0,240
12/19/2013,80.0,81.0,80.0,81.0,360
12/24/2013,81.0,80.0,80.0,80.0,100
07/10/2016,81.6,83.23,83.23,83.23,10
07/13/2016,83.23,87.72,84.0,87.72,40
07/25/2016,87.72,91.0,89.47,91.0,30
08/14/2016,91.0,92.0,92.0,92.0,10
08/17/2016,92.0,99.0,93.84,99.0,40
08/22/2016,99.0,100.0,100.0,100.0,10
09/08/2016,100.0,104.0,102.0,104.0,80
09/25/2016,104.0,110.0,106.0,110.0,30
09/27/2016,110.0,120.0,112.0,120.0,50
09/28/2016,120.0,126.0,126.0,126.0,10
09/29/2016,126.0,134.0,128.0,134.0,40
10/02/2016,134.0,140.0,140.0,140.0,10
10/03/2016,140.0,147.0,147.0,147.0,10
10/04/2016,147.0,154.0,154.0,154.0,10
11/09/2016,154.0,161.0,161.0,161.0,240
11/13/2016,161.0,170.0,164.0,170.0,30
11/15/2016,170.0,176.0,173.0,176.0,20
11/22/2016,176.0,182.0,179.0,182.0,20
11/23/2016,182.0,188.0,185.0,188.0,20
11/24/2016,188.0,206.0,191.0,206.0,60
11/27/2016,206.0,214.0,210.0,214.0,19010
12/05/2016,214.0,230.0,218.0,230.0,40
12/07/2016,230.0,250.0,234.0,250.0,50
12/08/2016,250.0,270.0,255.0,270.0,40
12/11/2016,270.0,290.0,275.0,290.0,40
12/12/2016,290.0,318.0,295.0,318.0,50
12/18/2016,318.0,348.0,324.0,348.0,50
12/19/2016,348.0,382.0,354.0,382.0,96
12/20/2016,382.0,403.0,389.0,403.0,30
12/21/2016,403.0,443.0,411.0,443.0,364
12/22/2016,443.0,478.0,451.0,478.0,40
12/26/2016,478.0,515.0,487.0,515.0,40
12/27/2016,515.0,566.0,525.0,566.0,76
12/28/2016,566.0,612.0,577.0,612.0,90
12/29/2016,612.0,624.0,624.0,624.0,37500
01/01/2017,624.0,648.0,636.0,648.0,180
01/02/2017,648.0,699.0,660.0,699.0,16160
01/03/2017,699.0,726.0,712.0,726.0,60
01/04/2017,726.0,769.0,740.0,769.0,30
01/05/2017,769.0,845.0,784.0,845.0,5922
01/08/2017,845.0,929.0,861.0,929.0,50
01/09/2017,929.0,1021.0,947.0,1021.0,4583
01/10/2017,1021.0,1123.0,1041.0,1123.0,42438
01/11/2017,1123.0,1125.0,1034.0,1053.0,9802
01/12/2017,1053.0,1050.0,1000.0,1007.0,7578
01/15/2017,1007.0,1005.0,960.0,1005.0,4293
01/16/2017,1005.0,990.0,971.0,980.0,850
01/17/2017,980.0,984.0,950.0,984.0,4721
01/18/2017,984.0,995.0,980.0,992.0,981
01/19/2017,992.0,1038.0,1000.0,1038.0,3296
01/22/2017,1038.0,1049.0,1018.0,1018.0,448
01/23/2017,1018.0,1025.0,1004.0,1004.0,660
01/24/2017,1004.0,1020.0,990.0,990.0,1012
01/25/2017,990.0,1006.0,960.0,975.0,2640
01/26/2017,975.0,970.0,950.0,969.0,654
01/30/2017,969.0,970.0,873.0,873.0,1962
01/31/2017,873.0,890.0,852.0,855.0,2150
02/01/2017,855.0,910.0,872.0,895.0,1315
02/02/2017,895.0,895.0,890.0,890.0,2200
02/05/2017,890.0,905.0,900.0,900.0,636
02/06/2017,900.0,890.0,882.0,890.0,220
02/07/2017,890.0,890.0,874.0,885.0,1498
02/08/2017,885.0,890.0,858.0,858.0,390
02/09/2017,858.0,850.0,835.0,835.0,350
02/12/2017,835.0,820.0,752.0,752.0,2983
02/13/2017,752.0,740.0,709.0,710.0,742
02/14/2017,710.0,748.0,720.0,748.0,140
02/15/2017,748.0,820.0,762.0,820.0,295
02/16/2017,820.0,902.0,836.0,902.0,2308
02/19/2017,902.0,992.0,900.0,992.0,2892
