Date,Open,High,Low,Close,Volume
03/20/2011,166,166,166,166,860
03/24/2011,166,165,165,165,480
03/27/2011,165,162,160,160,904
03/31/2011,160,160,160,160,420
04/04/2011,160,160,160,160,30
04/05/2011,160,160,160,160,1820
04/17/2011,160,160,160,160,2500
04/18/2011,160,160,160,160,300
04/28/2011,160,137,137,137,225
05/02/2011,137,137,137,137,160
05/09/2011,137,137,137,137,4608
05/19/2011,137,139,139,139,420
05/22/2011,139,139,139,139,2400
05/25/2011,139,140,140,140,440
05/31/2011,140,140,138,140,2420
06/05/2011,140,142,140,140,2182
06/08/2011,140,140,140,140,1206
06/27/2011,138,136,136,136,212
06/29/2011,136,136,136,136,10
07/03/2011,136,142,138,142,440
07/31/2011,142,140,140,140,2808
08/01/2011,140,138,132,132,816
09/04/2011,132,132,132,132,1242
09/14/2011,132,132,132,132,1323
09/25/2011,132,134,132,134,2700
09/27/2011,134,135,135,135,999
10/12/2011,135,135,135,135,2106
10/16/2011,135,136,135,136,2646
10/17/2011,136,138,138,138,621
10/30/2011,138,140,140,140,729
11/09/2011,140,140,140,140,663
11/10/2011,140,139,139,139,246
11/13/2011,139,139,139,139,1890
11/14/2011,139,141,141,141,50
11/16/2011,141,145,143,145,100
11/17/2011,145,146,139,139,3193
11/21/2011,139,137,126,126,867
11/24/2011,126,126,122,122,2694
12/04/2011,122,123,121,121,1404
12/05/2011,121,121,115,121,2133
12/07/2011,121,121,109,111,1340
12/08/2011,111,113,109,110,3027
12/11/2011,110,110,110,110,567
12/13/2011,110,111,108,108,3034
12/14/2011,108,108,106,106,784
12/15/2011,106,108,104,104,4131
12/18/2011,104,106,104,104,945
12/19/2011,104,106,106,106,972
12/22/2011,106,108,106,108,1053
12/26/2011,108,106,106,106,1053
12/27/2011,106,106,106,106,1539
12/28/2011,106,108,108,108,4833
01/01/2012,108,100,100,100,540
01/04/2012,100,102,102,102,25
01/05/2012,102,104,104,104,20
01/08/2012,104,106,104,106,570
01/09/2012,106,108,108,108,1107
01/10/2012,104,113,109,109,1154
01/17/2012,109,107,107,107,945
01/19/2012,107,108,108,108,486
01/22/2012,108,110,110,110,837
01/23/2012,110,109,107,107,1529
01/25/2012,107,107,107,107,945
01/26/2012,107,107,107,107,1620
01/29/2012,107,108,106,108,1378
02/01/2012,108,108,106,108,3294
02/02/2012,108,110,110,110,1485
02/05/2012,110,110,108,110,2312
02/06/2012,110,115,108,115,3155
02/07/2012,115,119,117,119,959
02/08/2012,119,121,121,121,243
02/09/2012,121,125,123,125,813
02/12/2012,125,127,124,124,2472
02/13/2012,124,122,120,120,37
02/15/2012,120,124,122,124,189
