Date,Open,High,Low,Close,Volume
03/24/2011,142,144,134,134,264
03/25/2011,134,132,121,123,2722
03/29/2011,123,121,121,121,78
03/30/2011,121,123,123,123,10
03/31/2011,123,121,117,120,1632
04/04/2011,120,120,114,116,844
04/05/2011,116,118,116,116,64
04/06/2011,116,116,114,116,154
04/07/2011,116,122,118,122,106
04/10/2011,122,120,120,120,96
04/11/2011,120,122,122,122,10
04/13/2011,122,126,120,126,244
04/17/2011,126,130,128,130,40
04/18/2011,130,134,132,134,20
04/20/2011,134,131,127,131,338
04/21/2011,131,133,133,133,10
04/27/2011,133,135,135,135,20
04/28/2011,135,137,137,137,20
05/02/2011,137,139,139,139,10
05/03/2011,139,137,126,126,1070
05/04/2011,126,132,128,130,130
05/08/2011,130,132,132,132,10
05/09/2011,132,136,134,136,30
05/10/2011,136,140,138,140,30
05/11/2011,140,138,138,138,20
05/16/2011,138,136,126,126,900
05/18/2011,126,128,114,114,1794
05/19/2011,114,118,103,103,5688
05/22/2011,103,105,101,105,3814
05/23/2011,105,109,101,108,5037
05/24/2011,108,106,98,106,5983
05/25/2011,106,105,100,105,3874
05/26/2011,105,106,104,104,2676
05/30/2011,104,107,100,107,750
05/31/2011,107,109,103,109,7080
06/01/2011,109,107,105,107,726
06/02/2011,107,109,98,100,7803
06/05/2011,100,102,101,101,831
06/06/2011,101,100,98,100,700
06/07/2011,100,99,98,99,632
06/08/2011,99,98,96,97,3971
06/09/2011,97,97,95,97,300
06/12/2011,97,96,96,96,140
06/13/2011,96,97,97,97,20
06/14/2011,97,98,98,98,20
06/15/2011,98,100,98,100,180
06/16/2011,100,99,97,99,880
06/19/2011,99,103,98,103,812
06/20/2011,99,103,98,103,812
06/21/2011,104,106,100,102,2209
06/23/2011,102,112,104,112,3738
06/26/2011,112,112,110,110,1250
07/06/2011,110,108,99,105,1564
07/07/2011,105,103,95,96,1160
07/10/2011,96,99,95,97,356
07/11/2011,97,96,93,95,772
07/12/2011,95,98,95,98,878
07/13/2011,98,104,98,98,1828
07/14/2011,98,107,99,107,328
07/17/2011,107,114,109,114,2288
07/18/2011,114,116,115,115,220
07/19/2011,115,113,113,113,13
07/20/2011,113,117,111,117,1356
07/21/2011,117,119,111,115,760
08/17/2011,115,113,107,107,186
08/18/2011,107,105,103,103,94
08/22/2011,103,101,97,97,998
08/23/2011,97,98,92,98,1412
08/24/2011,98,106,97,106,190
08/25/2011,106,110,102,108,7815
01/10/2013,108,106,98,98,1027
01/13/2013,98,97,95,95,223
01/15/2013,95,94,90,90,1266
01/16/2013,90,89,81,81,491
01/17/2013,81,80,74,74,1752
01/20/2013,74,73,67,68,1566
01/21/2013,68,74,68,74,5641
01/22/2013,74,81,75,81,14049
01/23/2013,81,86,79,79,3258
01/24/2013,79,80,78,79,3418
01/27/2013,79,81,76,77,15889
01/28/2013,77,77,76,76,289
01/30/2013,76,76,74,75,1315
