Date,Open,High,Low,Close,Volume
08/01/2016,260,255,255,255,11330
08/03/2016,255,260,260,260,5071
08/04/2016,260,255,255,255,10150
08/08/2016,255,250,250,250,16738
08/10/2016,250,250,250,250,15150
08/11/2016,250,245,245,245,38110
08/14/2016,245,241,240,240,70040
08/15/2016,240,240,240,240,9270
08/16/2016,240,240,240,240,62689
08/17/2016,240,244,244,244,36308
08/21/2016,244,245,245,245,13905
08/22/2016,245,245,245,245,37638
08/23/2016,245,245,245,245,16450
08/24/2016,245,245,245,245,87606
08/28/2016,245,245,245,245,25730
09/05/2016,245,245,245,245,68380
09/08/2016,245,245,245,245,84087
09/11/2016,245,250,245,250,59740
09/12/2016,250,250,250,250,1030
09/14/2016,250,245,245,245,2470
10/18/2016,245,245,245,245,26235
10/20/2016,245,245,245,245,10300
10/26/2016,245,245,245,245,8151
10/24/2017,150,150,150,150,60526
10/25/2017,150,150,150,150,44214
11/06/2017,150,150,150,150,43215
11/07/2017,150,150,150,150,10206
11/09/2017,150,150,150,150,8000
11/14/2017,150,150,150,150,5472
11/16/2017,150,150,150,150,9725
11/19/2017,150,150,150,150,40207
11/21/2017,150,150,150,150,10464
11/29/2017,150,150,150,150,20584
12/05/2017,150,150,150,150,42360
12/06/2017,150,150,150,150,60009
12/11/2017,150,150,150,150,45890
12/12/2017,150,150,150,150,31770
12/13/2017,150,150,150,150,43418
12/14/2017,150,150,150,150,3530
12/19/2017,150,150,150,150,12156
12/24/2017,150,150,150,150,27845
02/28/2018,147,147,147,147,7751
03/26/2018,145,145,145,145,24825
