Date,Open,High,Low,Close,Volume
10/08/2013,117,117,117,117,100
12/11/2013,117,115,115,115,50
12/12/2013,115,113,113,113,250
01/16/2014,113,111,111,111,1470
01/20/2014,111,109,107,107,1930
01/26/2014,107,109,109,109,3530
02/02/2014,109,110,108,108,1150
02/09/2014,106,104,104,104,100
02/11/2014,104,108,106,108,200
02/17/2014,108,108,108,108,800
02/23/2014,108,110,110,110,200
02/26/2014,110,112,112,112,50
03/13/2014,112,112,112,112,150
03/17/2014,112,117,117,117,260
03/19/2014,117,128,119,128,1260
03/20/2014,128,130,126,130,970
03/23/2014,130,134,130,130,1490
03/24/2014,130,130,130,130,1210
03/25/2014,130,130,128,130,6500
03/31/2014,130,128,128,128,500
04/01/2014,128,126,126,126,1000
04/02/2014,126,125,122,122,9110
04/06/2014,122,120,118,118,410
04/07/2014,118,116,115,115,3000
04/09/2014,115,117,117,117,210
04/10/2014,117,119,119,119,1000
04/13/2014,119,121,121,121,180
04/15/2014,121,125,123,125,790
04/16/2014,125,129,127,129,4180
04/21/2014,129,128,128,128,300
04/22/2014,128,122,120,122,4500
04/23/2014,122,124,124,124,70
04/27/2014,124,128,126,128,410
04/28/2014,128,132,128,132,2600
04/29/2014,132,132,128,132,7200
04/30/2014,132,144,130,144,9500
05/04/2014,144,150,144,150,23600
05/05/2014,150,155,153,154,2780
05/06/2014,154,160,157,157,1700
05/07/2014,157,154,154,154,1000
06/01/2014,154,151,148,148,1050
06/03/2014,148,141,134,135,7180
06/04/2014,135,130,129,130,8400
06/05/2014,130,132,130,130,16650
06/08/2014,130,140,132,140,320
06/09/2014,140,147,143,143,13490
06/10/2014,143,156,145,156,18090
06/11/2014,156,167,159,167,16500
06/12/2014,167,165,164,164,1810
06/15/2014,164,164,161,163,8960
06/26/2014,163,160,157,160,1110
07/06/2014,160,157,155,157,2430
07/08/2014,157,159,155,159,4310
07/10/2014,159,165,162,165,200
07/13/2014,165,165,162,165,2500
07/14/2014,165,177,168,177,1800
07/15/2014,177,178,175,178,160
07/17/2014,178,178,175,175,4580
07/20/2014,175,187,178,185,6570
07/21/2014,185,188,188,188,510
07/22/2014,188,192,191,192,700
07/23/2014,192,189,186,186,2500
07/24/2014,186,198,186,198,6000
07/27/2014,198,204,200,202,5710
07/30/2014,202,214,206,214,1580
07/31/2014,214,234,218,234,1950
08/03/2014,234,238,222,222,2260
08/04/2014,222,222,218,218,10150
08/06/2014,218,220,215,220,3570
08/07/2014,220,216,212,212,350
08/12/2014,212,208,208,208,150
08/13/2014,208,206,204,205,6150
08/14/2014,205,213,209,213,2460
08/18/2014,213,213,209,209,950
08/19/2014,209,214,210,214,2500
08/20/2014,214,222,215,222,3680
08/21/2014,222,218,215,218,1200
08/24/2014,218,215,212,212,1600
08/27/2014,212,208,200,200,200
09/01/2014,200,196,193,196,7170
09/10/2014,196,196,196,196,70
09/14/2014,196,193,193,193,50
09/30/2014,193,190,190,190,250
10/09/2014,190,187,181,181,1690
10/12/2014,181,180,179,179,710
10/14/2014,179,178,175,175,1500
10/16/2014,175,172,172,172,300
11/02/2014,172,175,169,169,800
11/03/2014,169,166,166,166,1800
11/09/2014,166,164,161,161,9500
11/10/2014,161,161,160,160,4200
11/11/2014,160,158,158,158,2000
11/12/2014,158,155,155,155,1000
11/16/2014,155,152,152,152,1000
11/17/2014,152,149,147,147,1050
12/03/2014,147,148,146,148,550
12/14/2014,148,150,150,150,200
12/15/2014,150,150,150,150,5000
12/17/2014,136,138,138,138,110
12/22/2014,138,138,138,138,500
01/06/2015,138,137,136,137,420
01/12/2015,137,135,135,135,110
01/18/2015,135,139,137,139,1010
01/20/2015,139,145,145,145,10
01/29/2015,145,159,147,159,4800
02/01/2015,159,165,161,165,1410
02/02/2015,165,168,168,168,500
02/03/2015,168,174,171,174,600
02/04/2015,174,177,177,177,250
02/05/2015,177,183,174,180,1400
