Date,Open,High,Low,Close,Volume
12/22/2013,176,176,176,176,23000
01/26/2014,176,176,176,176,4000
02/25/2014,176,176,176,176,6050
03/06/2014,176,176,176,176,17619
03/10/2014,176,176,176,176,16370
03/26/2014,176,176,176,176,20100
06/25/2014,176,176,176,176,7019
09/07/2016,350,350,350,350,16400
09/11/2016,350,350,350,350,11700
10/06/2016,350,350,350,350,10000
11/20/2016,350,350,350,350,10000
12/26/2016,350,357,357,357,5266
12/27/2016,357,358,358,358,54942
12/28/2016,358,358,358,358,15770
08/07/2017,184,186,186,186,6582
09/06/2017,186,186,186,186,715
09/10/2017,186,186,186,186,10000
10/17/2017,186,189,189,189,51757
11/07/2017,189,186,186,186,40000
11/09/2017,186,186,186,186,7636
11/15/2017,186,186,186,186,8783
01/29/2018,186,186,186,186,36250
