Date,Open,High,Low,Close,Volume
09/12/2017,248,261,224,224,7343
09/13/2017,224,220,202,203,93673
09/14/2017,203,213,201,212,17514
09/17/2017,212,218,208,214,12984
09/18/2017,214,216,210,211,16659
09/20/2017,211,215,209,214,9440
09/24/2017,214,218,211,213,5400
09/25/2017,213,217,211,216,4141
09/26/2017,216,218,214,218,10633
10/03/2017,218,218,213,217,2751
10/04/2017,217,222,215,215,6871
10/08/2017,215,212,203,211,12008
10/09/2017,211,212,204,206,7255
10/10/2017,206,211,205,207,5882
10/11/2017,207,210,204,207,5223
10/12/2017,207,209,207,209,2728
10/15/2017,209,213,207,208,4111
10/16/2017,208,217,208,217,6763
10/17/2017,217,221,212,213,3147
10/18/2017,213,217,211,217,10641
10/22/2017,217,223,217,218,4750
10/23/2017,218,216,214,216,8048
10/24/2017,216,217,212,217,8416
10/25/2017,217,215,212,213,2494
10/29/2017,213,215,211,211,4124
10/30/2017,211,213,208,211,5957
10/31/2017,211,212,209,210,1228
11/01/2017,210,209,206,208,8997
11/02/2017,208,209,206,208,6568
11/05/2017,208,208,203,205,11845
11/06/2017,205,209,200,202,16064
11/07/2017,202,207,201,202,7720
11/08/2017,202,203,200,200,10537
11/09/2017,200,204,197,200,12107
11/12/2017,200,205,200,205,6391
11/13/2017,205,206,200,203,3313
11/14/2017,203,205,202,205,13191
11/15/2017,205,206,201,202,4215
11/16/2017,202,202,199,199,7950
11/19/2017,199,197,195,195,6493
11/20/2017,195,197,195,195,3732
11/21/2017,195,197,192,192,7785
11/22/2017,192,195,190,195,16639
11/23/2017,195,196,191,194,10125
11/26/2017,194,199,193,199,7093
11/27/2017,199,198,192,192,13620
11/28/2017,192,196,193,195,4445
11/29/2017,195,201,193,193,12044
11/30/2017,193,196,191,193,11202
12/04/2017,193,197,193,196,4879
12/05/2017,196,198,193,194,3183
12/06/2017,194,199,194,199,6643
12/10/2017,199,202,191,194,19133
12/11/2017,194,195,192,193,7804
12/12/2017,193,194,190,194,13955
12/13/2017,194,195,191,192,2131
12/14/2017,192,193,189,193,5148
12/17/2017,193,196,191,195,10321
12/18/2017,195,194,191,191,6507
12/19/2017,191,192,189,190,14384
12/20/2017,190,191,187,190,1704
12/21/2017,190,193,187,190,6024
12/24/2017,190,189,185,185,3509
12/26/2017,185,188,183,185,17861
12/27/2017,185,185,177,177,17070
12/28/2017,177,178,173,174,12381
12/31/2017,174,177,172,177,6510
01/01/2018,177,183,172,182,14498
01/02/2018,182,183,176,179,9568
01/03/2018,179,179,174,177,6772
01/04/2018,177,179,174,175,7766
01/07/2018,175,176,173,174,11665
01/08/2018,174,180,176,179,8284
01/09/2018,179,182,177,178,8927
01/10/2018,178,179,174,179,12521
01/14/2018,179,179,173,175,12179
01/16/2018,175,175,168,175,51856
01/17/2018,165,168,156,161,12215
01/21/2018,161,162,156,158,4398
01/22/2018,158,170,155,170,13749
01/23/2018,170,167,161,164,6111
01/24/2018,164,163,160,161,7786
01/25/2018,161,165,161,164,7200
01/28/2018,164,167,162,162,16245
01/29/2018,162,167,161,165,15792
01/31/2018,165,166,163,166,3574
02/01/2018,166,169,165,167,4312
02/04/2018,167,168,165,166,4970
02/05/2018,166,167,164,164,7246
02/06/2018,164,164,162,162,8133
02/07/2018,162,165,160,161,4684
02/08/2018,161,163,161,162,3816
02/11/2018,162,164,162,162,3559
02/12/2018,162,165,161,165,5787
02/14/2018,165,165,161,165,5939
02/15/2018,165,170,165,170,15960
02/18/2018,173,173,167,167,12374
02/20/2018,170,173,164,164,4917
02/21/2018,164,165,162,163,4196
02/22/2018,162,165,162,164,10102
02/25/2018,164,165,162,162,3524
02/26/2018,160,163,160,161,12149
02/27/2018,161,164,160,160,14687
02/28/2018,162,162,158,158,13147
03/04/2018,157,160,153,157,16652
03/05/2018,160,160,153,153,8549
03/06/2018,155,159,152,155,15596
03/07/2018,155,161,155,157,8461
03/11/2018,157,157,153,153,8722
03/12/2018,152,156,152,153,5064
03/13/2018,152,154,152,152,5771
03/14/2018,154,155,152,152,3266
03/15/2018,152,155,152,154,6164
03/18/2018,154,156,151,153,5494
03/19/2018,152,153,150,151,9491
03/20/2018,151,152,149,150,6850
03/21/2018,150,153,146,147,13773
03/22/2018,147,151,147,148,3368
03/26/2018,146,149,141,144,7627
03/27/2018,145,150,139,147,19831
03/28/2018,149,149,142,145,4110
03/29/2018,147,153,145,153,9664
04/01/2018,150,150,145,149,4827
04/02/2018,149,150,146,147,3043
04/03/2018,147,150,145,149,2982
04/04/2018,150,155,147,155,18059
04/05/2018,158,158,149,156,16538
04/08/2018,159,162,153,158,25851
04/09/2018,161,164,152,152,21365
04/10/2018,149,156,149,156,12966
04/11/2018,153,155,150,154,4098
04/12/2018,151,155,151,153,22179
04/15/2018,151,154,151,152,6634
04/16/2018,152,158,152,154,6743
04/17/2018,155,159,154,157,11656
04/18/2018,157,172,155,165,22922
04/19/2018,165,170,162,170,25208
04/22/2018,173,180,168,180,29361
04/23/2018,179,180,169,170,25972
04/24/2018,168,169,165,165,7601
04/25/2018,165,172,164,167,9428
04/26/2018,165,168,162,162,13429
04/29/2018,162,169,161,164,19353
05/02/2018,165,167,160,166,7013
05/03/2018,167,172,167,170,27699
05/06/2018,173,173,170,171,17493
