Date,Open,High,Low,Close,Volume
03/20/2011,257,252,239,239,40
03/24/2011,195,192,176,176,80
03/25/2011,176,168,159,159,50
03/27/2011,159,156,144,144,60
03/28/2011,144,137,130,130,50
03/30/2011,130,128,118,118,60
03/31/2011,118,116,107,109,110
04/04/2011,109,109,104,104,1630
04/05/2011,104,104,100,102,2280
04/06/2011,102,101,98,100,1420
04/07/2011,100,102,99,102,1670
04/10/2011,102,102,100,100,1020
04/11/2011,100,100,98,98,370
04/13/2011,98,99,99,99,80
04/17/2011,99,101,99,99,120
04/18/2011,99,99,98,98,490
04/19/2011,98,99,96,96,3740
04/20/2011,96,95,93,93,1310
04/21/2011,93,93,91,91,850
04/25/2011,91,100,91,95,880
04/27/2011,95,104,93,104,1030
04/28/2011,104,105,94,94,1810
05/02/2011,94,93,90,90,830
05/03/2011,90,91,89,91,940
05/04/2011,91,92,91,92,110
05/05/2011,92,92,89,92,510
05/08/2011,92,92,92,92,710
05/09/2011,92,92,92,92,470
05/10/2011,92,91,90,90,310
05/11/2011,90,96,91,95,820
05/12/2011,95,104,97,100,1340
05/15/2011,100,105,91,92,1940
05/16/2011,92,101,91,95,1690
05/18/2011,95,99,97,97,850
05/19/2011,97,100,97,97,430
05/22/2011,97,100,97,97,1040
05/23/2011,97,97,97,97,90
05/24/2011,97,96,93,95,670
05/25/2011,95,95,94,95,900
05/26/2011,95,97,96,97,750
05/30/2011,97,99,96,99,1300
05/31/2011,99,101,100,100,520
06/01/2011,100,104,100,100,410
06/02/2011,100,99,95,96,280
06/05/2011,96,98,96,96,1530
06/06/2011,96,96,91,93,910
06/07/2011,93,95,93,93,540
06/08/2011,93,93,92,93,210
06/15/2011,93,93,93,93,300
06/16/2011,93,89,89,89,190
06/19/2011,89,89,89,89,70
06/20/2011,89,89,89,89,70
06/23/2011,89,92,90,92,1310
06/26/2011,92,91,91,91,40
06/27/2011,91,98,95,95,910
06/29/2011,95,97,96,97,570
06/30/2011,97,98,96,97,1460
07/03/2011,97,96,93,93,580
07/04/2011,93,93,92,92,130
07/05/2011,92,93,92,92,250
07/06/2011,92,93,93,93,200
07/07/2011,93,93,91,91,350
07/10/2011,91,92,90,92,1100
07/11/2011,92,92,91,92,440
07/12/2011,92,93,93,93,400
07/13/2011,93,96,92,92,370
07/14/2011,92,95,95,95,200
07/18/2011,95,99,96,96,470
07/20/2011,96,95,95,95,40
07/24/2011,95,96,96,96,70
07/26/2011,96,97,97,97,480
07/27/2011,97,98,98,98,100
07/31/2011,98,97,96,96,130
08/01/2011,96,96,96,96,50
08/02/2011,96,95,95,95,50
08/03/2011,95,95,92,92,190
08/04/2011,92,92,86,86,460
08/07/2011,86,88,87,87,330
08/08/2011,87,88,85,86,730
08/09/2011,86,88,87,88,210
08/10/2011,88,87,86,86,840
08/11/2011,86,87,86,86,330
08/16/2011,86,86,85,85,70
08/17/2011,85,85,85,85,230
08/18/2011,85,84,83,83,290
08/22/2011,83,84,84,84,320
08/23/2011,84,85,85,85,90
08/24/2011,85,85,83,83,250
08/25/2011,83,82,79,79,420
