Date,Open,High,Low,Close,Volume
06/13/2012,138,136,136,136,3014
05/27/2013,136,138,138,138,1825
06/04/2014,138,136,130,130,26516
06/05/2014,130,128,128,128,10511
06/10/2014,128,126,116,116,44007
06/15/2014,116,115,115,115,19533
06/18/2014,115,115,115,115,13725
07/30/2014,115,115,115,115,34995
08/05/2014,115,115,115,115,61103
08/14/2014,115,115,115,115,13037
08/25/2014,115,115,115,115,17386
09/07/2014,115,115,115,115,20884
09/11/2014,115,115,115,115,1800
11/03/2014,115,115,115,115,12000
11/10/2014,115,115,115,115,5997
11/19/2014,115,115,115,115,7343
04/06/2015,115,115,115,115,10197
