Date,Open,High,Low,Close,Volume
12/09/2015,339,372,345,372,90
12/14/2015,372,386,379,386,20
12/21/2015,386,424,393,424,50
01/10/2016,424,466,432,466,440
01/11/2016,466,512,475,512,60
01/12/2016,512,563,522,563,170
01/12/2016,512,563,522,563,170
01/13/2016,563,619,574,619,60
01/14/2016,619,680,631,680,90
04/12/2016,680,714,714,714,10
05/03/2016,714,728,728,728,10
05/11/2016,728,764,764,764,10
05/16/2016,764,779,779,779,10
05/25/2016,779,817,817,817,10
05/26/2016,817,857,857,857,10
05/31/2016,857,908,874,908,30
06/02/2016,908,944,926,944,20
06/05/2016,944,1000,962,1000,30
06/08/2016,1000,1005,1005,1005,10
06/13/2016,1005,1045,1025,1045,20
06/16/2016,1045,1107,1065,1107,30
06/28/2016,1107,1130,1129,1130,800
06/30/2016,1130,1175,1152,1175,20
07/03/2016,1175,1221,1198,1221,20
07/04/2016,1221,1269,1245,1269,50
07/13/2016,1269,1371,1294,1371,330
07/14/2016,1371,1482,1398,1482,50
07/17/2016,1482,1630,1511,1630,240
07/18/2016,1630,1793,1662,1793,870
07/19/2016,1793,1972,1828,1972,120
07/20/2016,1972,2169,2070,2169,300
07/21/2016,2169,2385,2212,2385,640
07/25/2016,2385,2485,2150,2200,910
07/26/2016,2200,2345,2200,2300,1670
07/27/2016,2300,2448,2300,2400,570
07/28/2016,2400,2640,2352,2640,1060
07/31/2016,2640,2876,2588,2876,740
08/01/2016,2876,2991,2933,2933,150
08/02/2016,2933,2984,2755,2825,980
08/03/2016,2825,2800,2600,2620,500
08/04/2016,2620,2670,2591,2650,560
08/07/2016,2650,2915,2703,2915,630
08/08/2016,2915,2930,2790,2845,150
08/09/2016,2845,2901,2901,2901,10
08/10/2016,2901,3029,2850,3029,580
08/11/2016,3029,3148,2990,3075,910
08/14/2016,3075,3050,2925,2980,490
08/15/2016,2980,2921,2800,2870,210
08/16/2016,2870,3110,2813,3110,460
08/17/2016,3110,3213,3050,3213,441
08/21/2016,3213,3250,3029,3063,280
08/22/2016,3063,3079,2930,2930,60
08/23/2016,2930,2980,2875,2900,620
08/24/2016,2900,2958,2844,2926,70
08/28/2016,2926,2950,2868,2950,150
08/29/2016,2950,3009,2891,2900,260
08/30/2016,2900,3077,2958,3020,610
08/31/2016,3020,3250,3070,3185,690
09/01/2016,3185,3185,3150,3150,100
09/03/2016,3150,3200,3092,3150,350
09/04/2016,3150,3200,3092,3150,350
09/05/2016,3150,3250,3087,3233,450
09/06/2016,3233,3250,3060,3107,551
09/07/2016,3107,3308,3093,3242,330
09/08/2016,3242,3325,3210,3230,390
09/11/2016,3230,3250,3170,3233,90
09/12/2016,3233,3350,3250,3350,180
09/14/2016,3350,3685,3332,3685,740
09/18/2016,3685,4053,3461,4053,731
09/20/2016,4053,4458,4134,4458,1730
09/21/2016,4458,4729,4300,4474,1270
09/22/2016,4474,4508,4275,4280,845
09/25/2016,4280,4195,3901,4005,1150
09/26/2016,4005,4265,3920,4100,370
09/27/2016,4100,4166,4001,4166,270
09/28/2016,4166,4085,4000,4000,170
09/29/2016,4000,4070,4000,4025,530
10/02/2016,4025,4050,3860,3920,240
10/03/2016,3920,3874,3844,3845,260
10/04/2016,3845,3875,3845,3875,500
10/05/2016,3875,3875,3830,3875,300
10/06/2016,3875,3855,3855,3855,40
10/16/2016,3855,3920,3920,3920,10
10/17/2016,3920,3842,3691,3691,60
10/20/2016,3691,3839,3691,3839,40
10/23/2016,3839,3994,3840,3994,100
10/24/2016,3994,3925,3916,3916,160
10/25/2016,3916,3838,3838,3838,10
10/26/2016,3838,3900,3700,3700,380
