Date,Open,High,Low,Close,Volume
11/17/2011,450,128,128,128,783405
11/22/2011,128,128,128,128,52920
09/22/2013,128,128,128,128,70992
09/29/2013,128,128,128,128,74000
10/01/2013,128,128,128,128,13891
10/02/2013,128,128,128,128,6945
06/16/2015,260,255,255,255,137557
07/15/2015,255,250,250,250,138607
10/08/2015,250,245,245,245,324068
11/08/2015,245,245,245,245,60000
04/10/2016,326,320,320,320,18471
09/08/2016,460,451,451,451,62000
09/12/2016,451,445,445,445,61000
09/21/2016,445,440,440,440,7000
02/22/2017,440,440,440,440,750
06/13/2017,270,265,265,265,250
02/28/2018,145,145,145,145,2280
