Date,Open,High,Low,Close,Volume
04/04/2011,454,444,444,444,110
04/10/2011,444,458,436,458,1001
04/11/2011,458,464,460,464,157
04/25/2011,464,455,455,455,10
04/27/2011,455,450,438,446,410
05/04/2011,446,438,415,421,58
05/16/2011,421,413,379,379,382
05/18/2011,379,372,342,342,220
05/19/2011,342,336,324,324,114
05/23/2011,324,324,306,324,1427
05/25/2011,324,336,318,324,1399
05/26/2011,324,342,301,342,1700
05/30/2011,342,360,347,360,118
05/31/2011,360,394,365,394,836
06/01/2011,394,430,392,430,1208
06/05/2011,430,422,406,406,87
06/08/2011,406,398,366,366,60
06/09/2011,366,359,330,330,99
06/13/2011,330,324,297,297,89
06/14/2011,297,292,268,268,273
06/15/2011,268,263,242,242,3021
06/16/2011,242,260,243,259,2116
06/19/2011,259,284,263,280,936
06/20/2011,259,284,263,280,936
06/21/2011,308,338,305,338,1610
06/23/2011,338,359,323,359,2686
06/26/2011,359,366,329,334,2036
06/29/2011,334,328,301,301,237
06/30/2011,301,295,271,271,1694
07/03/2011,271,266,245,245,753223
07/04/2011,245,263,245,263,55715
07/05/2011,263,289,265,285,18148
07/06/2011,285,306,286,306,5430
07/07/2011,306,310,276,310,4521
07/10/2011,310,309,282,300,8165
07/11/2011,300,310,294,310,10444
07/12/2011,310,316,298,302,640
07/13/2011,302,330,302,330,13820
07/14/2011,330,340,245,340,201180
07/17/2011,340,373,346,353,1674
07/18/2011,353,388,346,354,3305
07/19/2011,354,360,337,357,4168
07/20/2011,357,355,335,347,2305
07/21/2011,347,341,332,332,3683
07/24/2011,332,330,300,300,2685
07/25/2011,300,299,294,299,539
07/26/2011,299,300,291,296,1300
07/27/2011,296,310,299,307,3285
07/28/2011,307,311,295,310,7072
07/31/2011,310,304,294,297,3923
08/01/2011,297,296,289,293,1167
08/02/2011,293,295,289,291,1102
08/03/2011,291,286,280,283,1447
08/04/2011,283,289,281,289,3034
08/07/2011,289,284,268,280,25410
08/08/2011,280,285,280,280,1300
08/09/2011,280,284,279,282,424
08/10/2011,282,295,274,295,1076
08/11/2011,295,290,280,284,1019
08/15/2011,284,281,277,280,3770
08/16/2011,280,290,270,290,5683
08/17/2011,290,295,290,295,208
08/18/2011,295,295,280,280,2464
08/22/2011,280,290,285,290,80
08/23/2011,290,294,294,294,34
08/24/2011,294,299,295,295,162
08/25/2011,295,300,280,280,748
08/28/2011,280,281,271,271,1623
08/29/2011,271,291,276,291,180
08/30/2011,291,301,296,301,54
09/01/2011,301,295,275,275,11056
09/04/2011,275,290,275,290,2606
09/05/2011,290,285,270,270,2846
09/07/2011,270,265,260,265,591
09/08/2011,265,270,260,265,1071
09/12/2011,265,260,260,260,50
09/13/2011,260,275,265,270,183
09/14/2011,270,269,260,269,4588
09/15/2011,269,274,252,268,28551
09/18/2011,268,273,273,273,50
09/20/2011,273,268,250,268,4528
09/21/2011,268,263,255,255,7974
09/22/2011,255,266,255,266,3724
09/25/2011,266,264,245,262,166384
09/26/2011,262,265,250,265,13850
09/27/2011,265,270,265,270,145
09/29/2011,270,265,260,260,2026
10/12/2011,260,260,260,260,3965
10/13/2011,260,274,260,274,1024
10/17/2011,274,269,259,264,363
10/18/2011,264,260,260,260,176
10/19/2011,260,269,260,269,1833
10/20/2011,269,266,259,259,626
10/23/2011,259,260,258,260,315
10/25/2011,260,265,260,260,120
10/31/2011,260,265,265,265,275
11/02/2011,265,291,270,289,4501
11/03/2011,289,294,274,274,270
11/06/2011,274,270,265,269,628
11/08/2011,269,265,265,265,705
11/09/2011,265,265,259,259,518
11/10/2011,259,264,260,264,360
11/13/2011,264,265,264,265,337
11/14/2011,265,262,262,262,23
11/16/2011,262,259,255,255,1484
11/17/2011,255,270,258,270,1040
11/20/2011,270,266,264,264,773
11/21/2011,264,270,260,270,1295
11/22/2011,270,270,259,259,969
11/23/2011,259,264,260,261,423
11/24/2011,261,260,255,257,603
11/28/2011,257,265,260,260,383
12/01/2011,264,259,259,259,26
12/04/2011,259,261,261,261,100
12/05/2011,261,258,252,258,1353
12/06/2011,258,255,255,255,175
12/07/2011,255,253,253,253,106
12/08/2011,253,255,250,250,3372
12/11/2011,250,252,246,250,1418
12/12/2011,250,247,246,246,199
12/13/2011,246,250,249,249,130
12/14/2011,249,257,247,257,500
12/15/2011,257,260,246,250,5829
12/22/2011,250,240,240,240,42
12/27/2011,240,242,236,240,2986
12/28/2011,240,244,236,236,2427
12/29/2011,236,234,232,232,940
01/01/2012,232,236,236,236,863
01/02/2012,236,248,236,236,1583
01/03/2012,236,246,238,243,2036
01/04/2012,243,239,235,236,850
01/05/2012,236,234,230,234,1211
01/08/2012,234,235,235,235,212
01/09/2012,235,232,231,231,264
01/11/2012,231,234,230,234,1880
01/12/2012,234,240,231,240,1550
01/17/2012,240,240,236,236,230
01/18/2012,236,233,231,232,710
01/22/2012,232,234,230,230,884
01/23/2012,230,232,230,230,240
01/25/2012,230,232,230,232,615
01/26/2012,232,231,230,230,1798
01/31/2012,230,232,228,230,142548
