Date,Open,High,Low,Close,Volume
10/14/2014,100,307,307,307,41
10/27/2014,307,337,313,337,320
11/02/2014,337,353,353,353,20
11/03/2014,353,367,360,367,30
11/11/2014,367,395,374,395,40
11/17/2014,395,405,405,405,10
11/18/2014,405,445,413,445,163
11/19/2014,445,489,453,489,51
11/20/2014,489,527,498,527,120
11/23/2014,527,579,537,579,51
11/24/2014,579,636,590,636,152
11/25/2014,636,699,648,699,3404
11/30/2014,699,730,638,659,8526
12/01/2014,659,654,618,623,3619
12/02/2014,623,620,593,596,1721
12/03/2014,596,600,585,585,1176
12/04/2014,585,607,589,590,938
12/07/2014,590,600,585,600,639
12/08/2014,600,610,580,581,672
12/09/2014,581,585,566,580,718
12/10/2014,580,595,578,580,1625
12/11/2014,580,590,578,590,824
12/14/2014,590,624,598,615,1044
12/15/2014,615,620,600,620,913
12/16/2014,620,620,582,598,567
12/17/2014,598,620,595,600,1116
12/18/2014,600,600,581,600,154
12/21/2014,600,608,589,608,605
12/22/2014,608,611,588,590,478
12/23/2014,590,589,570,575,1667
12/24/2014,575,580,570,580,1124
12/28/2014,580,601,572,600,1836
12/28/2014,580,601,572,600,1836
12/29/2014,600,600,590,591,414
12/31/2014,591,639,600,639,3374
01/01/2015,639,685,628,669,2297
01/04/2015,669,700,656,698,2597
01/05/2015,698,728,680,717,3742
01/06/2015,717,726,706,720,3056
01/07/2015,720,769,692,769,4161
01/08/2015,769,845,760,845,3941
01/11/2015,845,920,776,851,3515
01/12/2015,851,850,790,818,4090
01/13/2015,818,840,801,840,1141
01/14/2015,840,855,820,823,1433
01/18/2015,823,810,790,806,1064
01/19/2015,806,838,795,795,996
01/20/2015,795,816,776,791,466
01/22/2015,791,790,775,775,987
01/25/2015,775,805,760,800,501
01/26/2015,800,816,795,801,1924
01/27/2015,801,803,791,800,656
01/28/2015,800,805,800,801,719
01/29/2015,801,805,799,799,375
02/01/2015,799,790,787,790,246
02/02/2015,790,800,790,800,1883
02/03/2015,800,823,802,817,989
02/04/2015,817,865,812,860,1802
02/05/2015,860,860,829,851,555
02/08/2015,851,835,819,825,562
02/09/2015,825,830,816,830,454
