Date,Open,High,Low,Close,Volume
06/24/2015,0.0,10.0,10.0,10.0,16080
06/24/2015,10.0,10.0,10.0,10.0,16080
07/07/2015,10.0,10.0,10.0,10.0,15000
07/08/2015,10.0,10.0,10.0,10.0,5000
07/09/2015,10.0,10.0,10.0,10.0,10000
07/12/2015,10.0,10.0,10.0,10.0,12500
07/13/2015,10.0,10.0,10.0,10.0,5000
07/15/2015,10.0,10.0,10.0,10.0,1000
07/23/2015,10.0,10.0,10.0,10.0,5000
07/29/2015,10.0,10.0,10.0,10.0,8900
07/30/2015,10.0,10.0,10.0,10.0,13716
08/02/2015,10.0,10.0,10.0,10.0,8000
08/05/2015,10.0,10.0,10.0,10.0,28216
08/09/2015,10.0,10.0,10.0,10.0,5000
08/12/2015,10.0,10.0,10.0,10.0,4900
08/13/2015,10.0,10.0,10.0,10.0,2000
08/31/2015,10.0,10.0,10.0,10.0,2500
09/01/2015,10.0,10.0,10.0,10.0,500
09/07/2015,10.0,10.0,10.0,10.0,18329
09/08/2015,10.0,10.0,10.0,10.0,2000
09/10/2015,10.0,10.0,10.0,10.0,5000
09/14/2015,10.0,10.0,10.0,10.0,1000
09/15/2015,10.0,10.0,10.0,10.0,2000
09/22/2015,10.0,10.0,10.0,10.0,5000
09/29/2015,10.0,10.0,10.0,10.0,27500
09/30/2015,10.0,10.0,10.0,10.0,500
10/01/2015,10.0,10.0,10.0,10.0,9500
10/05/2015,10.0,10.0,10.0,10.0,2500
10/15/2015,10.0,9.8,9.8,9.8,4000
11/01/2015,9.8,10.0,10.0,10.0,40000
11/02/2015,10.0,9.8,9.6,9.6,17480
11/10/2015,9.6,9.79,9.79,9.79,5000
11/22/2015,9.79,9.9,9.9,9.9,8500
11/25/2015,9.9,9.9,9.9,9.9,6000
12/09/2015,9.9,9.9,9.9,9.9,5000
12/10/2015,9.9,9.95,9.95,9.95,10000
12/13/2015,9.95,9.75,9.75,9.75,5000
12/14/2015,9.75,9.75,9.75,9.75,3216
12/15/2015,9.75,9.56,9.56,9.56,1000
12/16/2015,9.56,9.37,9.37,9.37,1100
12/20/2015,9.37,9.37,9.37,9.37,2020
12/21/2015,9.37,9.59,9.3,9.59,9200
12/24/2015,9.59,9.78,9.78,9.78,7700
12/27/2015,9.78,9.98,9.97,9.98,7020
12/28/2015,9.98,9.9,9.9,9.9,20000
12/29/2015,9.9,10.0,10.0,10.0,1500
01/03/2016,10.0,9.95,9.94,9.94,8200
01/04/2016,9.94,9.95,9.95,9.95,3300
01/05/2016,9.95,9.95,9.95,9.95,5600
01/10/2016,9.95,9.96,9.76,9.96,11000
01/13/2016,9.96,9.95,9.95,9.95,2750
01/14/2016,9.95,10.0,10.0,10.0,500
02/15/2016,10.0,10.2,10.2,10.2,500
02/16/2016,10.2,10.61,10.4,10.61,7000
02/17/2016,10.61,10.9,10.82,10.9,9800
02/18/2016,10.9,11.2,10.95,11.2,38500
02/21/2016,11.2,11.14,11.14,11.14,52500
