Date,Open,High,Low,Close,Volume
04/04/2011,168,165,165,165,10
04/06/2011,165,162,162,162,16
04/27/2011,162,159,153,153,176
05/10/2011,153,150,147,147,95
05/24/2011,147,146,144,144,67
06/27/2011,144,142,142,142,19
07/05/2011,142,140,140,140,22
07/11/2011,140,138,136,136,59
07/12/2011,136,134,134,134,16
07/13/2011,134,140,136,140,33
07/14/2011,140,146,142,146,50
07/17/2011,146,144,140,140,191
07/18/2011,140,142,142,142,20
07/19/2011,142,140,138,138,45
07/21/2011,138,142,140,142,20
07/24/2011,142,140,140,140,46
08/03/2011,140,138,136,136,35
09/12/2011,136,138,138,138,18
09/13/2011,138,136,136,136,77
10/09/2011,136,134,128,128,283
