Date,Open,High,Low,Close,Volume
03/25/2011,184,181,181,181,41
03/31/2011,181,183,180,180,241
04/11/2011,180,180,180,180,89
04/19/2011,180,177,177,177,17
04/20/2011,177,174,174,174,145
04/26/2011,174,171,171,171,45
04/27/2011,171,171,171,171,634
05/16/2011,171,170,170,170,100
05/19/2011,170,171,171,171,100
05/26/2011,171,169,169,169,40
06/16/2011,169,166,160,160,427
06/23/2011,155,161,158,161,137
06/27/2011,161,158,145,145,807
06/29/2011,145,143,143,143,108
06/30/2011,143,141,141,141,40
07/03/2011,141,143,141,141,202
07/06/2011,141,139,139,139,204
07/10/2011,139,137,137,137,60
07/11/2011,137,137,136,136,221
07/19/2011,136,138,138,138,65
07/25/2011,138,140,138,138,314
07/26/2011,138,144,140,144,119
07/27/2011,144,146,146,146,89
07/28/2011,146,150,148,150,1294
07/31/2011,150,153,151,151,566
08/01/2011,151,151,151,151,529
08/02/2011,151,157,154,157,257
08/03/2011,157,154,154,154,89
08/04/2011,154,151,151,151,100
08/08/2011,151,148,148,148,335
08/15/2011,148,148,148,148,32
08/16/2011,148,148,148,148,381
08/28/2011,148,146,146,146,32
09/04/2011,146,144,144,144,70
09/22/2011,144,142,140,140,416
09/26/2011,140,138,138,138,356
09/27/2011,138,136,136,136,289
10/02/2011,136,136,136,136,224
10/12/2011,136,134,132,132,108
10/13/2011,132,134,132,132,390
10/17/2011,132,131,131,131,30
10/19/2011,131,129,129,129,89
10/23/2011,129,127,125,125,268
10/24/2011,125,124,121,121,478
10/25/2011,121,125,123,125,136
10/30/2011,125,127,127,127,20
10/31/2011,127,131,127,131,243
11/03/2011,131,129,129,129,258
11/06/2011,129,131,131,131,41
11/08/2011,131,137,133,135,328
11/13/2011,135,137,134,135,235
11/14/2011,135,135,133,135,365
11/15/2011,135,135,133,135,600
11/17/2011,135,134,134,134,48
11/21/2011,134,134,134,134,25
11/24/2011,134,134,132,132,400
11/27/2011,132,134,134,134,50
12/04/2011,136,138,136,136,144
12/05/2011,136,136,135,135,224
12/06/2011,135,139,137,139,400
12/07/2011,139,143,141,143,40
12/11/2011,143,141,141,141,31
12/12/2011,141,139,139,139,274
12/15/2011,139,137,135,135,134
12/21/2011,135,133,131,131,106
12/27/2011,131,130,129,130,76
12/28/2011,130,130,128,128,500
12/29/2011,128,126,126,126,105
01/01/2012,126,126,125,125,140
01/04/2012,125,123,121,122,691
01/05/2012,122,127,121,127,316
01/08/2012,127,128,124,124,366
01/09/2012,124,126,126,126,100
01/10/2012,127,125,125,125,57
01/11/2012,125,123,119,119,1004
01/16/2012,119,123,121,123,117
01/17/2012,123,125,125,125,19
01/22/2012,125,129,127,129,20
01/23/2012,129,131,131,131,30
01/26/2012,131,131,131,131,64
01/29/2012,131,129,129,129,20
01/31/2012,129,131,129,129,388
02/02/2012,129,127,123,123,1103
02/06/2012,123,127,122,127,208
02/08/2012,127,125,123,123,90
02/09/2012,123,121,120,120,717
02/12/2012,120,121,121,121,445
02/15/2012,121,123,123,123,245
02/16/2012,123,124,122,124,273
02/21/2012,124,128,126,126,296
02/26/2012,126,124,124,124,105
02/27/2012,124,128,126,128,528
03/04/2012,128,130,130,130,50
03/06/2012,130,134,132,132,335
03/11/2012,132,130,128,130,208
03/13/2012,130,128,128,128,100
03/14/2012,128,130,126,128,548
03/18/2012,128,127,124,124,482
03/20/2012,124,124,122,122,117
03/21/2012,122,123,123,123,10
03/25/2012,123,125,125,125,90
03/26/2012,125,124,123,124,162
03/27/2012,124,123,122,122,276
03/28/2012,122,124,124,124,68
04/02/2012,124,124,117,117,390
04/03/2012,117,116,113,113,565
04/04/2012,113,123,115,123,50
04/09/2012,123,121,117,117,533
04/10/2012,117,117,115,115,615
04/11/2012,115,118,116,118,677
04/12/2012,118,120,120,120,34
04/15/2012,120,122,122,122,10
04/19/2012,122,130,124,130,336
04/22/2012,130,134,132,134,200
04/26/2012,134,138,136,138,260
04/29/2012,138,140,140,140,60
04/30/2012,140,142,140,142,110
05/10/2012,142,150,144,150,352
05/13/2012,150,153,142,142,986
05/15/2012,142,144,144,144,283
05/17/2012,144,142,142,142,41
05/21/2012,142,140,140,140,103
05/22/2012,140,138,136,136,205
05/24/2012,136,138,132,132,718
05/27/2012,132,132,130,130,296
06/07/2012,130,128,125,125,150
06/10/2012,125,123,123,123,44
06/11/2012,123,121,119,119,121
06/12/2012,119,118,118,118,121
06/13/2012,118,124,120,122,915
06/14/2012,122,125,123,125,198
06/17/2012,125,123,123,123,90
06/18/2012,123,123,121,123,593
06/19/2012,123,125,123,125,676
06/20/2012,125,123,123,123,446
07/01/2012,123,126,125,126,174
07/02/2012,126,126,124,126,479
07/03/2012,126,128,128,128,41
07/04/2012,128,127,127,127,130
07/08/2012,127,126,126,126,80
07/10/2012,126,132,128,132,182
07/11/2012,132,130,130,130,100
07/12/2012,130,132,130,130,1207
07/16/2012,130,132,130,130,859
07/17/2012,130,132,132,132,284
07/18/2012,132,140,134,140,1358
07/19/2012,140,142,140,142,207
07/22/2012,142,153,144,153,384
07/30/2012,153,150,141,141,324
07/31/2012,141,141,141,141,238
08/06/2012,141,143,143,143,10
08/08/2012,143,157,145,157,1594
08/12/2012,157,154,151,151,110
08/13/2012,151,160,154,160,315
08/14/2012,160,166,157,166,625
08/15/2012,166,163,152,152,154
08/16/2012,152,150,149,149,103
08/21/2012,149,149,147,149,350
08/22/2012,149,149,148,148,409
08/23/2012,148,150,150,150,299
08/26/2012,150,149,149,149,33
08/27/2012,149,150,147,148,890
08/28/2012,148,151,149,151,222
08/29/2012,151,150,150,150,76
