Date,Open,High,Low,Close,Volume
03/20/2011,133,131,131,131,260
03/25/2011,131,132,132,132,60
03/27/2011,132,132,132,132,20
04/04/2011,132,132,132,132,260
04/06/2011,132,134,133,133,1050
04/07/2011,133,135,135,135,60
04/10/2011,135,137,135,137,280
04/11/2011,137,135,135,135,10
04/13/2011,135,135,135,135,60
04/19/2011,135,135,135,135,200
04/21/2011,135,137,135,137,140
04/27/2011,137,137,137,137,20
05/03/2011,137,135,135,135,80
05/05/2011,135,133,133,133,110
05/10/2011,133,133,133,133,470
05/15/2011,133,133,133,133,210
05/18/2011,133,135,135,135,50
06/01/2011,135,135,135,135,140
06/05/2011,135,136,136,136,120
06/06/2011,136,134,134,134,40
06/07/2011,134,134,134,134,110
06/08/2011,134,132,132,132,50
06/13/2011,132,132,132,132,280
06/30/2011,132,130,130,130,40
07/03/2011,130,128,128,128,30
07/17/2011,128,128,128,128,30
07/18/2011,128,130,130,130,70
07/19/2011,130,130,130,130,60
08/03/2011,130,128,128,128,40
08/04/2011,128,132,130,132,80
08/08/2011,132,130,130,130,40
08/09/2011,130,128,128,128,20
08/11/2011,128,128,128,128,40
08/16/2011,128,128,128,128,10
09/04/2011,128,126,120,120,350
09/05/2011,120,121,121,121,80
09/12/2011,121,119,119,119,10
09/13/2011,119,118,117,118,70
09/14/2011,118,116,114,114,60
09/15/2011,114,112,112,112,20
09/18/2011,112,110,110,110,210
09/19/2011,110,108,104,105,600
09/20/2011,105,107,103,103,830
09/25/2011,103,105,105,105,150
09/29/2011,105,103,100,100,4610
10/25/2011,100,102,102,102,60
10/31/2011,102,104,104,104,60
11/06/2011,104,102,102,102,30
11/13/2011,102,100,100,100,80
11/14/2011,100,99,99,99,40
12/01/2011,98,99,99,99,40
12/04/2011,99,99,98,99,200
12/06/2011,99,99,98,98,220
12/08/2011,98,98,97,98,410
12/11/2011,98,97,94,95,470
12/12/2011,95,95,95,95,120
12/15/2011,95,94,94,94,160
12/18/2011,94,95,94,94,790
12/19/2011,94,93,93,93,260
12/21/2011,93,95,94,95,30
01/03/2012,95,94,94,94,40
01/05/2012,94,93,93,93,40
01/09/2012,93,94,92,92,80
01/10/2012,93,92,92,92,20
01/16/2012,92,92,92,92,70
01/19/2012,92,93,93,93,380
01/22/2012,93,94,94,94,700
01/23/2012,94,95,95,95,430
01/25/2012,95,104,96,104,1180
01/26/2012,104,106,106,106,480
01/29/2012,106,107,105,105,620
01/31/2012,105,103,100,100,510
02/01/2012,100,98,97,97,510
02/02/2012,97,96,96,96,710
02/05/2012,96,96,95,96,760
02/06/2012,96,96,95,95,720
02/07/2012,95,95,94,94,690
02/08/2012,94,95,95,95,700
02/09/2012,95,95,95,95,940
02/12/2012,95,96,92,92,880
02/13/2012,92,91,84,86,2110
02/14/2012,86,88,87,88,940
02/15/2012,88,89,89,89,1070
02/16/2012,89,89,89,89,810
02/21/2012,89,89,87,88,910
02/23/2012,88,88,87,87,780
02/26/2012,87,88,88,88,750
02/27/2012,88,88,87,87,1570
02/28/2012,87,88,88,88,1170
02/29/2012,88,88,88,88,980
03/01/2012,88,88,88,88,860
03/04/2012,88,88,88,88,900
03/05/2012,88,88,88,88,900
03/06/2012,88,88,88,88,750
03/11/2012,88,88,87,87,770
03/12/2012,87,88,87,87,920
03/13/2012,87,88,86,88,900
03/14/2012,88,87,86,86,630
03/15/2012,86,85,85,85,940
03/18/2012,85,85,85,85,750
03/19/2012,85,85,84,84,700
03/20/2012,84,85,84,85,640
03/21/2012,85,85,85,85,650
03/25/2012,85,85,81,83,700
03/26/2012,83,82,77,80,730
03/27/2012,80,80,80,80,360
03/28/2012,80,80,80,80,400
03/29/2012,80,80,79,79,640
04/01/2012,79,80,78,80,760
04/02/2012,80,80,80,80,420
04/03/2012,80,80,80,80,590
04/04/2012,80,80,79,80,320
04/05/2012,80,80,72,72,2060
04/08/2012,72,74,73,74,1230
04/10/2012,74,73,73,73,470
04/24/2012,73,74,74,74,160
04/25/2012,74,75,75,75,10
04/26/2012,75,78,78,78,10
04/30/2012,78,83,81,83,50
05/02/2012,83,87,87,87,10
05/03/2012,87,91,91,91,10
05/07/2012,91,95,95,95,10
05/09/2012,95,99,99,99,10
05/10/2012,99,100,100,100,20
05/21/2012,100,98,98,98,30
05/27/2012,98,98,97,98,300
05/29/2012,98,97,97,97,90
05/31/2012,97,96,95,96,1150
06/07/2012,96,96,96,96,300
06/10/2012,96,85,85,85,80
06/27/2012,85,84,84,84,100
07/11/2012,84,85,85,85,300
07/15/2012,85,84,84,84,10
07/16/2012,84,84,82,82,1230
07/22/2012,82,85,83,85,400
07/25/2012,85,85,85,85,100
07/26/2012,85,84,84,84,100
08/05/2012,84,83,83,83,440
08/06/2012,83,80,80,80,400
08/07/2012,80,81,81,81,220
08/08/2012,81,82,82,82,40
08/13/2012,82,84,83,84,300
08/21/2012,84,85,85,85,200
08/29/2012,85,87,86,87,30
08/30/2012,87,89,88,89,90
09/02/2012,89,97,90,97,80
09/03/2012,97,106,98,106,60
09/04/2012,106,116,108,116,50
09/05/2012,116,127,114,114,880
09/06/2012,114,114,112,114,80
09/09/2012,114,114,112,114,130
09/11/2012,114,116,116,116,100
09/12/2012,116,118,114,118,78643
09/13/2012,118,119,119,119,440
09/16/2012,119,117,116,116,450
09/17/2012,116,118,115,118,970
09/18/2012,118,120,118,120,860
09/19/2012,120,122,120,122,420
09/20/2012,122,120,120,120,60
09/25/2012,120,118,118,118,50
09/26/2012,118,116,114,114,210
10/01/2012,114,112,112,112,100
10/01/2012,114,112,112,112,100
10/02/2012,112,110,106,106,79261
10/04/2012,106,109,108,109,620
10/07/2012,109,119,111,119,160
10/08/2012,119,130,121,130,320
10/09/2012,130,143,132,133,4890
10/10/2012,133,131,129,129,230
10/11/2012,129,128,126,126,1590
10/14/2012,126,128,128,128,44
10/17/2012,128,128,126,128,650
10/31/2012,128,128,126,126,220
11/05/2012,126,130,128,130,400
11/06/2012,130,132,128,128,1102
11/07/2012,128,130,128,129,860
11/08/2012,129,130,130,130,100
11/12/2012,130,131,130,130,510
11/18/2012,130,134,132,132,80
11/20/2012,132,134,132,132,320
11/22/2012,132,132,132,132,180
11/25/2012,132,134,133,134,240
11/27/2012,134,132,132,132,150
12/02/2012,132,134,126,126,560
12/03/2012,126,124,122,122,500
12/04/2012,122,122,120,122,236
12/09/2012,122,120,120,120,20
12/12/2012,120,122,120,121,570
12/13/2012,121,120,119,120,410
12/16/2012,120,118,118,118,320
12/23/2012,118,116,112,112,866
12/24/2012,112,110,104,104,1400
12/27/2012,104,103,103,103,100
12/31/2012,103,103,101,103,320
01/02/2013,103,101,99,100,1500
01/03/2013,100,102,102,102,500
01/06/2013,102,104,104,104,30
01/07/2013,104,106,106,106,300
01/10/2013,106,105,101,101,430
01/13/2013,101,100,100,100,570
01/15/2013,100,104,102,104,600
01/21/2013,104,106,106,106,11
01/22/2013,106,107,106,107,120
01/24/2013,107,106,106,106,20
01/27/2013,106,104,102,102,1172
01/28/2013,102,100,100,100,20
01/31/2013,100,101,101,101,180
02/10/2013,101,110,100,110,1394
02/12/2013,110,113,112,113,210
02/13/2013,113,116,113,116,220
02/14/2013,116,122,114,120,566
02/20/2013,120,118,118,118,60
02/21/2013,118,116,116,116,100
02/24/2013,116,115,115,115,120
02/25/2013,115,115,115,115,200
03/05/2013,115,107,107,107,120
03/11/2013,107,109,109,109,120
03/13/2013,109,119,111,119,750
03/14/2013,119,130,121,130,800
03/19/2013,130,132,132,132,10
03/20/2013,132,130,130,130,20
03/25/2013,130,128,128,128,160
04/03/2013,128,126,124,124,191
04/07/2013,124,123,120,120,370
04/08/2013,120,118,116,116,122
04/09/2013,116,114,112,112,280
04/11/2013,112,112,110,112,100
04/16/2013,112,110,110,110,20
04/18/2013,110,108,100,100,1530
04/21/2013,100,102,102,102,106
04/23/2013,102,104,102,102,421
05/19/2013,102,102,100,102,1190
05/21/2013,102,100,100,100,22
05/22/2013,100,105,101,105,152
05/23/2013,105,103,103,103,20
05/26/2013,103,105,105,105,10
05/28/2013,105,115,107,115,2636
05/30/2013,115,117,117,117,100
06/02/2013,117,128,119,128,460
06/03/2013,128,140,130,132,1950
06/04/2013,132,130,128,130,1731
06/05/2013,130,136,132,134,264
06/06/2013,134,132,130,130,100
06/10/2013,130,128,128,128,79
06/11/2013,128,126,125,125,242
06/12/2013,125,123,123,123,130
06/13/2013,123,121,119,119,1101
06/18/2013,119,119,117,119,315
06/19/2013,119,118,118,118,100
06/23/2013,118,122,120,122,288
06/24/2013,122,120,120,120,45
06/26/2013,120,124,122,124,328
06/27/2013,124,126,126,126,22
06/30/2013,126,126,124,126,1310
07/01/2013,126,128,123,123,281
07/02/2013,123,125,125,125,200
07/03/2013,125,127,125,125,721
07/04/2013,125,123,121,121,122
07/08/2013,121,124,120,120,1554
07/14/2013,120,120,120,120,66
07/15/2013,120,120,120,120,22
07/17/2013,120,122,122,122,100
07/18/2013,122,125,121,125,400
07/23/2013,125,129,127,129,30
07/24/2013,129,127,127,127,500
07/28/2013,127,133,129,133,60
07/29/2013,133,146,135,146,1886
07/30/2013,146,160,148,160,1076
07/31/2013,160,176,160,161,4587
08/01/2013,161,162,155,155,1230
08/04/2013,155,152,152,152,23
08/05/2013,152,152,148,148,85
08/06/2013,148,146,145,145,791
08/07/2013,145,143,141,142,366
08/11/2013,142,140,140,140,200
08/12/2013,140,140,137,137,695
08/13/2013,137,150,139,150,930
08/14/2013,150,165,153,164,3511
08/15/2013,164,180,167,180,9186
08/18/2013,180,198,180,198,2201
08/19/2013,198,217,200,217,9873
08/20/2013,217,238,207,238,9032
08/25/2013,238,255,242,249,5988
08/26/2013,249,250,225,225,2009
08/27/2013,225,237,221,234,5381
08/29/2013,234,230,218,222,2464
09/01/2013,222,231,219,219,426
09/02/2013,219,215,211,211,73
09/03/2013,211,208,200,200,1742
09/04/2013,200,196,191,192,1165
09/05/2013,192,205,189,205,456
09/09/2013,205,208,208,208,20
09/10/2013,208,204,200,200,216
09/11/2013,200,204,196,196,153
09/12/2013,196,196,194,194,97
09/15/2013,194,193,190,191,730
09/17/2013,191,204,194,204,44
09/19/2013,204,210,202,210,2516
09/22/2013,210,210,208,208,204
09/23/2013,208,210,208,208,1167
09/24/2013,208,208,196,196,248
09/25/2013,196,195,193,195,4520
09/26/2013,195,214,198,214,1507
09/29/2013,214,218,214,214,1203
10/01/2013,214,210,200,206,2971
10/02/2013,206,206,202,206,470
10/03/2013,206,203,203,203,608
10/06/2013,203,200,196,200,132
10/07/2013,200,204,204,204,1870
10/08/2013,204,217,204,217,1407
10/10/2013,217,230,220,226,679
10/17/2013,226,222,222,222,48
10/20/2013,222,218,214,214,36
10/21/2013,214,212,212,212,310
10/22/2013,212,210,210,210,43
10/23/2013,210,213,200,209,2557
10/24/2013,209,205,205,205,12
10/27/2013,205,209,209,209,325
10/28/2013,209,225,205,225,526
11/12/2013,213,217,217,217,44
11/21/2013,217,221,221,221,303
11/24/2013,221,229,225,227,908
