Date,Open,High,Low,Close,Volume
03/27/2012,205,100,100,100,170493
05/21/2012,100,100,100,100,99000
10/11/2012,100,100,100,100,1093616
11/11/2012,100,90,70,70,261142
01/17/2013,70,98,98,98,133812
02/20/2013,98,97,90,90,221384
03/05/2013,90,97,97,97,10066
06/18/2013,97,96,96,96,97729
07/07/2013,96,95,95,95,236717
08/15/2013,95,95,95,95,38333
09/15/2013,95,94,94,94,10028
12/04/2013,100,0,0,92,450932
12/09/2013,100,92,92,92,32778
08/31/2014,92,92,92,92,65809
09/28/2014,92,98,96,98,37040
10/13/2014,98,99,99,99,3061
10/14/2014,99,99,99,99,25341
10/28/2014,99,100,100,100,3061
11/02/2014,100,102,102,102,25341
11/03/2014,102,104,104,104,8615
07/13/2015,282,282,282,282,2223
08/16/2015,282,0,0,282,700
09/10/2015,282,0,0,282,191828
09/15/2015,282,287,287,287,38106
07/27/2016,287,106,106,106,46090
10/03/2016,287,280,280,280,29124
12/12/2016,287,285,285,285,260
03/19/2017,285,285,285,285,13151
10/11/2017,285,285,285,285,49729
