Date,Open,High,Low,Close,Volume
12/09/2015,327,351,333,351,40
12/15/2015,351,386,358,386,240
12/21/2015,386,424,393,424,120
12/24/2015,424,466,432,466,60
12/29/2015,466,512,475,512,1060
01/04/2016,512,552,522,552,40
01/05/2016,552,607,579,607,60
01/06/2016,607,667,637,667,100
01/07/2016,667,733,700,733,130
01/10/2016,733,761,747,761,170
01/11/2016,761,837,776,837,120
01/12/2016,837,920,853,920,240
01/12/2016,837,920,853,920,240
01/13/2016,920,1012,966,1012,1107
01/14/2016,1012,1113,1032,1113,7097
03/23/2016,1113,1168,1168,1168,10
03/24/2016,1168,1226,1226,1226,10
03/27/2016,1226,1338,1287,1338,30
03/28/2016,1338,1471,1404,1471,177
03/29/2016,1471,1618,1500,1618,2430
03/30/2016,1618,1779,1650,1779,2860
03/31/2016,1779,1924,1750,1802,7776
04/03/2016,1802,1766,1622,1622,2720
04/04/2016,1622,1660,1550,1600,2459
04/05/2016,1600,1600,1545,1572,1610
04/06/2016,1572,1602,1570,1576,1312
04/10/2016,1576,1600,1565,1600,680
04/11/2016,1600,1575,1570,1570,60
04/12/2016,1570,1600,1562,1563,640
04/14/2016,1563,1540,1520,1521,1160
04/17/2016,1521,1510,1480,1510,596
04/18/2016,1510,1500,1480,1486,485
04/19/2016,1486,1550,1481,1550,870
04/20/2016,1550,1705,1519,1705,440
04/21/2016,1705,1671,1551,1591,986
04/24/2016,1591,1590,1500,1590,830
04/25/2016,1590,1559,1500,1532,526
04/26/2016,1532,1562,1532,1543,1260
04/27/2016,1543,1600,1551,1585,658
04/28/2016,1585,1648,1545,1590,1250
05/02/2016,1590,1580,1531,1542,710
05/03/2016,1542,1560,1520,1536,840
05/04/2016,1536,1535,1506,1535,1268
05/05/2016,1535,1540,1500,1520,1474
05/08/2016,1520,1515,1478,1515,1320
05/09/2016,1515,1520,1500,1501,862
05/10/2016,1501,1545,1500,1510,1502
05/11/2016,1510,1540,1495,1525,1140
05/12/2016,1525,1525,1491,1500,1036
05/15/2016,1500,1510,1491,1500,860
05/16/2016,1500,1490,1481,1490,210
05/17/2016,1490,1518,1457,1495,270
05/18/2016,1495,1505,1490,1500,1108
05/19/2016,1500,1528,1495,1528,1952
05/22/2016,1528,1579,1502,1555,1958
05/23/2016,1555,1606,1520,1606,1279
05/24/2016,1606,1700,1600,1680,5147
05/25/2016,1680,1750,1647,1694,2510
05/26/2016,1694,1670,1628,1640,530
05/29/2016,1640,1632,1600,1610,320
05/30/2016,1610,1648,1600,1645,1246
05/31/2016,1645,1634,1602,1634,472
06/01/2016,1634,1602,1560,1580,490
06/02/2016,1580,1600,1555,1581,1220
06/05/2016,1581,1580,1550,1580,480
06/06/2016,1580,1555,1520,1532,510
06/07/2016,1532,1588,1540,1574,2134
06/08/2016,1574,1580,1550,1580,365
06/09/2016,1580,1611,1600,1600,1367
06/12/2016,1600,1670,1568,1670,727
06/13/2016,1670,1700,1640,1670,4675
06/14/2016,1670,1837,1670,1829,9482
06/15/2016,1829,1820,1765,1800,3597
06/16/2016,1800,1800,1670,1800,736
06/19/2016,1800,1770,1715,1725,382
06/20/2016,1725,1720,1632,1685,720
06/21/2016,1685,1700,1653,1663,814
06/22/2016,1663,1795,1670,1795,1365
06/23/2016,1795,1830,1750,1798,2182
06/26/2016,1798,1770,1702,1735,274
06/27/2016,1735,1750,1700,1730,1508
06/28/2016,1730,1785,1730,1785,2185
06/29/2016,1785,1825,1700,1825,1648
06/30/2016,1825,1826,1700,1800,860
07/03/2016,1800,1980,1800,1980,9915
07/04/2016,1980,2030,1846,1886,2664
07/05/2016,1886,1849,1800,1815,120
07/06/2016,1815,1887,1775,1791,2482
07/10/2016,1791,1865,1800,1806,2918
07/11/2016,1806,1805,1755,1760,1419
07/12/2016,1760,1795,1670,1795,2570
07/13/2016,1795,1780,1640,1780,710
07/14/2016,1780,1900,1780,1785,3502
07/17/2016,1785,1750,1715,1715,1738
07/18/2016,1715,1681,1670,1670,60
07/20/2016,1670,1637,1503,1503,260
07/21/2016,1503,1501,1375,1490,755
07/25/2016,1490,1545,1420,1520,1340
07/26/2016,1520,1585,1471,1550,1710
07/27/2016,1550,1581,1500,1550,400
07/28/2016,1550,1550,1500,1550,486
