Date,Open,High,Low,Close,Volume
03/20/2011,105,104,102,103,4580
03/24/2011,104,107,106,107,970
03/25/2011,107,105,101,103,1660
03/27/2011,103,105,102,105,2760
03/28/2011,105,105,101,101,2920
03/29/2011,101,105,99,102,2720
03/30/2011,102,103,100,100,3080
03/31/2011,100,103,100,102,790
04/04/2011,102,104,100,103,2260
04/05/2011,103,102,101,102,7190
04/06/2011,102,103,100,100,4170
04/07/2011,100,103,100,102,2590
04/10/2011,102,103,101,101,1430
04/11/2011,101,102,100,100,2230
04/13/2011,100,101,100,100,1900
04/17/2011,100,104,100,101,1100
04/18/2011,101,101,100,101,1280
04/19/2011,101,103,100,101,2350
04/20/2011,101,102,101,101,1520
04/21/2011,101,103,99,100,490
04/25/2011,100,100,100,100,710
04/26/2011,100,100,100,100,30
04/27/2011,100,100,97,99,3250
04/28/2011,99,100,98,98,2410
05/02/2011,98,97,97,97,290
05/03/2011,97,97,94,95,2310
05/04/2011,95,97,94,96,3130
05/05/2011,96,96,95,95,540
05/08/2011,95,95,94,95,590
05/09/2011,95,96,93,93,860
05/10/2011,93,94,91,91,2060
05/11/2011,91,93,89,90,1130
05/12/2011,90,94,90,94,2180
05/15/2011,94,98,94,96,1630
05/16/2011,96,103,97,103,2990
05/18/2011,103,104,98,99,2390
05/19/2011,99,102,99,100,1720
05/22/2011,100,103,100,101,4530
05/23/2011,101,105,100,102,1830
05/24/2011,102,102,98,100,1940
05/25/2011,100,100,96,97,1810
05/26/2011,97,98,97,98,910
05/30/2011,98,100,99,99,1800
05/31/2011,99,100,97,98,2490
06/01/2011,98,98,95,95,1200
06/02/2011,95,96,93,96,1310
06/05/2011,96,96,94,94,3140
06/06/2011,94,96,92,96,4730
06/07/2011,96,95,90,95,1040
06/08/2011,95,94,86,86,7510
06/09/2011,86,85,80,80,1580
06/12/2011,80,79,76,76,1710
06/13/2011,76,81,76,79,1520
06/14/2011,79,83,80,81,1660
06/15/2011,81,82,80,82,1020
06/16/2011,82,86,82,86,740
06/21/2011,88,89,89,89,20
06/23/2011,89,97,93,97,1290
06/26/2011,97,99,96,97,1730
06/27/2011,97,98,96,96,220
06/29/2011,96,95,92,92,570
06/30/2011,92,91,88,88,1350
07/03/2011,88,88,86,87,1030
07/04/2011,87,87,83,83,2530
07/06/2011,83,84,84,84,100
07/07/2011,84,89,85,89,470
07/10/2011,89,95,90,95,1610
07/11/2011,95,96,96,96,140
07/12/2011,96,97,95,97,1140
07/13/2011,97,99,98,99,2170
07/14/2011,99,100,98,100,2610
07/17/2011,100,104,100,104,130
07/18/2011,104,106,105,106,640
07/20/2011,106,110,104,110,2010
07/21/2011,110,108,98,98,1490
07/24/2011,98,99,95,95,1290
07/25/2011,95,94,90,91,1080
07/26/2011,91,91,91,91,570
07/27/2011,91,93,90,93,580
07/28/2011,93,94,91,93,860
07/31/2011,93,93,91,92,1260
08/01/2011,92,91,88,90,1600
08/02/2011,90,94,89,94,1650
08/03/2011,94,95,93,93,1190
08/04/2011,93,95,93,94,1390
08/07/2011,94,95,92,92,1640
08/08/2011,92,92,89,91,2270
08/09/2011,91,91,90,90,190
08/10/2011,90,91,88,90,1620
08/11/2011,90,91,89,90,550
08/15/2011,90,90,89,90,240
08/16/2011,90,90,89,89,480
08/17/2011,89,89,88,88,170
08/18/2011,88,87,86,87,320
08/22/2011,87,88,86,86,1190
08/23/2011,86,85,82,83,1470
08/24/2011,83,84,81,81,4220
08/25/2011,81,80,78,78,880
08/28/2011,78,80,74,78,3070
08/29/2011,78,78,75,78,1440
08/30/2011,78,85,78,85,2860
09/01/2011,85,90,84,87,2390
09/04/2011,87,86,85,85,110
09/05/2011,85,84,81,81,5120
09/06/2011,81,81,79,80,1390
09/07/2011,80,79,77,78,2220
09/08/2011,78,80,78,80,1170
09/12/2011,80,81,79,79,1320
09/13/2011,79,80,78,78,2420
09/14/2011,78,82,78,79,4200
09/15/2011,79,81,79,81,380
09/18/2011,81,81,79,80,540
09/19/2011,80,80,79,79,350
09/20/2011,79,79,77,78,4050
09/21/2011,78,78,77,78,1690
09/22/2011,78,78,76,78,1070
09/25/2011,78,79,76,76,880
09/26/2011,76,80,74,79,5300
09/27/2011,79,79,76,78,2340
09/29/2011,78,81,79,81,1170
10/02/2011,81,84,79,82,2030
10/09/2011,82,85,83,85,810
10/10/2011,85,85,81,83,3110
10/12/2011,83,85,83,84,1360
10/13/2011,84,84,79,79,1190
10/16/2011,79,80,76,78,1270
10/17/2011,78,80,77,79,1310
10/18/2011,79,80,77,80,1650
10/19/2011,80,79,78,79,540
10/20/2011,79,79,78,79,280
10/23/2011,79,78,77,77,210
10/24/2011,77,76,74,76,1420
10/25/2011,76,77,77,77,90
10/30/2011,77,78,76,76,3870
10/31/2011,76,76,75,75,1490
11/02/2011,75,78,76,78,90
11/03/2011,78,83,79,80,2500
11/06/2011,80,81,78,78,1580
11/08/2011,78,78,76,76,900
11/09/2011,76,76,75,75,670
11/10/2011,75,77,76,76,240
11/13/2011,76,77,75,76,270
11/14/2011,76,75,75,75,250
11/15/2011,75,75,74,75,1250
11/16/2011,75,74,71,73,1090
11/17/2011,73,73,71,73,1370
