Date,Open,High,Low,Close,Volume
12/10/2013,100,105,105,105,10
12/22/2013,105,103,102,102,1098
01/22/2014,102,104,102,104,676
01/23/2014,104,106,106,106,1098
01/26/2014,106,105,105,105,221
02/11/2014,105,107,107,107,2745
02/24/2014,107,117,109,117,100
02/25/2014,117,127,119,127,100
02/26/2014,127,133,129,133,192
03/03/2014,133,135,135,135,20
03/04/2014,135,137,137,137,34
03/06/2014,137,150,139,150,1646
03/09/2014,150,153,150,150,630
03/18/2014,150,147,143,143,732
04/06/2014,143,141,141,141,81
04/07/2014,141,139,139,139,382
04/09/2014,139,137,135,135,449
04/10/2014,135,133,131,131,1282
04/13/2014,131,129,129,129,81
04/15/2014,129,129,127,129,530
04/16/2014,129,130,130,130,91
04/17/2014,130,132,128,130,438
04/20/2014,130,130,130,130,370
04/21/2014,130,130,128,130,162
04/22/2014,130,128,123,123,1338
04/23/2014,123,123,121,121,243
04/27/2014,121,123,119,119,729
04/28/2014,119,118,118,118,630
04/29/2014,118,121,118,121,526
05/04/2014,121,123,123,123,199
05/11/2014,123,125,125,125,81
05/13/2014,125,129,127,129,375
05/15/2014,129,131,131,131,294
05/15/2014,129,131,131,131,294
05/19/2014,131,138,133,138,324
05/20/2014,138,145,140,142,935
05/21/2014,142,144,138,144,3613
05/22/2014,144,149,145,149,1569
05/28/2014,149,147,147,147,38
06/04/2014,147,150,149,150,626
06/18/2014,150,158,153,158,911
06/19/2014,158,160,160,160,338
07/01/2014,160,160,160,160,220
07/02/2014,160,157,155,155,412
07/03/2014,155,155,155,155,38
07/07/2014,155,167,158,167,320
07/08/2014,167,179,170,176,197
07/13/2014,176,179,176,176,520
07/16/2014,176,179,179,179,338
07/17/2014,179,182,182,182,81
07/21/2014,182,185,185,185,38
07/23/2014,185,188,188,188,10
08/03/2014,188,194,191,194,220
08/05/2014,194,191,191,191,38
08/14/2014,191,194,194,194,48
08/18/2014,194,192,187,187,258
08/19/2014,187,186,186,186,52
08/21/2014,186,189,189,189,60
08/24/2014,189,188,188,188,81
09/04/2014,188,185,180,180,510
09/10/2014,180,177,177,177,81
09/16/2014,177,180,180,180,20
09/18/2014,180,177,177,177,81
11/20/2014,161,158,158,158,18
12/03/2014,158,158,158,158,360
12/04/2014,158,160,160,160,148
12/15/2014,160,157,157,157,549
12/16/2014,157,155,155,155,736
03/12/2015,144,150,146,150,736
03/15/2015,150,156,153,156,368
03/19/2015,156,163,163,163,870
03/23/2015,163,174,171,174,1054
04/16/2015,174,180,177,180,20
04/19/2015,180,186,183,186,20
04/20/2015,186,192,189,192,20
04/21/2015,192,198,195,198,20
04/23/2015,198,201,201,201,10
05/24/2015,201,221,205,221,1431
05/25/2015,221,229,213,213,1484
05/31/2015,213,209,205,205,1046
06/01/2015,205,201,201,201,436
06/02/2015,201,221,205,221,260
