Date,Open,High,Low,Close,Volume
09/08/2013,188,188,178,181,44339
09/09/2013,181,183,175,181,63530
09/10/2013,181,182,179,181,35018
09/11/2013,181,181,179,180,39660
09/12/2013,180,183,179,182,31083
09/15/2013,182,182,180,181,23167
09/16/2013,181,182,179,180,29516
09/17/2013,180,181,177,179,18344
09/19/2013,179,180,176,178,16703
09/22/2013,178,178,170,172,25713
09/23/2013,172,174,171,173,14340
09/24/2013,173,179,172,176,13037
09/25/2013,176,179,175,178,11867
09/26/2013,178,179,175,177,16191
09/29/2013,177,178,176,177,14539
09/30/2013,177,179,176,176,11224
10/01/2013,176,177,174,177,13501
10/02/2013,177,178,175,177,22389
10/03/2013,177,177,173,176,12343
10/06/2013,176,179,175,178,31043
10/07/2013,178,180,177,180,23385
10/08/2013,180,180,178,180,12717
10/09/2013,180,184,180,183,9847
10/10/2013,183,186,180,182,12824
10/17/2013,182,188,180,185,7117
10/20/2013,185,199,184,195,15767
10/21/2013,195,209,195,204,42569
10/22/2013,204,204,199,202,28193
10/23/2013,202,204,200,203,29883
10/24/2013,203,204,200,201,32429
10/27/2013,201,201,198,200,18437
10/28/2013,200,204,198,204,22167
10/29/2013,201,204,198,200,23127
10/30/2013,200,206,198,204,17704
10/31/2013,204,205,200,202,31586
11/06/2013,202,202,199,201,9339
11/07/2013,201,221,202,218,23282
11/11/2013,235,251,234,251,47417
11/12/2013,251,270,252,260,39464
11/13/2013,260,265,250,261,28781
11/14/2013,261,260,250,259,65668
11/21/2013,259,274,264,274,1437
11/24/2013,274,301,279,301,24087
11/25/2013,301,307,295,304,61999
11/26/2013,304,310,298,306,38528
11/27/2013,306,305,295,300,26979
11/28/2013,300,301,298,300,19902
12/01/2013,300,303,297,302,15636
12/02/2013,302,308,300,308,16796
12/03/2013,308,314,300,307,30335
12/04/2013,307,337,307,336,28739
12/05/2013,336,369,336,355,37078
12/08/2013,355,365,350,360,54814
12/09/2013,360,361,352,361,18088
12/10/2013,361,360,351,355,23291
12/11/2013,355,370,351,365,25732
12/12/2013,365,372,358,370,24316
12/15/2013,370,397,363,387,44716
12/16/2013,387,425,390,425,4060
12/18/2013,425,466,417,466,19071
12/19/2013,466,475,436,458,30840
12/22/2013,460,459,439,446,29438
12/23/2013,445,440,401,407,24224
12/24/2013,407,420,367,402,26733
12/26/2013,401,435,401,411,38063
12/29/2013,411,413,386,400,50394
12/31/2013,400,399,390,399,10016
01/01/2014,399,397,378,395,10235
01/02/2014,395,400,380,395,9280
01/05/2014,395,409,390,395,11798
01/06/2014,395,395,389,395,8382
01/07/2014,395,397,388,392,4507
01/08/2014,392,413,388,406,7806
01/09/2014,406,413,401,410,5863
01/12/2014,410,438,406,430,7147
01/13/2014,430,455,425,445,14056
01/14/2014,445,450,440,444,14042
01/16/2014,444,459,436,456,11440
01/19/2014,456,465,447,465,5526
01/20/2014,465,464,448,455,9940
01/21/2014,455,462,446,460,8251
01/22/2014,460,460,446,450,5323
01/23/2014,450,462,445,458,10211
01/26/2014,458,461,450,455,12610
01/27/2014,455,458,440,455,4800
01/28/2014,455,454,446,450,9267
01/29/2014,450,454,440,444,4980
02/02/2014,444,452,436,442,3694
02/03/2014,442,441,428,435,4313
02/04/2014,435,443,430,436,6477
02/06/2014,440,440,429,435,6401
02/09/2014,435,437,420,435,18029
02/10/2014,435,460,432,448,6015
02/11/2014,448,445,430,438,11360
02/12/2014,438,444,432,437,4403
02/13/2014,437,440,430,434,7254
02/16/2014,434,435,425,431,3887
02/17/2014,431,432,415,422,7472
02/18/2014,422,439,422,439,9544
02/20/2014,439,446,431,440,3510
02/23/2014,440,442,431,432,1778
02/24/2014,432,455,430,437,5540
