Date,Open,High,Low,Close,Volume
10/17/2012,0,175,163,163,188
10/18/2012,163,160,148,148,69
10/30/2012,148,146,138,139,2013
10/31/2012,139,145,135,145,8519
11/01/2012,145,151,141,150,2884
11/04/2012,150,158,147,158,3391
11/05/2012,158,168,157,157,2113
11/06/2012,157,162,158,158,3537
11/07/2012,158,166,157,166,2986
11/08/2012,166,169,157,163,2597
11/11/2012,163,166,157,163,6097
11/18/2012,163,166,166,166,114
12/11/2012,166,154,154,154,112
12/23/2012,154,151,151,151,670
12/24/2012,151,150,150,150,7928
01/01/2013,150,147,143,144,2439
01/06/2013,144,142,142,142,200
01/09/2013,142,140,140,140,135
01/10/2013,140,138,138,138,400
01/27/2013,138,136,130,130,560
01/30/2013,130,130,128,128,217
01/31/2013,128,126,124,124,159
02/03/2013,124,126,126,126,16
02/07/2013,126,124,124,124,72
02/10/2013,124,124,122,124,1589
02/12/2013,124,126,124,126,581
02/14/2013,126,125,125,125,13
02/19/2013,125,130,127,130,1271
02/28/2013,130,128,128,128,101
03/03/2013,128,128,128,128,1693
03/11/2013,128,128,126,126,465
03/13/2013,126,124,124,124,336
03/14/2013,124,128,126,128,1066
03/17/2013,128,128,128,128,112
03/19/2013,128,126,126,126,335
03/21/2013,126,126,121,121,1186
03/24/2013,121,122,118,118,443
03/25/2013,118,117,117,117,112
03/27/2013,117,119,117,119,22
03/31/2013,119,121,119,119,361
04/02/2013,119,118,118,118,47
04/03/2013,118,124,120,124,152
04/08/2013,124,126,124,126,239
04/09/2013,126,126,126,126,447
04/11/2013,126,124,120,120,33
04/25/2013,120,122,122,122,530
04/28/2013,122,122,120,122,505
04/29/2013,122,124,122,124,335
05/02/2013,124,122,118,118,1261
05/05/2013,118,118,118,118,47
05/09/2013,118,118,116,116,1117
05/12/2013,116,118,118,118,153
05/13/2013,118,116,116,116,503
05/14/2013,116,118,116,118,130
05/15/2013,118,124,120,124,836
05/16/2013,124,125,124,124,1212
05/19/2013,124,126,124,126,1030
05/21/2013,126,127,125,126,296
05/22/2013,126,126,124,126,1213
05/23/2013,126,124,120,123,4633
05/27/2013,123,125,124,124,233
05/28/2013,124,128,125,126,805
06/02/2013,126,124,124,124,28
06/03/2013,124,126,126,126,26
06/04/2013,126,127,126,126,1996
06/05/2013,126,126,126,126,465
06/06/2013,126,126,126,126,73
06/09/2013,126,126,123,123,691
06/12/2013,123,125,125,125,168
06/13/2013,125,125,125,125,52
06/16/2013,125,127,126,126,459
06/17/2013,126,126,125,125,221
06/18/2013,125,129,123,129,368
06/19/2013,129,128,127,127,200
06/20/2013,127,127,125,127,286
06/23/2013,127,125,122,122,4571
06/24/2013,122,122,121,121,259
06/26/2013,121,120,120,120,208
06/30/2013,120,123,121,123,1084
07/01/2013,123,122,122,122,49
07/04/2013,122,124,124,124,236
07/10/2013,124,125,125,125,34
07/21/2013,125,127,127,127,357
07/22/2013,127,129,128,129,26
07/23/2013,129,132,130,132,63
07/24/2013,132,130,130,130,22
07/31/2013,130,130,130,130,239
08/01/2013,130,142,132,140,422
08/05/2013,140,142,141,142,128
08/06/2013,142,140,140,140,2342
08/08/2013,140,139,131,131,230
08/11/2013,131,133,129,130,148
08/12/2013,130,136,132,136,52
08/13/2013,136,138,138,138,239
08/14/2013,138,140,140,140,13
08/15/2013,140,150,142,147,288
08/18/2013,147,154,149,154,73
08/19/2013,154,151,151,151,51
08/20/2013,151,165,153,165,1885
08/25/2013,165,165,162,162,1873
08/26/2013,162,165,159,159,79
08/27/2013,159,160,157,157,796
08/29/2013,157,164,160,162,5642
09/01/2013,162,167,165,167,794
09/02/2013,167,164,164,164,26
09/03/2013,164,165,164,165,247
09/04/2013,165,162,156,156,74
09/05/2013,156,162,156,162,581
09/09/2013,162,166,162,166,309
09/10/2013,166,171,166,171,225
09/11/2013,171,173,171,171,1119
09/12/2013,171,175,170,173,1446
09/15/2013,173,176,172,172,460
09/16/2013,172,169,169,169,59
09/17/2013,169,166,166,166,71
09/22/2013,166,166,163,163,574
