Date,Open,High,Low,Close,Volume
03/04/2014,100,102,102,102,447
03/27/2014,102,108,104,108,798
04/01/2014,108,110,110,110,233
07/03/2014,110,118,112,118,40
07/06/2014,118,126,120,126,468
07/07/2014,126,138,128,138,60
07/08/2014,138,150,140,150,60
07/13/2014,150,159,153,159,70
07/14/2014,159,162,162,162,50
08/03/2014,162,165,165,165,55
08/06/2014,165,180,168,180,167
08/18/2014,180,189,183,189,104
08/19/2014,189,207,192,207,374
08/20/2014,207,226,211,226,166
08/21/2014,226,222,218,218,250
08/24/2014,218,239,222,235,799
08/25/2014,235,231,227,227,102
08/26/2014,227,223,214,214,796
08/28/2014,214,218,218,218,100
09/04/2014,218,222,222,222,869
09/09/2014,222,226,226,226,100
09/28/2014,226,222,222,222,20
09/30/2014,222,218,218,218,20
10/19/2014,218,214,214,214,836
10/20/2014,214,210,210,210,476
10/21/2014,210,210,210,210,137
11/16/2014,210,210,210,210,314
12/09/2014,210,206,192,192,240
12/16/2014,192,189,189,189,447
12/21/2014,189,192,192,192,233
01/19/2015,167,170,170,170,439
01/26/2015,170,173,173,173,447
07/06/2015,173,176,176,176,99
08/05/2015,176,179,179,179,103
08/18/2015,179,194,182,194,1093
08/18/2015,179,194,182,194,1093
09/24/2015,194,204,197,204,949
10/25/2015,169,172,172,172,100
01/11/2016,172,181,175,181,949
01/28/2016,181,187,184,187,20
02/02/2016,187,193,190,193,1416
02/22/2016,193,199,196,199,113
02/24/2016,199,214,202,214,1239
03/02/2016,189,195,195,195,200
03/06/2016,195,213,198,213,50
03/13/2016,213,221,217,221,20
03/14/2016,221,241,225,241,54
03/15/2016,241,263,245,263,50
03/16/2016,263,283,268,283,40
03/17/2016,283,303,288,303,40
03/21/2016,303,333,309,333,300
03/23/2016,333,365,339,365,50
03/24/2016,365,400,372,400,50
03/27/2016,400,440,405,440,1411
03/28/2016,440,484,448,460,2771
03/29/2016,460,469,425,425,1140
03/30/2016,425,425,417,417,970
03/31/2016,417,410,410,410,350
04/03/2016,410,409,394,408,829
04/05/2016,408,432,416,432,820
04/06/2016,432,448,432,432,702
04/10/2016,432,439,431,431,1138
04/11/2016,431,474,435,465,1894
04/12/2016,465,474,466,474,1650
04/17/2016,474,492,474,492,921
04/18/2016,492,511,500,511,1189
04/19/2016,511,511,510,511,340
04/20/2016,511,555,521,555,1550
04/21/2016,555,580,566,580,2877
04/24/2016,580,580,570,580,210
04/25/2016,580,590,568,568,257
04/26/2016,568,557,512,516,1422
04/27/2016,516,506,500,500,610
04/28/2016,500,510,510,510,100
05/03/2016,510,500,500,500,200
05/04/2016,500,530,500,530,610
05/05/2016,530,550,535,550,436
05/09/2016,550,572,561,572,397
05/10/2016,572,583,583,583,50
05/12/2016,583,572,572,572,50
05/15/2016,572,561,561,561,15
05/16/2016,561,550,550,550,94
05/17/2016,550,560,560,560,300
05/19/2016,560,549,549,549,309
05/22/2016,549,540,539,539,405
05/23/2016,539,535,535,535,120
05/24/2016,535,539,525,539,509
05/25/2016,539,564,545,564,1668
05/26/2016,564,555,544,554,1082
05/30/2016,554,543,533,533,860
05/31/2016,533,553,543,553,168
06/07/2016,553,560,560,560,200
06/08/2016,560,571,571,571,255
06/09/2016,571,571,571,571,70
06/12/2016,571,593,582,593,445
06/13/2016,593,604,595,604,320
06/15/2016,604,600,600,600,100
06/16/2016,600,600,588,588,180
06/19/2016,588,586,586,586,300
06/20/2016,586,575,575,575,195
06/21/2016,575,586,586,586,310
06/29/2016,586,590,589,590,674
06/30/2016,590,598,588,588,708
07/03/2016,588,578,578,578,200
07/05/2016,578,567,567,567,165
07/06/2016,567,565,555,555,760
07/11/2016,555,577,566,577,846
07/12/2016,577,575,575,575,40
07/13/2016,575,632,586,632,2016
07/14/2016,632,678,632,678,2393
07/17/2016,678,665,646,646,595
07/19/2016,646,680,630,680,187
07/20/2016,680,748,693,748,1076
07/21/2016,748,777,755,770,1010
07/25/2016,770,795,755,785,1728
07/26/2016,785,800,790,790,410
07/27/2016,790,821,805,821,130
07/28/2016,821,836,805,820,500
07/31/2016,820,810,809,810,385
08/03/2016,810,794,794,794,514
08/10/2016,794,794,780,780,151
08/11/2016,780,780,780,780,65
08/28/2016,780,765,765,765,10
08/29/2016,765,750,750,750,157
08/31/2016,750,735,735,735,10
09/01/2016,735,721,721,721,10
09/05/2016,721,724,724,724,400
09/06/2016,724,710,696,696,60
09/07/2016,696,683,683,683,50
09/08/2016,683,670,670,670,50
09/11/2016,670,657,644,644,100
09/12/2016,644,632,632,632,11
09/14/2016,632,622,610,622,707
09/18/2016,622,613,613,613,100
09/20/2016,613,625,617,625,300
09/21/2016,625,617,613,613,110
09/22/2016,613,637,625,631,588
09/25/2016,631,630,618,620,634
09/27/2016,620,617,617,617,60
09/28/2016,617,605,605,605,1000
09/29/2016,605,600,600,600,1225
10/03/2016,600,612,612,612,90
10/05/2016,612,600,600,600,21
10/16/2016,600,600,590,590,194
10/17/2016,590,601,601,601,10
10/18/2016,601,625,613,625,213
10/19/2016,625,624,615,624,717
10/20/2016,624,616,610,610,600
10/23/2016,610,600,600,600,960
10/27/2016,600,612,610,610,500
11/03/2016,610,615,615,615,500
11/07/2016,615,630,620,620,1745
11/08/2016,620,625,625,625,80
11/09/2016,625,630,630,630,29
11/10/2016,630,642,639,639,400
11/13/2016,639,635,634,635,79
11/15/2016,635,623,623,623,254
11/16/2016,623,620,611,611,176
11/17/2016,611,599,577,577,460
11/20/2016,577,580,569,580,5203
11/22/2016,580,569,527,527,941
11/23/2016,527,517,501,501,83
11/24/2016,501,495,495,495,40
11/28/2016,495,500,500,500,79
11/29/2016,500,510,500,510,200
11/30/2016,510,515,515,515,100
12/01/2016,515,525,515,515,100
12/04/2016,515,525,525,525,200
12/07/2016,525,560,535,560,360
12/08/2016,560,559,549,559,236
12/22/2016,559,565,565,565,100
01/01/2017,565,580,569,569,80
01/03/2017,569,585,574,574,140
01/04/2017,574,565,550,550,338
01/05/2017,550,561,560,560,40
01/08/2017,560,555,549,555,330
01/11/2017,555,544,544,544,10
01/18/2017,544,544,544,544,614
01/19/2017,544,534,534,534,10
01/23/2017,534,524,524,524,130
02/14/2017,524,514,514,514,392
02/15/2017,514,504,504,504,100
02/16/2017,504,500,472,472,306
02/19/2017,472,472,463,472,470
02/20/2017,472,518,481,518,592
02/21/2017,518,508,492,492,1114
02/22/2017,492,501,501,501,100
02/26/2017,501,530,510,530,1020
03/01/2017,530,535,505,535,613
