Date,Open,High,Low,Close,Volume
04/22/2015,285,285,285,285,85114
05/28/2015,285,285,285,285,27827
06/15/2015,285,285,285,285,11867
06/16/2015,285,280,280,280,9416
07/08/2015,280,280,280,280,7847
07/14/2015,280,280,280,280,20000
09/29/2015,280,280,280,280,9912
09/30/2015,280,280,280,280,60000
10/05/2015,280,280,280,280,23500
10/15/2015,280,280,280,280,14453
11/18/2015,280,280,280,280,6300
11/26/2015,280,280,280,280,3200
12/20/2015,280,285,285,285,2388
12/27/2015,285,285,285,285,6126
12/28/2015,285,285,285,285,1350
05/04/2016,500,490,490,490,28100
05/12/2016,490,481,481,481,9000
05/18/2016,481,481,481,481,10000
05/30/2016,481,481,481,481,4000
08/15/2016,481,481,481,481,16972
08/17/2016,481,490,490,490,32029
08/21/2016,490,490,490,490,14630
09/05/2016,490,499,499,499,20000
09/11/2016,499,500,500,500,2055
09/14/2016,500,500,500,500,3632
11/03/2016,500,500,500,500,13304
11/07/2016,500,500,500,500,15000
11/08/2016,500,500,500,500,27462
02/08/2017,500,500,500,500,1500
04/16/2017,500,500,500,500,5000
05/18/2017,500,500,500,500,10424
06/18/2017,500,500,500,500,5673
06/19/2017,500,500,500,500,22900
06/21/2017,500,490,490,490,10000
06/27/2017,490,490,490,490,560
06/28/2017,490,490,490,490,9313
07/02/2017,490,490,490,490,40000
07/12/2017,490,481,481,481,77200
07/17/2017,481,472,472,472,28322
07/26/2017,472,463,463,463,5520
08/03/2017,463,463,463,463,4000
08/15/2017,463,463,463,463,7000
10/31/2017,463,463,463,463,29000
11/01/2017,463,463,463,463,36799
11/22/2017,463,463,463,463,5000
11/23/2017,463,463,463,463,9000
12/05/2017,463,463,463,463,8500
03/29/2018,217,217,217,217,5000
04/02/2018,217,217,217,217,1000
04/17/2018,217,217,217,217,3000
04/19/2018,217,217,217,217,55000
