Date,Open,High,Low,Close,Volume
03/25/2011,35,35,35,35,1000
03/27/2011,35,36,36,36,4000
05/03/2011,36,35,35,35,500
06/08/2011,35,34,33,34,145000
06/09/2011,34,34,34,34,2100
06/23/2011,34,33,32,32,103150
06/26/2011,32,32,32,32,100
06/27/2011,32,31,31,31,32900
06/29/2011,31,30,30,30,100100
07/03/2011,30,29,27,27,34050
07/04/2011,27,26,25,25,4300
07/05/2011,25,28,26,28,700
07/06/2011,28,30,29,30,300
07/10/2011,30,33,30,33,700
07/11/2011,33,33,33,33,100
07/12/2011,33,34,34,34,100
07/24/2011,34,34,33,34,23600
08/10/2011,34,33,32,33,23200
08/11/2011,33,32,32,32,3100
12/07/2011,32,32,32,32,100
12/11/2011,32,31,31,31,200
12/12/2011,31,31,30,30,400
02/01/2012,30,30,30,30,100
03/21/2012,30,29,29,29,500
03/26/2012,29,28,28,28,200
03/29/2012,28,28,28,28,500
04/19/2012,28,27,27,27,100
04/26/2012,27,28,28,28,3100
06/26/2012,28,27,27,27,100
09/19/2012,27,28,28,28,4200
09/30/2012,28,27,27,27,5000
10/01/2012,27,27,27,27,5000
10/01/2012,27,27,27,27,5000
10/17/2012,27,26,25,25,650
11/04/2012,25,26,26,26,400000
11/11/2012,26,26,26,26,1800
11/18/2012,26,27,27,27,100
11/22/2012,27,27,27,27,1000
