Date,Open,High,Low,Close,Volume
03/20/2011,134,136,136,136,51
03/24/2011,138,140,140,140,51
03/25/2011,140,141,141,141,64
03/29/2011,141,139,127,127,1526
03/31/2011,127,130,129,130,134
04/04/2011,130,128,127,127,85
04/05/2011,127,125,118,118,999
04/06/2011,118,118,114,116,2740
04/07/2011,116,116,112,116,830
04/10/2011,116,115,114,114,428
04/11/2011,114,116,114,116,572
04/18/2011,116,115,112,112,404
04/19/2011,112,113,111,113,272
04/20/2011,113,112,110,112,304
04/21/2011,112,112,112,112,50
04/25/2011,112,111,110,111,34
04/27/2011,111,113,111,111,338
04/28/2011,111,111,110,110,273
05/02/2011,110,111,110,111,315
05/03/2011,111,110,107,110,929
05/05/2011,110,115,112,112,382
05/08/2011,112,110,110,110,16
05/09/2011,110,109,109,109,22
05/10/2011,109,110,110,110,115
05/11/2011,110,112,110,110,872
05/12/2011,110,110,110,110,119
05/15/2011,110,114,110,114,289
05/16/2011,114,114,112,114,272
05/18/2011,114,112,109,110,962
05/19/2011,110,113,109,111,954
05/22/2011,111,111,109,109,119
05/23/2011,109,109,109,109,85
05/24/2011,109,109,109,109,155
05/25/2011,109,111,109,111,617
05/26/2011,111,112,110,110,231
05/30/2011,110,113,112,113,112
05/31/2011,113,113,113,113,102
06/05/2011,113,111,109,109,170
06/06/2011,109,109,102,102,535
06/08/2011,102,100,96,96,6328
06/12/2011,96,95,93,93,653
06/13/2011,93,92,87,87,1211
06/14/2011,87,88,87,87,64
06/15/2011,87,89,88,88,829
06/16/2011,88,95,89,95,431
06/21/2011,104,114,106,114,1146
06/23/2011,114,125,116,125,1605
06/26/2011,125,129,119,119,2237
06/30/2011,119,117,117,117,220
07/03/2011,117,115,106,106,673
07/04/2011,106,104,96,100,2391
07/05/2011,100,102,100,101,431
07/06/2011,101,106,100,106,764
07/07/2011,106,104,100,100,1560
07/10/2011,100,108,100,108,1577
07/11/2011,108,112,102,111,1713
07/12/2011,111,113,113,113,100
07/13/2011,113,113,109,109,366
07/14/2011,109,116,109,116,1371
07/17/2011,116,124,118,124,388
07/18/2011,124,128,114,114,1463
07/19/2011,114,115,108,108,2025
07/20/2011,108,114,110,114,798
07/21/2011,114,117,110,110,757
07/24/2011,110,110,106,106,900
07/25/2011,106,106,102,102,327
07/26/2011,102,103,100,100,2892
07/27/2011,100,103,100,102,7762
07/28/2011,102,108,100,108,7128
07/31/2011,108,108,108,108,67
08/02/2011,108,110,110,110,100
08/03/2011,110,110,107,108,584
08/04/2011,108,110,106,108,3144
08/07/2011,108,108,106,108,456
08/09/2011,108,107,107,107,40
08/10/2011,107,109,109,109,16
08/11/2011,109,108,102,103,1781
08/16/2011,103,106,105,106,112
08/18/2011,106,108,101,101,4996
08/22/2011,101,103,100,102,7452
08/23/2011,102,102,97,99,6528
08/24/2011,99,102,98,99,3599
08/25/2011,99,99,97,97,15915
08/28/2011,97,96,95,96,1740
08/29/2011,96,98,96,98,504
08/30/2011,98,97,97,97,650
09/04/2011,97,98,97,97,127
09/05/2011,97,98,93,93,550
09/06/2011,93,93,87,90,10039
09/07/2011,90,92,85,92,34201
09/08/2011,92,94,92,93,1931
09/12/2011,93,92,88,89,1490
09/13/2011,89,90,88,89,1169
09/14/2011,89,89,88,88,1118
09/15/2011,88,93,89,92,1254
09/18/2011,92,91,90,90,540
09/19/2011,90,90,88,89,1201
09/20/2011,89,90,87,90,1175
09/21/2011,90,89,87,89,1821
09/22/2011,89,90,88,89,845
09/25/2011,89,90,90,90,123
09/26/2011,90,93,88,93,3608
09/27/2011,93,93,92,92,2035
09/29/2011,92,92,92,92,51
10/10/2011,92,91,91,91,100
10/12/2011,91,94,92,94,2778
10/13/2011,94,98,95,98,187
10/16/2011,98,102,97,102,457
10/17/2011,102,105,103,105,44
10/18/2011,105,103,98,99,187
10/19/2011,99,98,93,93,3446
10/20/2011,93,94,92,93,1872
10/23/2011,93,93,92,92,1826
10/24/2011,92,96,91,96,1187
10/30/2011,96,97,96,97,510
10/31/2011,97,96,95,95,910
11/02/2011,95,104,96,104,260
11/03/2011,104,106,104,104,610
11/06/2011,104,102,94,94,894
11/08/2011,94,95,94,94,336
11/09/2011,94,93,92,92,1000
11/10/2011,92,92,91,91,2198
11/13/2011,91,90,90,90,500
11/14/2011,90,91,87,89,5255
11/15/2011,89,89,88,89,6385
11/16/2011,89,93,88,92,5095
11/17/2011,92,92,91,92,1756
11/20/2011,92,91,91,91,30
11/21/2011,91,91,89,89,2477
11/22/2011,89,91,89,90,1255
11/23/2011,90,90,89,90,611
11/24/2011,90,89,89,89,480
12/01/2011,92,93,92,92,1094
12/04/2011,92,94,87,90,22312
12/05/2011,90,90,89,89,2246
12/06/2011,89,90,90,90,17
12/07/2011,90,90,89,90,485
12/11/2011,90,90,89,90,32
12/12/2011,90,91,90,90,200
12/13/2011,90,89,86,86,703
12/14/2011,86,87,85,87,3000
12/15/2011,87,87,84,86,5310
12/18/2011,86,85,84,84,600
12/21/2011,84,86,85,85,1684
12/22/2011,85,85,84,85,1350
12/26/2011,85,86,86,86,901
12/27/2011,86,86,85,85,1410
12/28/2011,85,86,85,86,3349
12/29/2011,86,91,85,90,5995
01/01/2012,90,83,83,83,102
01/02/2012,83,85,84,85,300
01/03/2012,85,87,85,85,512
01/04/2012,85,86,82,83,1278
01/05/2012,83,84,82,82,434
01/08/2012,82,81,80,80,1255
01/09/2012,80,81,80,81,408
01/11/2012,81,82,80,80,847
01/12/2012,80,81,81,81,17
01/16/2012,81,82,82,82,165
01/17/2012,82,81,80,80,1984
01/18/2012,80,81,79,79,1250
01/22/2012,79,83,80,83,600
01/23/2012,83,82,78,80,4590
01/25/2012,80,80,79,80,1400
01/26/2012,80,79,79,79,64
01/29/2012,79,80,80,80,44
01/31/2012,80,80,79,79,379
02/01/2012,79,81,80,81,153
02/02/2012,81,81,81,81,503
02/05/2012,81,80,80,80,500
02/06/2012,80,80,79,79,405
02/08/2012,79,82,80,81,2013
02/09/2012,81,80,80,80,100
02/12/2012,80,79,79,79,528
02/13/2012,79,78,78,78,1500
02/14/2012,78,77,75,76,5220
02/15/2012,76,76,75,75,855
02/16/2012,75,78,77,77,140
02/21/2012,77,77,77,77,487
02/23/2012,77,76,74,75,1037
02/26/2012,75,76,76,76,30
02/27/2012,76,76,75,76,100
02/28/2012,76,75,75,75,364
02/29/2012,75,76,74,76,1917
03/01/2012,76,77,76,77,2741
03/04/2012,77,77,76,76,920
03/05/2012,76,77,77,77,300
03/06/2012,77,77,76,77,1205
03/12/2012,77,79,78,78,201
03/14/2012,78,77,77,77,200
03/18/2012,77,78,77,77,1120
03/19/2012,77,78,76,76,782
03/21/2012,76,77,74,74,228
03/25/2012,74,76,75,76,150
03/26/2012,76,75,72,72,1880
03/27/2012,72,73,72,73,300
03/28/2012,73,73,72,72,530
03/29/2012,72,73,67,67,6860
04/01/2012,67,73,68,72,847
04/02/2012,72,73,72,73,240
04/03/2012,73,73,72,73,2018
04/04/2012,73,73,73,73,190
04/05/2012,73,74,73,74,1200
04/08/2012,74,75,72,74,1215
04/09/2012,74,77,73,75,3446
04/10/2012,75,77,75,76,2750
04/11/2012,76,80,75,76,1895
04/12/2012,76,83,77,83,2302
04/15/2012,83,90,84,90,1791
04/16/2012,90,95,91,95,179
04/17/2012,95,97,94,94,1504
04/18/2012,94,93,91,92,1514
04/19/2012,92,96,93,93,1046
04/22/2012,93,101,93,101,5550
04/24/2012,101,111,103,111,1736
04/25/2012,111,119,113,119,600
04/26/2012,119,124,119,124,2244
04/29/2012,124,126,112,112,6581
04/30/2012,112,112,108,108,924
05/03/2012,108,114,110,110,1167
05/07/2012,110,112,112,112,9919
05/08/2012,112,114,112,113,549
05/09/2012,113,111,103,105,10613
05/10/2012,105,109,101,109,1276
05/15/2012,109,110,110,110,644
05/17/2012,110,112,112,112,117
05/23/2012,112,110,108,108,100
05/24/2012,108,106,98,98,1656
05/27/2012,98,102,96,102,638
05/29/2012,102,100,98,98,28
05/31/2012,98,97,97,97,17
06/04/2012,97,96,92,92,385
06/05/2012,92,91,83,83,1450
06/06/2012,83,83,75,79,2567
06/07/2012,79,82,78,78,6970
06/10/2012,78,77,75,76,3161
06/11/2012,76,80,77,79,1781
06/12/2012,79,84,78,84,2940
06/13/2012,84,84,81,81,5935
06/14/2012,81,81,80,80,708
06/17/2012,80,81,78,78,4980
06/18/2012,78,81,79,81,202
06/19/2012,81,80,79,79,290
06/20/2012,79,81,79,80,11110
06/21/2012,80,82,81,82,500
06/25/2012,82,84,82,84,238
06/26/2012,84,83,83,83,60
06/27/2012,83,82,79,79,2325
06/28/2012,79,82,79,80,5052
07/01/2012,80,82,79,82,7629
07/02/2012,82,82,80,80,1763
07/03/2012,80,80,79,80,1539
07/04/2012,80,82,81,81,120
07/05/2012,81,81,80,80,727
07/08/2012,80,82,80,82,690
07/09/2012,82,82,81,81,1249
07/10/2012,81,83,81,83,478
07/11/2012,83,85,82,84,1346
07/12/2012,84,84,83,83,1017
07/15/2012,83,83,82,82,392
07/16/2012,82,82,81,82,3585
07/17/2012,82,83,81,83,6905
07/18/2012,83,83,82,82,605
07/19/2012,82,84,80,84,8807
07/22/2012,84,84,83,83,964
07/23/2012,83,84,83,84,293
07/24/2012,84,85,84,85,3388
07/25/2012,85,86,85,86,7216
07/26/2012,86,85,84,84,316
07/29/2012,84,83,83,83,1767
07/30/2012,83,83,82,83,3220
08/01/2012,83,83,80,80,4326
08/05/2012,80,80,80,80,1200
08/06/2012,80,79,79,79,429
08/07/2012,79,82,77,77,4883
08/08/2012,77,80,78,80,575
08/12/2012,80,79,76,78,5328
08/13/2012,78,79,78,78,1963
08/14/2012,78,78,78,78,395
08/15/2012,78,78,78,78,3027
08/16/2012,78,79,79,79,1236
08/19/2012,79,81,78,78,775
08/21/2012,78,79,77,78,1816
08/22/2012,78,78,78,78,100
08/23/2012,78,77,77,77,291
08/26/2012,77,76,74,74,616
08/28/2012,74,73,70,72,5682
08/29/2012,72,74,71,74,1779
08/30/2012,74,74,71,72,1304
09/03/2012,72,74,72,74,136
09/04/2012,74,80,74,77,3105
09/05/2012,77,76,70,75,7567
09/06/2012,75,76,72,75,8526
09/09/2012,75,76,73,76,1285
09/10/2012,76,76,75,76,5802
09/11/2012,76,81,76,79,5985
09/12/2012,79,78,77,78,565
09/13/2012,78,80,79,79,143
09/16/2012,79,80,75,80,13919
09/17/2012,80,80,78,79,11616
09/18/2012,79,83,80,81,1450
09/19/2012,81,85,81,81,16729
09/20/2012,81,81,81,81,278
09/23/2012,81,82,81,82,352
09/24/2012,82,81,77,77,1292
09/25/2012,77,78,76,77,23901
09/26/2012,77,79,78,78,184
